number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
3133,2016-08-10T22:17:33Z,,2016-09-24T16:20:59Z,4,9,9,"Addresses #3125.
Skips Infinity datapoints in getRightValue to fix graph creation glitches resulting from 'infinite' datapoints.",5,8
3201,2016-08-24T04:19:42Z,2016-10-19T13:48:18Z,2016-10-19T13:48:18Z,5,186,10,"Hello everyone,
Just added more informations to the custom tooltip callback argument.
In order to know which data points are matching, I added a new property dataPoints to the tooltip object passed to the custom tooltip.
This property contains an array[CustomTooltipDataPoint] describes as following:
CustomTooltipDataPoint



Name
Type
Description




index
Number
Matching point index.


datasetIndex
Number
Matching dataset index.


xLabel
String
Matching label on X axis.


yLabel
String
Matching label on Y axis.


pointX
Number
X position of matching point.


pointY
Number
Y position of matching point.



I also added a test case covering this new property, and a description inside the documentation under the Advanced External Tooltips section.
Please let me know if anything,
Thanks",4,9
3221,2016-08-26T20:24:05Z,,2016-11-19T15:01:41Z,4,207,2,"is this useful to anyone? my organization was interested to see if we could customize tooltip stroke to match an internal style guide. i kinda got it working but it feels strange and i'm leaning towards just submitting a custom tooltip instead.
if this is thought to be useful, though, i can add the documentation and clean up / add more tests.
cheers. happy friday and thanks for the awesome lib.
update: removed shadow option. worked well with main rectangle of tooltip but had lots of issues with the overlapping caret + shadow + background opacity. perhaps someone else can tackle that later.",6,7
3281,2016-09-09T00:15:28Z,2016-09-24T20:56:16Z,2016-09-24T20:56:16Z,7,213,110,"Fixes #2602
Image Before Change

Image After Change",2,7
3283,2016-09-09T10:36:08Z,,2017-02-11T14:09:37Z,1,2,2,"Build two different conditions, weather normal or reverse scale.
In original this condition surpressed the drawing at index=0 which is the inner tick.
This leaded to surpressing the drawing of the outest gridLine if the scale is reversed.
In every case the inner gridline shouldnot to be drawn. which in normal scale is at index =0 and in reverse mode the last found index (me.ticks.length-1).",4,5
3287,2016-09-11T16:44:00Z,2016-09-15T22:12:34Z,2016-09-15T22:12:34Z,14,231,348,"new options parameter to acquire a chart, allowing to configure canvas and wrapper attributes
charts are now automatically deleted after each tests (ignored if persistent option is true)
fix unit tests that was using a global instance but was supposed to test a local chart
make sure that all charts are locally acquired and released (no more global instance)
Jasmine custom matchers are automatically exposed to all tests",3,2
3303,2016-09-14T05:19:23Z,,2016-10-16T13:25:59Z,1,1,1,"Please consider the following before submitting a pull request:
Guidelines for contributing: https://github.com/chartjs/Chart.js/blob/master/CONTRIBUTING.md
Example of changes on an interactive website such as the following:

http://jsbin.com/
http://jsfiddle.net/
http://codepen.io/pen/
Premade template: http://codepen.io/pen?template=JXVYzq
…ement.

Also no need to check .getContext twice.",3,7
3308,2016-09-15T00:32:10Z,2016-09-15T16:01:19Z,2016-09-15T16:01:19Z,38,460,482,"These updates add more structure to code styling. Tests will now fail if the code does not match the style set forth by these guidelines. The official standards were created based off of the most commonly used styles in this project already.
Hopefully this will make code easier to read over time and will keep all styling uniform throughout the project.
Eventually these rules should be extended to all code in the project (tests, etc.) rather than just the src files.
I did my best to make sure that no functionality was changed through the adaptation of this styling throughout the project, but I might have caused a bug somewhere so please make sure that my changes will not induce any unexpected behavior.",4,10
3314,2016-09-15T21:10:59Z,,2016-09-17T10:36:03Z,2,6,1,"Copy/pasting our discussion with @etimberg 👍

there is no plugin call for after rendering fully finished (ie only after the last frame of animation). afterDraw will do after each frame
I would accept a PR adding it (could call it at the same place the onComplete animation callback is called)

So here it is @etimberg !",4,6
3315,2016-09-15T22:33:37Z,2016-09-16T03:19:47Z,2016-09-16T03:19:47Z,1,4,1,"Addresses the issue presented in #3309. Pie and Doughnut charts will now render correctly when the corresponding component is clicked on the legend.
Here is an example before the changes: http://codepen.io/zachpanz88/pen/yaOzJV
Here is an example with the changes: http://codepen.io/zachpanz88/pen/mAEbdz",3,1
3321,2016-09-17T09:44:08Z,2016-09-21T19:14:21Z,2016-09-21T19:14:21Z,65,1296,1207,"Experimenting pull request to publish a new release and have most of the @chartjs/maintainers involved in the release process. We can iterate on action items and approve the new release once tasks are done. Merging that PR will (should) trigger the new release (see the release process).
Version: 2.3.0-rc.1
Checklist:

 Draft the release notes
 Update package.json version
 Publish the documentation",12,3
3323,2016-09-17T13:56:00Z,2016-09-24T08:57:33Z,2016-09-24T08:57:33Z,1,17,12,"Fixes #3292
After Fix",2,0
3324,2016-09-17T14:32:35Z,2016-09-24T08:58:31Z,2016-09-24T08:58:31Z,1,1,1,"When there was no tooltip, the size was too small because we accidentally subtracted the title bottom margin.
After Fix",2,0
3326,2016-09-17T20:33:54Z,2016-09-23T15:46:17Z,2016-09-23T15:46:17Z,1,23,29,"Ensure that the hidden iframe is stretched vertically in order to detect height changes. Remove the classlist check/call since it was incorrectly spelled (should be classList), but also useless since the iframe has just been generated. Also remove the callback check: addResizeListener should never be called w/o a valid callback.
Unit tests are coming in another PR!",2,1
3345,2016-09-22T09:18:46Z,,2017-12-31T14:43:13Z,1,6,1,"Since fixing the legendCallback before, i've noticed that the legend produced by it looks nothing like the one produced on the canvas. So i've improved the styling to make it look as close to the canvas one as possible. The font of the generated Legend can now also be set in the chart's options i.e. Options: { display: false, legend: { fontFamily: ""insert font family here"" } }, this will stop the Canvas legend from displaying but still set the font for the generated legend. then the user must call generateLegend() and apply the generated html to the inner html of an element as per usual.",4,16
