number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
149,2016-07-25T00:12:35Z,,2016-12-15T12:20:59Z,5,779,742,"Please help review changes made to files marked as completed. Thanks 😄
Edit: a lot of these changes are stripping trailing white space which can be safely ignored while checking for any errors I've made.

Progress:

AUTOMATIC_MANEUVERS.agc (pages 1025 to 1036)

 Completed
 Changes checked


CM_BODY_ATTITUDE.agc (pages 0883 to 0889)

 Completed
 Changes checked


CM_ENTRY_DIGITAL_AUTOPILOT.agc (pages 1063 to 1092)

 Completed
 Changes checked


CONIC_SUBROUTINES.agc (pages 1262 to 1308)

 Completed
 Changes checked


CONTRACT_AND_APPROVALS.agc (page 0001)

 Completed
 Changes checked",5,6
174,2016-08-19T09:45:57Z,,2016-08-19T15:15:02Z,6,71,0,"This is a first attempt at a Docker configuration for a build of the Apollo-11 sources using the VirtualAgc tools.
To use it, you'll need Docker (on Linux, Mac or Windows). Then do:
$ docker build -t apollo-11 .
It first clones and builds the VirtualAgc tools and mission code. Then it compiles the Apollo-11 sources (from the current directory) and compares the generated rope binaries against those in the VirtualAgc build.
This is based on an Ubuntu 16.04 base image.
Note that the VirtualAgc tools are sensitive to spaces/tabs, so assembly errors may result from using a different formatting standard.",4,3
182,2016-09-22T08:24:41Z,2016-09-22T14:45:30Z,2016-09-22T14:45:30Z,1,37,38,There're numerous syntax mistakes as well as several ignorant misinterpretations of the origin English work being fixed in this revision.,3,1
183,2016-09-22T17:54:25Z,2016-09-23T01:02:32Z,2016-09-23T01:02:32Z,2,2,2,"Changed ""BEFROE"" to ""BEFORE""
Page 0236",3,2
185,2016-09-23T17:57:02Z,2016-09-24T03:38:56Z,2016-09-24T03:38:56Z,1,2,2,"Found another one.
Changed ""MEARSUE"" to ""MEASURE""
0424
No such typo in Luminary099 version.",3,0
187,2016-11-22T18:01:04Z,2016-11-23T17:03:04Z,2016-11-23T17:03:04Z,1,2,2,,4,2
277,2017-02-13T12:27:43Z,,2017-02-14T08:19:52Z,2,1,15,"RCS-CSM_DAP_EXECUTIVE_PROGRAMS.agc :
Page 1037 and 1038
Closes #248
MYSUBS.agc :
Page 999 , 1000 and 1001
Closes #228",2,2
279,2017-02-14T08:40:37Z,2017-02-14T10:21:56Z,2017-02-14T10:21:56Z,1,1,1,"Page 1037 and 1038
Close #248",2,0
280,2017-02-14T08:46:55Z,2017-02-14T10:14:39Z,2017-02-14T10:14:39Z,1,3,2,"Pages 0999 , 1000 and 1001
Close #228",2,0
281,2017-02-14T10:41:40Z,2017-02-16T20:35:41Z,2017-02-16T20:35:41Z,1,1,0,"Pages 0936
Close #225",2,0
284,2017-02-14T11:12:17Z,2017-02-22T04:33:45Z,2017-02-22T04:33:45Z,1,38,38,"Page 0001
Close #198",2,2
289,2017-04-24T18:26:02Z,2017-04-24T19:37:40Z,2017-04-24T19:37:40Z,1,11,10,"**Format of changes: line - description [correlating file confirming correction]
68 - Added “P32-P33, P72-P73 (from  0002.jpp)
126 - Changed “UNREFERANCED” to “UNREFERENCED” (corrected typo/misspelling) [from 0003.jpg]
286 - Added one space before (USED BY EXTENDED VERBS…) [from 0008.jpg]
467 - Changed “TRUNON” to “TRUNION” [from 0013.jpg]
470 - Changed “TRUNION” to “TRUNNION” (Spelling this way on original transcript) [from 0013.jpg]
956 - Changed “P00DOO” (“Pee” “Zero” “Zero” “Dee” “Oh” “Oh”) to “POODOO” (“Pee” “Oh” “Oh” “Dee “Oh” “Oh”) [from 0024.jpg]
959 - Changed “P00DOO” (“Pee” “Zero” “Zero” “Dee” “Oh” “Oh”) to “POODOO” (“Pee” “Oh” “Oh” “Dee “Oh” “Oh”) [from 0024.jpg]
962 - Changed “P00DOO” (“Pee” “Zero” “Zero” “Dee” “Oh” “Oh”) to “POODOO” (“Pee” “Oh” “Oh” “Dee “Oh” “Oh”) [from 0024.jpg]
966 - Changed “P00DOO” (“Pee” “Zero” “Zero” “Dee” “Oh” “Oh”) to “POODOO” (“Pee” “Oh” “Oh” “Dee “Oh” “Oh”) [from 0024.jpg]
968 - Changed “P00DOO” (“Pee” “Zero” “Zero” “Dee” “Oh” “Oh”) to “POODOO” (“Pee” “Oh” “Oh” “Dee “Oh” “Oh”) [from 0024.jpg]
1016 - Changed “COLUMNN” to “COLUMN” (typo correction, this is spelled correctly on original transcript) [from 0026.jpg]",2,2
290,2017-04-28T14:33:37Z,2017-04-30T05:08:57Z,2017-04-30T05:08:57Z,1,11,12,"Should close #272
Fixed a lot of typos in the comments. Some questionable comma vs period spots. Let me know if you need any more info from me for this PR!",2,0
291,2017-04-30T12:51:16Z,2017-05-01T06:41:26Z,2017-05-01T06:41:26Z,1,12,12,"This should close #216.
I added a period, reformatted the table at the bottom and reintroduced some typos that were removed during the transcription.
I am not sure about line 110, though. Should it be changed back to CAF? RSB changed it to CA, back in 2009.",3,4
292,2017-04-30T23:35:28Z,2017-05-01T00:58:00Z,2017-05-01T00:58:00Z,4,112,3,Added README in Portuguese to the project and also added link in the other existing README.,2,1
293,2017-05-01T02:53:05Z,2017-05-02T01:05:16Z,2017-05-02T01:05:16Z,1,5,5,"Proof reading performed for R31 code.
Open issue: Proof R31 #246.",2,1
294,2017-05-01T20:08:57Z,2017-05-03T23:06:03Z,2017-05-03T23:06:03Z,1,13,19,"This should close #258.
Some content fixes here and there (words missing/added), the rest were mostly indentation/spacing and period/comma fixes.
The question I raised in #258 remains, still. ^^",2,1
296,2017-05-10T04:43:27Z,2017-05-10T20:00:02Z,2017-05-10T20:00:02Z,1,5,5,"This should close #191.
There was only one real mistake, but I also adjusted blank lines to more closely match the source scans.
Also, the comma in EXAMPLE FOLLOWS, on line R0051 on page 1494 looks very close to a period, but based on details from previous pull requests I think it probably is just a rough comma.",3,3
