number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2,2019-03-05T01:17:28Z,2019-03-05T03:26:17Z,2019-03-05T03:26:17Z,8,425,8,,2,0
5,2019-03-05T18:10:01Z,2019-03-06T08:08:43Z,2019-03-06T08:08:43Z,2,12,6,"Add --password=123456 CLI argument to use fix password instead of random.
@kylecarbs Currently I'm on Windows so I can't test it but I hope the code is correct. Maybe could you try it?",5,0
6,2019-03-05T18:38:06Z,2019-03-07T00:15:53Z,2019-03-07T00:15:53Z,8,48,14,,3,1
10,2019-03-05T20:48:29Z,2019-03-05T23:02:50Z,2019-03-05T23:02:50Z,1,1,1,"HappyPack requires a positive integer for threads. And when the number of cpu is 1, it is calculated 1 - 1 = 0. Now a minimal value will be 1.",2,1
28,2019-03-06T05:52:28Z,2019-03-07T17:23:55Z,2019-03-07T17:23:55Z,3,28,1,"CLI option --open is not working now.
I implemented --open with this npm package:
https://github.com/sindresorhus/opn",4,3
45,2019-03-06T17:30:34Z,2019-03-06T19:10:24Z,2019-03-06T19:10:24Z,3,10,10,,2,0
46,2019-03-06T18:00:17Z,2019-03-07T00:21:34Z,2019-03-07T00:21:34Z,1,3,3,,2,0
51,2019-03-06T21:13:24Z,2019-03-07T00:25:45Z,2019-03-07T00:25:45Z,1,4,7,"Issue:
#26
Changes:
Swap out the password generator for a native NodeJS CSPRNG method
https://nodejs.org/dist/latest-v10.x/docs/api/crypto.html#crypto_crypto_randombytes_size_callback
Test Environment:
OS: Mac OS High Sierra (10.13.6)
Browser: Google Chrome 72.0.3626.109 (Official Build) (64-bit)
(Result: Pass! Compile was successful and everything functions as expected)
Caveats:
None that I can think of. Although this did lead me to discover another issue. The input component has no error states for an incorrect password. (I'll open a new issue for this and style it to match what we currently have on our hosted services)
UPDATE: other issue is now here #55",3,0
54,2019-03-06T22:47:58Z,,2019-03-07T16:25:47Z,3,137,0,"Add Coder specific links, remove non-working links.",4,4
57,2019-03-06T23:02:20Z,2019-03-07T02:59:44Z,2019-03-07T02:59:44Z,5,57,5,Closes #9 #42,6,0
72,2019-03-07T08:07:12Z,,2019-03-07T21:28:36Z,13,1214,1265,,4,3
84,2019-03-07T14:01:50Z,,2019-03-07T19:08:10Z,1,2,0,"Fixes issues when working with utf-8 text from the command line
close #83",2,1
88,2019-03-07T15:55:27Z,2019-03-07T17:31:02Z,2019-03-07T17:31:02Z,1,1,1,"The existing command errors out with
docker: invalid publish opts format (should be name=value but got 'localhost:8443:8443').

it needs to explicitly use an IP and not a hostname.",4,2
95,2019-03-07T17:33:19Z,,2019-03-20T14:22:24Z,1,25,0,Patch welcome page for non-working links,3,1
104,2019-03-07T20:43:55Z,,2019-03-16T17:47:47Z,7,95,10,"add .dockerignore files
instead of parallel execution, use sequential one (to avoid async errors)
use locked yarn files (otherwise, we can't be sure which version will be installed)
use the same node version what we are using on Travis",9,7
111,2019-03-07T21:58:40Z,2019-03-08T17:13:25Z,2019-03-08T17:13:25Z,1,8,0,Adds some unwanted files for building the project with docker.,4,0
113,2019-03-08T00:44:00Z,2019-03-22T19:58:14Z,2019-03-22T19:58:14Z,1,4,0,"Describe in detail the problem you had and how this PR fixes it
Some people might think this is a catch-all for every VS Code need in the browser, I'm just informing them that only the open source extensions can be used (i.e. no VS Live Share, etc.)
Is there an open issue you can link to?
Nope.",6,8
117,2019-03-08T01:57:36Z,2019-03-08T16:37:04Z,2019-03-08T16:37:04Z,16,371,408,,2,0
130,2019-03-08T10:59:07Z,2019-03-18T15:45:20Z,2019-03-18T15:45:20Z,3,68,19,"Describe in detail the problem you had and how this PR fixes it
The specified download links in the Docs is no longer exist and gives 404 not found: https://github.com/codercom/code-server/releases/download/0.1.4/code-server-linux
Fixed by replacing them with the latest release links.
Is there an open issue you can link to?
No",4,5
