number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
3,2018-05-29T09:44:18Z,2018-05-30T12:33:56Z,2018-05-30T12:33:56Z,10,141,27,,3,3
5,2018-05-29T11:55:17Z,,2018-06-22T13:33:24Z,5,53,4,,5,5
6,2018-05-29T16:16:58Z,2018-06-01T20:20:34Z,2018-06-01T20:20:34Z,4,5,72,"Still WIP but comments are welcome
This change:

Removes hand written types for text-encoding module and uses @types/text-encoding
Updates the list script to enforce TypeScript type checking and Prettier code lint (must ran Prettier before)

TODO List:

 Resolve all tsc issues

 Fix duplicate declaration for global TextDecoder and TextEncoder. It already exist in dom.d.ts
 Figure out typing for *.pb (protobuf?) files. I need help with this. Should we have a declaration per file? Can we use something like Proto2TypeScript to automate it?",6,10
16,2018-05-30T13:28:50Z,,2018-06-01T15:06:42Z,2,26,0,My internet is too slow to pull all those images locally 😭 Trying in TravisCI :D,5,1
22,2018-05-30T18:29:36Z,2018-05-31T00:03:11Z,2018-05-31T00:03:11Z,1,1,1,This is printing too much!,3,0
24,2018-05-31T04:09:45Z,,2018-05-31T14:04:38Z,1,17,10,"Providing some updates to the README to make some pre-reqs clear as well as provide advice on building on macOS.
[ci skip]",4,2
54,2018-05-31T15:31:38Z,2018-05-31T21:39:45Z,2018-05-31T21:39:45Z,3,27,29,"Just remove the comments: TODO DRY with setTimeout. And BTW in MDN, as the parameter of delay:

If this parameter is less than 10, a value of 10 is used

So I just corrected the value in timers.go :)",5,6
57,2018-05-31T17:31:17Z,2018-05-31T21:17:33Z,2018-05-31T21:17:33Z,1,0,0,"Summary
This PR is to rename LICENSE.txt to LICENSE so that Github can identify and display it at the landing page.",4,2
58,2018-05-31T18:35:23Z,2018-05-31T21:32:03Z,2018-05-31T21:32:03Z,1,37,34,"Summary
This PR is to enhance the README with following two points:

Leverage correct language name bash so that Github can highlight it correctly.
Add some reference links so visitors can access to the source repos quickly.",4,1
63,2018-06-01T05:44:18Z,,2018-06-22T13:34:24Z,5,140,36,"$ DOCKER_DEV_IMAGE=aledbf/deno:dev-image-0.1 make docker-dev
This is the output of the build https://gist.github.com/aledbf/f39189a7e7ea3beff7aee676d85e5c51
After this running make run <makefile task> we can run any task inside a container:
$ make run deno
yarn
yarn install v1.7.0
[1/4] Resolving packages...
[2/4] Fetching packages...
info fsevents@1.2.3: The platform ""linux"" is incompatible with this module.
info ""fsevents@1.2.3"" is an optional dependency and failed compatibility check. Excluding it from installation.
[3/4] Linking dependencies...
[4/4] Building fresh packages...
Done in 21.97s.
./node_modules/.bin/pbjs -t static-module -w commonjs -o msg.pb.js msg.proto
./node_modules/.bin/pbts -o msg.pb.d.ts msg.pb.js
./node_modules/.bin/tsc --noEmit # Only for type checking.
./node_modules/.bin/parcel build --out-dir=dist/ --log-level=1 --no-minify main.ts
cp node_modules/typescript/lib/*d.ts dist/
cp deno.d.ts dist/
go-bindata -pkg deno -o assets.go dist/
go build -o deno ./cmd
make: 'deno' is up to date.
$ make run test
go test -v
=== RUN   TestLoadOutputCodeCache
--- PASS: TestLoadOutputCodeCache (0.00s)
=== RUN   TestIntegrationFiles
=== RUN   TestIntegrationFiles/001_hello.js.out
=== RUN   TestIntegrationFiles/002_hello.ts.out
=== RUN   TestIntegrationFiles/003_relative_import.ts.out
=== RUN   TestIntegrationFiles/004_set_timeout.ts.out
=== RUN   TestIntegrationFiles/005_more_imports.ts.out
=== RUN   TestIntegrationFiles/006_url_imports.ts.out
=== RUN   TestIntegrationFiles/009_pub_sub.ts.out
=== RUN   TestIntegrationFiles/010_set_interval.ts.out
=== RUN   TestIntegrationFiles/012_async.ts.out
=== RUN   TestIntegrationFiles/async_error.ts.out
=== RUN   TestIntegrationFiles/error.ts.out
=== RUN   TestIntegrationFiles/import_typescript.ts.out
--- FAIL: TestIntegrationFiles (15.70s)
    --- PASS: TestIntegrationFiles/001_hello.js.out (1.06s)
    --- PASS: TestIntegrationFiles/002_hello.ts.out (1.05s)
    --- PASS: TestIntegrationFiles/003_relative_import.ts.out (1.13s)
    --- PASS: TestIntegrationFiles/004_set_timeout.ts.out (1.06s)
    --- PASS: TestIntegrationFiles/005_more_imports.ts.out (1.26s)
    --- PASS: TestIntegrationFiles/006_url_imports.ts.out (1.12s)
    --- FAIL: TestIntegrationFiles/009_pub_sub.ts.out (2.03s)
    	integration_test.go:61: Expected success exit status 1
    --- PASS: TestIntegrationFiles/010_set_interval.ts.out (1.60s)
    --- PASS: TestIntegrationFiles/012_async.ts.out (1.21s)
    --- PASS: TestIntegrationFiles/async_error.ts.out (1.08s)
    --- PASS: TestIntegrationFiles/error.ts.out (2.00s)
    --- PASS: TestIntegrationFiles/import_typescript.ts.out (1.11s)
=== RUN   TestIntegrationUrlArgs
good cacheFn /tmp/TestIntegration387570343/src/localhost:4545/testdata/001_hello.js
bad cacheFn /tmp/TestIntegration271357914/src/localhost:4546/testdata/001_hello.js
--- PASS: TestIntegrationUrlArgs (2.41s)
=== RUN   TestTestsTs
1/4 +0 -0: tests_test
2/4 +1 -0: tests_fetch
3/4 +2 -0: tests_readFileSync
deno_1.readFileSync is not a function TypeError: deno_1.readFileSync is not a function
    at tests_readFileSync (/go/src/github.com/ry/deno/tests.ts:13:27)
    at Object.runTests [as cb] (/go/src/github.com/ry/deno/testing/testing.ts:62:23)
--- FAIL: TestTestsTs (0.60s)
	integration_test.go:146: exit status 1
=== RUN   TestResolveModule1
--- PASS: TestResolveModule1 (0.00s)
=== RUN   TestResolveModule2
--- PASS: TestResolveModule2 (0.00s)
=== RUN   TestResolveModule3
--- PASS: TestResolveModule3 (0.00s)
=== RUN   TestResolveModule4
--- PASS: TestResolveModule4 (0.00s)
=== RUN   TestResolveModuleExtensionsAintSpecial
--- PASS: TestResolveModuleExtensionsAintSpecial (0.00s)
=== RUN   TestPatternMatch
--- PASS: TestPatternMatch (0.00s)
=== RUN   TestPatternMatchStackTrace
--- PASS: TestPatternMatchStackTrace (0.00s)
FAIL
exit status 1
FAIL	github.com/ry/deno	18.705s
Makefile:79: recipe for target 'test' failed
make: *** [test] Error 1
Makefile:95: recipe for target 'run' failed
make: *** [run] Error 2
$ ldd deno
	linux-vdso.so.1 (0x00007ffcca0f9000)
	libpthread.so.0 => /lib/x86_64-linux-gnu/libpthread.so.0 (0x00007fb3de490000)
	libstdc++.so.6 => /usr/lib/x86_64-linux-gnu/libstdc++.so.6 (0x00007fb3de102000)
	libm.so.6 => /lib/x86_64-linux-gnu/libm.so.6 (0x00007fb3ddd64000)
	libgcc_s.so.1 => /lib/x86_64-linux-gnu/libgcc_s.so.1 (0x00007fb3ddb4c000)
	libc.so.6 => /lib/x86_64-linux-gnu/libc.so.6 (0x00007fb3dd75b000)
	/lib64/ld-linux-x86-64.so.2 (0x00007fb3de6af000)
$ ./deno testdata/001_hello.js
Hello World
This is similar to https://github.com/ry/deno/pull/16",5,7
65,2018-06-01T06:15:38Z,,2018-06-01T18:36:05Z,1,1,0,add: git submodule update --init,4,8
72,2018-06-01T09:07:55Z,2018-06-04T06:56:58Z,2018-06-04T06:56:58Z,2,5,5,"Summary
This PR is to remove one TODO and leverage the spread operator to replace the apply which is not performance friendly.",4,1
73,2018-06-01T09:29:16Z,2018-06-01T18:33:17Z,2018-06-01T18:33:17Z,1,1,1,,4,2
83,2018-06-01T12:39:17Z,2018-06-04T06:59:02Z,2018-06-04T06:59:02Z,3,4,4,"Just made some insignificant changes to pass the tslint
Checklist


 make test  passes
 tests and/or benchmarks are included
 documentation is changed or added",3,0
90,2018-06-01T14:02:51Z,,2018-06-01T18:34:59Z,1,2,0,"I was thinking about adding coc in the issue template, when #79 being accepted. 😄",4,2
93,2018-06-01T16:24:44Z,,2018-06-04T07:03:43Z,2,2,0,"To avoid issues like https://github.com/ry/deno/pull/73
resolves #74",3,2
98,2018-06-02T00:49:10Z,,2018-06-22T13:35:46Z,7,68,4,,5,3
99,2018-06-02T05:21:51Z,2018-06-04T07:06:42Z,2018-06-04T07:06:42Z,1,2,2,[ts] Return type of exported function has or is using private name 'AmdDefine'.,5,3
100,2018-06-02T06:33:18Z,,2018-06-05T10:19:09Z,0,0,0,Signed-off-by: Cholerae Hu choleraehyq@gmail.com,4,2
102,2018-06-02T09:46:56Z,2018-06-05T07:58:51Z,2018-06-05T07:58:51Z,2,19,0,I'm not sure that if the assertion failed an error should be thrown.,6,10
110,2018-06-02T20:08:01Z,2018-06-04T07:41:51Z,2018-06-04T07:41:51Z,1,11,4,"Even though the readme told me there was going to be an error, I was still confused about this error, as it looked unrelated to fetching the sources.
To clarify this update the readme to spell out the expected error.
Fixes #109",6,3
111,2018-06-03T05:24:20Z,2018-06-04T08:03:49Z,2018-06-04T08:03:49Z,1,1,3,use check function to check and handle error,4,2
129,2018-06-04T09:41:09Z,,2018-06-05T08:16:07Z,1,13,14,"Summary
This PR is to enhance the README with following three points:

Fix typo.
Delete unnecessary blank lines.
Delete unnecessary spaces between ``` and the language name bash.
Add some blank lines. Fenced code blocks should be surrounded by blank lines.",4,3
130,2018-06-04T09:42:45Z,2018-06-05T08:43:01Z,2018-06-05T08:43:01Z,2,11,10,Use object destructing to reduce some redundant codes.,5,1
136,2018-06-05T03:36:06Z,2018-06-05T08:10:28Z,2018-06-05T08:10:28Z,4,14,15,"ATT
Checklist


 make test  passes
 tests and/or benchmarks are included
 documentation is changed or added",2,0
139,2018-06-05T06:45:46Z,2018-06-05T08:07:40Z,2018-06-05T08:07:40Z,3,8,21,,2,0
141,2018-06-05T07:31:06Z,,2018-06-11T10:00:50Z,4,197,33,"Moving console definition to own file console.ts and make it a class.
Replaced JSON.stringify() with custom stringify() to avoid crashing on circular objects and work with methods/functions by displaying [Function].
Add some aliases to already implemented console methods.",3,6
143,2018-06-05T09:05:13Z,2018-06-11T13:08:23Z,2018-06-11T13:08:23Z,3,5,4,"Checklist

 make test passes
 tests and/or benchmarks are included
 documentation is changed or added",6,3
144,2018-06-05T10:34:39Z,2018-06-09T09:36:56Z,2018-06-09T09:36:56Z,1,1,1,Change a little typo in comment,3,1
146,2018-06-05T14:23:57Z,,2018-06-07T16:38:44Z,4,12,1,"Add and handle the error thrown because of error module name.
Run normally when script file is empty.
Checklist


 make test  passes
 tests and/or benchmarks are included
 documentation is changed or added",3,3
148,2018-06-05T16:46:23Z,,2018-06-23T07:54:46Z,1,77,0,"Compliant with the definition of 'Headers' .
[https://developer.mozilla.org/en-US/docs/Web/API/Headers(url)
[https://fetch.spec.whatwg.org/#headers-class(url)",4,4
