number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
510,2016-08-25T19:10:04Z,2017-11-02T12:11:27Z,2017-11-02T12:11:27Z,1,1,0,,3,1
541,2016-10-22T16:20:16Z,,2017-03-05T22:44:12Z,1,1,1,"jsfiddle has new ""Babel"" language, that support JSX out the box",3,0
548,2016-10-31T02:48:38Z,,2016-11-01T02:10:04Z,1,1,0,"add react-laser-beam, click here",2,1
601,2017-03-05T06:17:27Z,2017-12-23T09:55:24Z,2017-12-23T09:55:24Z,1,1,0,https://ant.design/docs/react/introduce,2,0
668,2017-08-30T01:07:23Z,2017-11-02T12:14:35Z,2017-11-02T12:14:35Z,1,1,0,"Added react-data-menu.
Regards,
Danko",2,0
675,2017-09-20T12:36:07Z,,2017-12-28T20:51:15Z,1,9,0,Added Reactate,2,1
704,2017-11-14T07:03:54Z,2017-11-20T23:47:29Z,2017-11-20T23:47:29Z,1,0,2,,3,1
705,2017-11-15T02:18:34Z,2017-11-15T07:57:10Z,2017-11-15T07:57:10Z,1,2,0,,2,0
706,2017-11-15T18:55:22Z,2017-11-16T08:50:12Z,2017-11-16T08:50:12Z,1,1,0,,2,0
709,2017-11-21T08:47:58Z,2017-11-21T10:28:30Z,2017-11-21T10:28:30Z,1,1,0,,2,2
712,2017-11-30T16:10:28Z,2017-12-06T17:56:30Z,2017-12-06T17:56:30Z,1,1,0,"Add RemoteRetro application to Real Apps
stride-nyc/remote_retro, live at remoteretro.org
Thanks!",3,2
713,2017-12-01T23:54:07Z,2018-01-17T08:42:56Z,2018-01-17T08:42:56Z,1,1,0,,3,0
717,2017-12-08T19:51:35Z,2017-12-09T10:16:00Z,2017-12-09T10:16:00Z,1,1,0,,2,0
725,2017-12-19T02:38:56Z,2017-12-19T06:16:03Z,2017-12-19T06:16:03Z,1,1,1,,2,0
728,2017-12-20T07:34:33Z,2017-12-20T09:17:57Z,2017-12-20T09:17:57Z,1,1,0,Thanks!,2,3
730,2017-12-26T14:14:55Z,2017-12-26T15:15:55Z,2017-12-26T15:15:55Z,1,1,0,"Hello,
I am Saurabh, co-founder of Hackr.io. Hackr.io is a programming community & a great place to find the best online programming courses and tutorials. It's a one stop solution for tutorial recommendations with 5000+ tutorial of more than 140 programming languages.
I was looking at your learning resources page and found it pretty useful. I believe that Hackr.io would be really useful to the developer community in finding the right programming course/tutorial and would make a nice addition to your resource page.
Hackr is also listed on other esteemed websites like Lehigh University's resource page and official Official Python wiki page to name a few.
Thanks for the list of great resources you have compiled. Enjoy your week:)",2,0
732,2017-12-31T01:21:57Z,2018-01-02T04:54:18Z,2018-01-02T04:54:18Z,1,5,0,,3,8
733,2018-01-09T20:09:18Z,2018-01-09T22:13:13Z,2018-01-09T22:13:13Z,1,1,0,Propose a new React library: https://github.com/appbaseio/reactivesearch.,2,0
734,2018-01-10T00:14:42Z,2018-01-10T06:26:28Z,2018-01-10T06:26:28Z,1,4,0,"How to build React components for distribution on NPM seems like a pretty important thing that's missing from the tutorials section. I added two different tutorials, one of which is written by me.",3,1
740,2018-01-17T13:55:41Z,2018-01-19T13:29:39Z,2018-01-19T13:29:39Z,1,2,1,"Ready to use card UI components.
A demo can be found here: https://nukeop.github.io/react-ui-cards/",2,4
744,2018-01-28T03:47:27Z,2018-01-29T08:19:17Z,2018-01-29T08:19:17Z,1,2,0,Added new video courses for React and redux.,2,1
748,2018-02-05T09:58:14Z,2018-02-06T16:37:50Z,2018-02-06T16:37:50Z,1,2,0,…ly documented setup and a sample app using async actions/reducer and Material UI components,2,1
767,2018-03-12T14:01:27Z,2018-03-12T16:27:18Z,2018-03-12T16:27:18Z,1,1,0,https://hackr.io/tutorials/learn-react,2,0
768,2018-03-16T03:40:20Z,2018-03-16T07:31:29Z,2018-03-16T07:31:29Z,1,1,1,Apollo,2,0
796,2018-05-10T20:45:37Z,2018-05-11T07:19:37Z,2018-05-11T07:19:37Z,1,1,0,"✨  Added: ""Full-stack GraphQL with Apollo, Meteor & React"" to React Tutorials > React & Meteor",2,0
798,2018-05-10T21:16:13Z,2018-05-11T06:36:19Z,2018-05-11T06:36:19Z,1,1,0,add react router5 to routing libs,2,0
819,2018-06-23T02:49:16Z,2018-06-23T05:42:25Z,2018-06-23T05:42:25Z,1,1,2,Remove duplicate ant-design,2,0
824,2018-07-01T13:08:46Z,2018-07-01T17:35:54Z,2018-07-01T17:35:54Z,1,1,0,,2,0
835,2018-08-06T02:27:50Z,,2018-08-06T16:06:24Z,7,219,1,This section is for adding ReactJS interview questions and answers. It will be helpful for React community.,2,1
865,2018-10-02T18:11:57Z,2018-10-11T10:51:14Z,2018-10-11T10:51:14Z,1,10,0,"I would love include resources about performance improvement and tuning. More and more developers are working on scaling React applications to fit in different conditions like weak Internet connection and PWA. It would be amazing if we can have a list of the topic to help the community.
The changes include

an additional link under React Tutorials
a list of libraries and articles in Analyzing React Performance section",2,0
869,2018-10-11T09:41:09Z,2018-10-11T10:49:33Z,2018-10-11T10:49:33Z,1,1,0,"We just created a library for some beautiful toast messages with React. More on.
https://cogoport.github.io/cogo-toast/",2,0
873,2018-10-23T01:34:56Z,,2019-01-07T20:27:44Z,1,2,0,Initiate list for React 360 ( previously ReactVR ),3,0
889,2018-12-10T17:51:00Z,2018-12-11T09:02:55Z,2018-12-11T09:02:55Z,1,10,6,"Hey I think it'll be better if instead of only the big ""components"" section that there is now.
Split it to a few components sections.
I started it with animation components and united all of them into the new animation components section.
Advantages:

Less conflicts. The more splitted the readme. the less chances two different people will change the same line. Because they usually put it in the end of every category.
Easier to read. Cleaner and tidier. The components section is too big to actually go through it and to be useful..

Also, I want to suggest the library ""react-singular-component"", it's not a very popular one, but it is great in my opinion. It gives you a way to easily create a transition between two dom elements of a component.
Useful when:

You have the same component in a few places of your website, but not at the same time. And when one is gone you want it to go smoothly to the other dom.

This gif demonstrates what it looks like:

This react component is efficient and customable, and already tried and works on a few products I made.",2,4
892,2018-12-16T01:30:29Z,2018-12-17T13:20:15Z,2018-12-17T13:20:15Z,1,1,0,https://github.com/yjose/reactjs-popup,2,0
900,2019-01-04T17:05:09Z,2019-01-06T07:06:39Z,2019-01-06T07:06:39Z,1,2,0,"https://github.com/kireerik/razzle-material-ui-styled-example
https://hackernoon.com/material-ui-get-started-fast-react-16-eea211d65308",2,1
902,2019-01-07T20:45:49Z,2019-01-07T21:47:14Z,2019-01-07T21:47:14Z,1,13,13,"I did some curation work on the ""real apps"" section. I removed apps which hadn't been updated in a long time, or which didn't have a lot of functionality and so didn't serve as the best kinds of examples. I ended up with a great list of four, which feels just fine.",2,0
904,2019-01-12T21:45:15Z,2019-01-14T13:13:55Z,2019-01-14T13:13:55Z,1,1,0,,2,0
