number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
94,2016-07-22T19:17:34Z,2016-07-24T23:07:33Z,2016-07-24T23:07:33Z,3,34,8,"Require package.json in webpack.config.prod.js and use homepage if set; otherwise use '/'

Fixes #21",6,20
172,2016-07-25T13:41:06Z,,2016-07-25T19:50:28Z,16,295,71,"This is just a throwaway code not meant to be ever merged
This PR is just a proof of concept how server side render could be implemented. I am aware that it's quite opinionated and introduces new dependency on express.
I am open to any discussion how much sane this would (or would not) be, I'll gladly re-implement it in production quality if we decided to go this way.",8,17
368,2016-08-05T01:24:22Z,2016-08-08T04:05:58Z,2016-08-08T04:05:58Z,4,43,7,This fixes #334,12,31
520,2016-08-31T04:13:46Z,,2016-09-17T22:09:20Z,2,12,12,"This pull request fixes #501
The pull request adds instructions to the template readme and also adds a sequence of commands to the npm run build output.

I am happy to hear suggestions for making this better. I am wondering if the output after running npm run build is getting a little too long after adding this option. Maybe it would be good to settle on one option that we support for GH Pages?",4,9
589,2016-09-05T19:00:26Z,,2016-09-21T14:52:48Z,1,2,0,References #585,3,4
591,2016-09-05T20:11:00Z,,2016-09-27T14:21:52Z,1,1,1,"Fixes #590.
@gaearon this is a simple solution - and thanks to the comments in this file I don't think I'm missing anything? :)",8,20
596,2016-09-07T01:35:07Z,,2016-09-30T12:49:09Z,1,12,11,,7,7
628,2016-09-11T15:41:22Z,2016-09-11T22:53:56Z,2016-09-11T22:53:57Z,1,27,1,Fixes #616.,4,11
632,2016-09-12T11:18:43Z,2016-09-18T08:03:05Z,2016-09-18T08:03:05Z,1,17,5,Attempt to fix #631.,3,10
653,2016-09-15T15:49:30Z,,2016-09-18T08:27:31Z,4,23,4,"Hi,
I saw that issue(#96) needed help, it had previously a PR that have been closed few weeks back. I don't know if someone is still working this. So I tried to solve the issue
How can I improve my PR ?
Thanks !",2,3
657,2016-09-15T21:27:56Z,,2016-09-30T12:28:45Z,1,6,1,,2,3
665,2016-09-17T13:51:15Z,2016-09-17T19:20:49Z,2016-09-17T19:20:49Z,4,4,4,,2,4
