number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
4,2017-07-07T22:30:21Z,2017-07-12T18:56:12Z,2017-07-12T18:56:12Z,43,2024,1192,"Created writeTranslations.js which will be run to create the i18n/en.json file prior to uploading files to Crowdin for translation.
Created Babel plugin find-strings-plugin.js that is used for each file in website/pages/en to find and write strings inside translate tags to i18n/en.json.
Created Babel plugin translate-plugin.js that will be used to replace all translate tags with calls to a translate function in React files prior to building into static html.
Change siteConfig.js and translation.js so that i18n/en.json does not get required before it is created.
Update package.json.",3,4
14,2017-07-12T23:25:48Z,2017-07-18T19:13:27Z,2017-07-18T19:13:27Z,8,30,5,…to folder outside of website,4,3
15,2017-07-13T20:41:17Z,2017-07-13T22:06:14Z,2017-07-13T22:06:14Z,2,6,4,"Change server port number specification from a command line argument to a flag ""--port"".",4,4
16,2017-07-13T22:28:41Z,2017-07-17T18:54:56Z,2017-07-17T18:54:57Z,1,3,0,"Adding this style change should fix the search bar. Could someone advise on where the best place to put it in the file would actually be, and if this is the right way to approach a fix? Thanks.",3,1
17,2017-07-14T23:30:33Z,2017-07-17T03:34:27Z,2017-07-17T03:34:27Z,3,18,3,"Static analysis of javascript files now condenses whitespace so that formatting will not interfere with the generated strings file.
For example, these two will now generate the same string:
<translate> Learn more about how to
use Docusaurus </translate>
<translate> Learn more about how to use Docusaurus </translate>
Escaped characters now get properly parsed after reading in from JSON. This particularly affects usages of text in objects like with GridBlocks. For example, the following tag used in a GridBlock:
<translate> Learn more about how to \n\n use Docusaurus </translate>
will show on the site as:
Learn more about how to
use Docusaurus

instead of:
Learn more about how to use \n\n Docusaurus",3,0
20,2017-07-17T18:51:38Z,2017-07-17T23:19:05Z,2017-07-17T23:19:05Z,2,19,0,"Add a button for easy navigation back to blog page at bottom of each blog post.


The css additions were made so that the button appears in the same way that doc navigation buttons do, referencing the docs-prevnext and docs-prev elements.",3,0
21,2017-07-17T19:30:21Z,2017-07-17T23:19:25Z,2017-07-17T23:19:25Z,2,9,0,"Allows the user to still run Docusaurus while writing new, incomplete markdown files in their docs folder without having Docusaurus throw errors. Any markdown files with either no front matter headers or empty front matter headers will be ignored by Docusaurus.
Markdown files with existing but improper headers will still throw errors. (Improving on these error messages will be done in the future.)
Description of this functionality will be added to updated documentation once it gets published to npm.",3,0
22,2017-07-17T22:29:58Z,2017-08-03T00:00:41Z,2017-08-03T00:00:41Z,8,179,23,"Currently, document sidebar ordering is determined by front matter that has to be manually written in each of the docs. User feedback indicated that it may be tedious to have to manage this front matter, especially when there are large numbers of docs.
This new script uses a .json file with the sidebar information to write front matter headers into doc files so that users do not have to manually manage front matter for ordering by changing the previous and next fields. This does not change any of how Docusaurus reads front matter and uses that information, and users may still provide all of the information manually without running this script or having the .json file.
An example .json file, which separates sidebars, and uses document categories and ids:
{
  ""docs"": {
    ""Docusaurus"": [""doc1""],
    ""First Category"": [""doc2""],
    ""Second Category"": [""doc3""]
  },
  ""docs-other"": {
    ""First Category"": [""doc4"", ""doc5""]
  }
}
Users no longer have to manually enter the layout, category, next, or previous fields in the front matter.
Docs will be written to describe this functionality, and the fact that it is optional and any current manually-written front matter will still work.
Current plans also include changing the layout field to be called sidebar (while allowing both so current sites don't break), but that will be part of a different pr.",4,6
23,2017-07-19T22:54:58Z,2017-07-21T00:02:35Z,2017-07-21T00:02:35Z,4,222,19,,3,0
25,2017-07-27T23:23:29Z,2017-08-07T17:38:27Z,2017-08-07T17:38:27Z,27,550,66,"Initial website folder set-up for Docusaurus, using it's own code.
npm install would still need to be run in the repo folder to install dependencies prior to starting the server.",4,4
26,2017-07-28T15:07:20Z,2017-08-10T18:37:26Z,2017-08-10T18:37:26Z,1,6,0,"Custom domains in GitHub pages require a CNAME file. This file is automatically created for you if you add a custom
domain to the GitHub pages section of the ""Settings"" area in a GitHub repo.
However, the way we push to GitHub, we remove all files from a gh-pages branch before building and pushing the new
content on a rebuild. This includes removing the CNAME file, even if it was autogenerated when changing the setting.
So, just always create a CNAME file if the domain is a custom domain.",4,7
41,2017-08-07T22:29:46Z,2017-08-08T18:43:41Z,2017-08-08T18:43:41Z,2,70,0,This contains information about both verifying the installation and why the example site is useful for starting your own site.,3,0
48,2017-08-08T16:03:51Z,2017-08-08T18:45:58Z,2017-08-08T18:45:58Z,2,53,0,,3,0
49,2017-08-08T17:21:11Z,2017-08-08T18:47:19Z,2017-08-08T18:47:19Z,3,55,21,"It is a guide
Rename the file, specifying that it is a guide
Add a commented out Aloglia section to siteConfig.js",3,0
50,2017-08-08T18:00:12Z,2017-08-16T19:51:52Z,2017-08-16T19:51:52Z,2,116,0,"Adds Commands API Reference doc. The command descriptions are still a WIP. The main purpose of the PR at this point is to get us to agree on a general format for the API reference-y style docs.
Test plan
Build and run website locally:",4,1
54,2017-08-08T21:24:42Z,2017-08-10T19:24:52Z,2017-08-10T19:24:52Z,1,14,0,Update to describe extra options feature for search,3,0
55,2017-08-08T22:40:19Z,2017-09-29T22:31:28Z,2017-09-29T22:31:28Z,2,87,1,,4,4
57,2017-08-09T16:42:27Z,2017-08-10T23:58:30Z,2017-08-10T23:58:30Z,10,302,10,"Added new SVGs for revised logo, monochrome logo, and special keytar.
Updated live animation to use new logos, too.",4,1
60,2017-08-09T21:24:53Z,2017-08-10T23:34:01Z,2017-08-10T23:34:01Z,27,352,146,"Examples script now gives better messages. Uses optional translations or versions command line argument to provide different files for those features.

Current example versions.html page is very bare bones.",3,1
61,2017-08-09T23:23:41Z,2017-08-10T20:46:59Z,2017-08-10T20:46:59Z,9,60,12,Addresses some of the more commonly expected errors like for #51,3,0
66,2017-08-14T21:03:26Z,2017-08-15T18:13:59Z,2017-08-15T18:13:59Z,2,137,1,,3,1
67,2017-08-15T19:36:10Z,2017-08-16T22:53:44Z,2017-08-16T22:53:44Z,2,141,0,New document for pages and styles API.,4,0
70,2017-08-16T22:51:58Z,2017-09-06T20:00:46Z,2017-09-06T20:00:46Z,4,94,0,"Add simple npm module to create Docusaurus file structure and run the examples script.
Usage:
npm install -g docusaurus-init
cd my-project-repo
docusaurus-init

The result will be the creation of the website folder with all example files as well. The package.json file is created inside website with all of the docusaurus scripts.",5,5
71,2017-08-25T23:29:12Z,,2017-09-29T21:47:07Z,2,180,55,"Allows Prism code blocks to be displayed in GridBlock instead of an image.
Usage
<GridBlock
              align=""left""
              contents={[
                {
                  content:
                    ""React Native lets you build mobile apps using only JavaScript. It uses the same design as React, letting you compose a rich mobile UI from declarative components."",
                  imageAlign: ""right"",
                  code: `import React, { Component } from 'react';
import { Text, View } from 'react-native';

class WhyReactNativeIsSoGreat extends Component {
  render() {
    return (
      <View>
        <Text>
          If you like React on the web, you'll like React Native.
        </Text>
        <Text>
          You just use native components like 'View' and 'Text',
          instead of web components like 'div' and 'span'.
        </Text>
      </View>
    );
  }
}`,
                  title: ""Build native mobile apps using JavaScript and React""
                },
                {
                  content:
                    ""With React Native, you don't build a “mobile web app”, an “HTML5 app”, or a “hybrid app”. You build a real mobile app that's indistinguishable from an app built using Objective-C or Java. React Native uses the same fundamental UI building blocks as regular iOS and Android apps. You just put those building blocks together using JavaScript and React."",
                  imageAlign: ""left"",
                  code: `import React, { Component } from 'react';
import { Image, ScrollView, Text } from 'react-native';

class AwkwardScrollingImageWithText extends Component {
  render() {
    return (
      <ScrollView>
        <Image
          source={{uri: 'https://i.chzbgr.com/full/7345954048/h7E2C65F9/'}}
          style={{width: 320, height:180}}
        />
        <Text>
          On iOS, a React Native ScrollView uses a native UIScrollView.
          On Android, it uses a native ScrollView.

          On iOS, a React Native Image uses a native UIImageView.
          On Android, it uses a native ImageView.

          React Native wraps the fundamental native components, giving you
          the performance of a native app, plus the clean design of React.
        </Text>
      </ScrollView>
    );
  }
}`,
                  title: ""A React Native app is a real mobile app""
                }
              ]}
              layout=""twoColumn""
            />

To Do
I'm tempted to rename imageAlign to contentAlign but it may break current clients. Perhaps something we can do later.
The CSS may need additional changes.
Test plan
Used it as part of the migration of the React Native website. It looks like this:",2,2
79,2017-09-01T21:59:38Z,2017-09-25T19:52:59Z,2017-09-25T19:52:59Z,2,36,14,Made these while porting React Native to Docusaurus. Slight improvements to readability.,3,3
81,2017-09-07T16:36:25Z,2017-09-25T18:35:13Z,2017-09-25T18:35:13Z,20,1950,71,"Work completed:

First commit fixes one warning in console for React.DOM.* usage
Translation guide updates
Added Crowdin integration
Added new feature -- custom CSS file
Localization support added to website
Added a css class to logo for better targeting",4,3
91,2017-09-26T06:08:16Z,2017-09-26T20:41:14Z,2017-09-26T20:41:14Z,1,1,1,"On projects where baseUrl is ""/"", the extra slash causes issues.",4,0
93,2017-09-27T00:30:37Z,2017-10-03T22:20:35Z,2017-10-03T22:20:35Z,2,16,6,"Pulling in the github button code is unnecessary if you don't want the button or if you host your code on gitlab etc. We should provide a way to opt out of loading this JS.
This is a breaking change, so I'm not really endorsing it unless everyone is excited about it. I think eventually it would be nice to have a config similar to algolia that generates a button for you and then a CompLibrary component to render it.",3,3
94,2017-09-27T04:28:32Z,2017-09-27T19:49:11Z,2017-09-27T19:49:11Z,16,304,41,"Added feed support to blog. Will only render if there are blog files. Will only link to them in HTML if it is blogs are enabled in siteConfig.headerLinks. Also updated docs.


Added Prism syntax highlighting for Reason files.


Added a copyright notice that can be set in siteConfig -- it is used in core/Footer.js and the rss/atom feed pages. Also updated corresponding docs.",3,0
98,2017-09-28T16:20:43Z,2017-09-28T21:46:30Z,2017-09-28T21:46:30Z,10,509,435,"Fixes a bug with recursive traversal of node module children when invalidating cached copies (in server.js and feed.js)
Fixes a bug with how RSS feed strings are output. Previously it would limit text by 250 chars... now only limits text if <--truncate--> is not found otherwise it uses whatever text up to <--truncate--> token.",3,4
100,2017-09-29T21:23:40Z,2017-09-29T22:38:04Z,2017-09-29T22:38:04Z,6,73,417,"I did a light pass on the README and getting started content. More work is needed, but this effort was meant to help get us into good shape for next week.",3,2
109,2017-10-04T01:48:51Z,2017-10-04T15:56:56Z,2017-10-04T15:56:56Z,3,67,9,,3,0
111,2017-10-04T15:37:11Z,2017-10-05T18:14:28Z,2017-10-05T18:14:28Z,1,21,1,"I was getting this error when running the examples:
Error: It looks like you've enabled language support, but haven't provided translated files. The document with id: 'en-doc1' doesn't exist.

However, this error was an indirect result of me not renaming the docs-examples-from-docusaurus directory to docs since I had doc in my
headerLinks in the example siteConfig.js.
So let's check the headerLinks and make sure we have the required directories.
Here is an example of the error if I try to load a Docusaurus site just after running npm run examples without having renamed the directories.
Error: You have 'doc' in your headerLinks, but no 'docs' folder exists one level up from 'website' folder. Are you running the examples? If so, make sure you rename 'docs-examples-from-docusaurus' to 'docs'.
    at /Users/joelm/dev/test/website/node_modules/docusaurus/lib/core/nav/HeaderNav.js:226:15
:
:

Test Plan: Tested a local package in verdaccio",3,0
113,2017-10-04T20:08:20Z,2017-10-05T02:13:31Z,2017-10-05T02:13:31Z,2,8,3,"Prior to this PR, Docusaurus would expect algoliaOptions to be a String. DocSearch expects an object here.
We now convert the object to a string temporarily in order to do any necessary text replacement.
Test Plan
Verified with React Native.",3,0
115,2017-10-05T16:04:51Z,2017-10-05T18:14:50Z,2017-10-05T18:14:50Z,56,155,201,"headers in .js files
update README and LICENSE year

Testing:
grep BSD, Patents, patents turned up nothing",3,0
118,2017-10-06T17:48:11Z,2017-10-06T19:59:02Z,2017-10-06T19:59:02Z,2,386,0,CC Attibution 4.0,5,3
121,2017-10-10T14:31:56Z,2017-10-12T13:12:26Z,2017-10-12T13:12:26Z,1,15,15,"This changes the default and monospaced font stack. It is a combination of the stack found in reactjs.org and reasonml.github.io. It is designed to pick the best system fonts on OSX, Windows, and Linux systems before falling back to default sans serif. I only have OSX handy right now as I'm traveling, but if you test on Windows or Linux the difference will be more obivous.
Before (OSX):

After (OSX):",4,1
122,2017-10-10T14:36:47Z,2017-10-12T13:21:35Z,2017-10-12T13:21:35Z,1,2,3,Bolding here changes the font width which can create weird jank where selecting a menu item can make it move from one line to two.,3,0
127,2017-10-17T22:55:31Z,2017-10-18T17:16:30Z,2017-10-18T17:16:30Z,1,6,3,"My hack of checking if the body was empty wasn't correct :(
---
id: String
title: String
layout: stdlib
---
The above would be treated as pure content. Now it's working properly :)",3,1
128,2017-10-17T23:06:48Z,2017-10-18T17:20:13Z,2017-10-18T17:20:13Z,2,16,2,"When I designed the system, I added the ability to provide a custom layout that would use arbitrary JavaScript to render some custom pages. This is why files are called ""DocsLayout.js"", ""BlogPostLayout.js""... This ability to customize it was ripped out during the migration to Docusaurus but I need it for the project I'm working on right now (that should remain unnamed!).
This adds back the ability to do it in a way that fits the third party system. In order to provide a new layout:

Add a layout field in the header of your markdown file:

---
layout: mylayout
---

In your siteConfig, add

  layouts: {
    mylayout: function({React, Marked}) {
      return class extends React.Component {
        render() {
           return React.createElement('div', {}, this.props.metadata.layout);
         }
      }
    }
  }
I think that it's a reasonable to add and would unblock me :)",3,1
130,2017-10-18T03:57:03Z,2017-10-18T16:51:16Z,2017-10-18T16:51:16Z,1,3,3,"Before:

After:",3,0
131,2017-10-18T04:10:57Z,2017-10-18T16:52:23Z,2017-10-18T16:52:23Z,1,9,7,"The empty div still has padding applied to it in CSS. Doesn't look great. Especially noticeable on posts without author names or photos.
Before:

After:",3,0
132,2017-10-18T04:17:47Z,2017-10-18T16:53:08Z,2017-10-18T16:53:08Z,1,1,1,This extra pixel causes a lot of visual headache. Harder to customize if we want as well. Mostly noticeable with the logo which is slightly low with the current styles.,3,0
133,2017-10-18T04:26:13Z,2017-10-18T16:58:42Z,2017-10-18T16:58:42Z,1,4,4,"This doesn't actually change the look of the site at all, but this CSS was very unintuitive when I was working with it. I think when mobile this menu should always be positioned relative to the screen, not it's parent. Fixed is a little more explicit about that behavior.",3,0
