number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
584,2016-11-29T06:47:33Z,,2017-06-01T18:40:05Z,4,62,18,"Re #379
I didn't see how commands like new would work from a local install, so I kept that behavior and added some failure paths for non ignored commands in the case of:

No local install
Missing required files

Using a global install:

In the same directory after installing (linking) locally:

Let me know if you have any concerns and how you'd like to proceed!",2,3
628,2017-01-08T17:50:50Z,2017-01-09T19:10:55Z,2017-01-09T19:10:55Z,1,4,4,,2,2
666,2017-02-08T23:46:28Z,2017-02-09T20:36:11Z,2017-02-09T20:36:11Z,2,20,7,Adds the ability to replace the default ReactDOM.render() call. This allows you to customize the render call and wrap the router with additional components (like the Redux store provider).,3,10
687,2017-02-21T01:45:02Z,2017-02-22T00:56:23Z,2017-02-22T00:56:23Z,29,3815,243,"With these two new plugins, most Gatsby sites can very easily become full-blown Progressive Web Apps! This includes working offline and (on Android) being able to “install” the website to your homescreen. Nifty! Once I got things working on my blog, I was able to quickly ""offline-ize"" three other websites very quickly.
This is the Lighthouse result I recorded while testing my blog.

These plugins are also a nice illustration of the versatility of Gatsby's plugin system and its ability to extract complex intertwining (complected) behaviors into a modular, reusable plugin. I'll walk through how the offline plugin works to illustrate this.
The offline plugin converts Gatsby to use the AppShell pattern. For SPA apps, in short this pattern works by caching an HTML page which acts as a ""shell"" for the app. Since it'd be tedious to ask every user of the offline plugin to add a special page, the plugin simply implements the createPages API and adds one itself.
exports.createPages = () => [
  {
    path: `/offline-plugin-app-shell-fallback/`,
    component: path.resolve(`${__dirname}/app-shell.js`),
  },
]
The plugin also ships with the component seen there.
Next the plugin uses postBuild to create the service worker w/ precaching and offline support enabled:
exports.postBuild = () => new Promise((resolve, reject) => {
  const rootDir = `public`

  const options = {
    staticFileGlobs: [
      `${rootDir}/**/*.{js,woff2}`,
      `${rootDir}/index.html`,
      `${rootDir}/manifest.json`,
      `${rootDir}/offline-plugin-app-shell-fallback/index.html`,
    ],
    stripPrefix: rootDir,
    navigateFallback: `/offline-plugin-app-shell-fallback/index.html`,
    cacheId: `gatsby-plugin-offline`,
    dontCacheBustUrlsMatching: /(.*.woff2|.*.js)/,
    runtimeCaching: [
      {
        urlPattern: /.*.png/,
        handler: `fastest`,
      },
      {
        urlPattern: /.*.jpg/,
        handler: `fastest`,
      },
      {
        urlPattern: /.*.jpeg/,
        handler: `fastest`,
      },
    ],
    skipWaiting: false,
  }

  precache.write(`public/sw.js`, options, err => {
    if (err) {
      reject(err)
    } else {
      resolve()
    }
  })
})
And finally, it uses the modifyPostBodyComponents API to add the snippet of Javascript to the end of the body necessary to load the service worker.
exports.modifyPostBodyComponents = () => [
  (
    <script
    dangerouslySetInnerHTML={{
        __html: (
          `
        if ('serviceWorker' in navigator) {
          // Delay registration until after the page has loaded, to ensure that
          // our precaching requests don't degrade the first visit experience.
          // See https://developers.google.com/web/fundamentals/instant-and-offline/service-worker/registration
          window.addEventListener('load', function() {
            navigator.serviceWorker.register('/sw.js');
          })
        }
      `
        ),
      }}
  />
  ),
]
Still need to add READMEs to the plugins before I merge this.",5,6
708,2017-03-09T02:16:41Z,2017-03-09T18:03:04Z,2017-03-09T18:03:04Z,1,80,85,"I thought this was a more strightforward order for describing things,
and it puts one of the most unique parts of Gatsby 1.0 right at the
top.",4,7
710,2017-03-09T17:50:22Z,2017-03-20T00:47:25Z,2017-03-20T00:47:25Z,4,25,6,This PR modifies the markdown default loader so that it automatically prefixes absolute links (such as /page1) with the linkPrefix property from the config.toml file.,4,6
727,2017-03-19T02:24:09Z,2017-03-21T18:01:16Z,2017-03-21T18:01:16Z,3,15,16,"It looks like the contributing.md file for 1.0 isn't up to date. I still can't get it to work, but this is closer. I've never built a global cli tool with node before that needed to be linked, so when you throw lerna in on top of that I'm not sure how to get started.",5,9
735,2017-03-21T00:32:22Z,2017-03-21T21:22:44Z,2017-03-21T21:22:44Z,7,1550,260,,5,14
738,2017-03-21T02:03:13Z,2017-03-21T17:59:27Z,2017-03-21T17:59:27Z,3,59,4,"Adds support for: (depth: h1-6)
allMarkdownRemark {
  edges {
    node {
      headings(depth: h1) {
        value
      }
    }
  }
}",3,4
745,2017-03-21T19:11:53Z,2017-03-21T22:02:18Z,2017-03-21T22:02:18Z,7,155,0,"Additions

modifies Webpack config to add appropriate loaders
adds '.coffee', '.cjsx' to resolvable extensions
transpiles source before Babylon parsing


All right, here's a plugin to add CoffeeScript support to Gatsby.
A few caveats: first, CoffeeScript + React is currently a troubled combination. This plugin relies upon deprecated modules that may someday prove to be dysfunctional or otherwise deficient.
Second, the installed version of CoffeeScript is next. This is not optional - named exports are required for page queries to work properly.
# good
export pageQuery = """"""
  # blah blah blah...
""""""

# bad
module.exports.pageQuery = """"""
  # blah blah blah
""""""
And finally, you will need to manually edit your coffee-loader installation and install coffeescript separately in your project directory to ensure that CoffeeScript@next is being loaded. The very first line of source in the former's index.js should be the following: note the lack of dash.
var coffee = require(""coffeescript"");
When coffee-loader starts to support CoffeeScript 2.x this hack will no longer be necessary.
That's it. Fairly simple module. Add gatsby-plugin-coffeescript to your gatsby-config.js file and go to town.",2,1
