number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
382,2015-07-22T19:21:49Z,,2019-03-01T15:45:53Z,1,8,2,"Problem:
context.Stream() listens to the closeNotifier, which gives the impression that context.Stream() will return as soon as a client disconnects.  Unfortunately, it doesn't!
This example code furthers the impression with the defer closeListener(roomid, listener) which one would expect to be called when a client navigates away, which is not the case.  In fact, it's only called on the next message that's sent to the room after said client exits.
This is because c.SSEvent(""message"", <-listener) blocks indefinitely until a message comes in, so will not return and yield to c.Stream()'s select that catches the closeNotify.  This means that if a client navigates away, the server never notices and cleans up.
Fix: Also listen to CloseNotifier inside stream handler.  This causes the step() function to return immediately when the client goes away and allows the cleanup to run.  Updating this example should make it more clear, I think!",5,4
520,2016-01-27T17:45:07Z,2017-07-08T17:17:14Z,2017-07-08T17:17:14Z,1,2,0,"I want to send it from the test with travis-ci before sending a pull request.
In the case of gin, it is an error to test the repository that was fork in travis-ci.
https://travis-ci.org/178inaba/gin/jobs/105072041
This is I think because there is assumed test the import path ""github.com/gin-gonic/gin"".
So, we added a setting to fix the import path of golang set of travis-ci.
When you add test of travis-ci was movement successfully.
https://travis-ci.org/178inaba/gin/jobs/105225833
PS Thank you for always maintains a gin.",2,0
525,2016-02-01T18:22:51Z,,2017-05-01T15:15:10Z,1,7,9,"Motivation: it's not uncommon for API requests to include auth-tokens or other key information signed in the request header. This change makes access more native and accessible.
Also modified the implementation to use Header's builtin Get() function which does the same thing in one call.",3,1
570,2016-03-30T01:00:36Z,2016-12-03T00:12:19Z,2016-12-03T00:12:19Z,2,70,5,"For scenarios like this:
// POST /?[]foo_ids=1&[]foo_ids=3&[]foo_ids=5

c.PostFormArray(""[]foo_ids"") // []string{""1"", ""3"", ""5""}",4,4
622,2016-05-19T06:22:49Z,,2019-05-20T12:45:38Z,2,20,0,Signed-off-by: tsaikd tsaikd@gmail.com,5,10
623,2016-05-19T09:46:58Z,2017-01-05T08:29:34Z,2017-01-05T08:29:34Z,1,1,1,,5,3
627,2016-05-26T08:23:09Z,2016-12-05T09:49:16Z,2016-12-05T09:49:16Z,1,1,1,reset field should be after method in LoggerWithWriter function.,5,2
631,2016-05-29T20:09:01Z,2016-12-05T09:58:31Z,2016-12-05T09:58:31Z,1,1,1,Details can be found in issue #630,4,2
637,2016-06-07T22:47:06Z,2016-12-05T09:47:24Z,2016-12-05T09:47:24Z,1,1,1,"Hi!
This pull request removes the obsolete func (LoadHTMLTemplates) in README.",5,3
694,2016-08-31T18:02:49Z,2018-08-20T07:15:31Z,2018-08-20T07:15:31Z,8,133,4,Closes #693,9,24
