number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
881,2011-12-07T18:11:38Z,2011-12-30T14:53:34Z,2011-12-30T14:53:34Z,1,1,1,"The rule that made .htaccess restrict access to files (.log, .bak,
.sh, ...) was missing an escape sequence on its dot.
As a result, in addition filtering problematic files, it also filtered
some very valid urls. For example:
mysite.com/blog        <- satisfies /.log$/ and gets filtered
mysite.com/hit-refresh <- satisfies /.sh$/ and gets filtered

This change modifies .htacces so the dot is interpreted as a literal dot
character, avoiding those issues.",5,3
1920,2017-03-10T14:44:57Z,2017-03-12T02:42:12Z,2017-03-12T02:42:12Z,1,2,0,"clip is deprecated since 2014. It works great but already has a more future proof version: clip-path.
@ryuran suggested the clip:path: inset(50%); notation as it's the shorter possible to mimic our old clip.
Here's a codepen and a post translated by Hugo Giraudel.
Hope it'll help :)",6,5
1930,2017-03-25T21:15:35Z,,2018-03-06T03:02:14Z,10,221,355,"Closes #1913

 Adds eslint support
 Removed all remaining jshint deps
 Conformed all existing code styles to eslint style config
 Used Airbnb config",4,4
1940,2017-04-21T14:17:53Z,2017-05-28T12:54:45Z,2017-05-28T12:54:45Z,12,230,13,"Fixes #1740 and #1605

removes the static custom build of modernizr
moves Modernizr to the bottom
builds a custom modernizr in gulp
adds tests for the generated modernizr
adds a modernizr config with new default tests",3,3
1971,2017-07-16T19:31:39Z,2017-07-17T12:46:11Z,2017-07-17T12:46:11Z,1,1,1,"Changed housekeeing to a real word.
Types of changes


 Bug fix (non-breaking change which fixes an issue)
 New feature (non-breaking change which adds functionality)
 Breaking change (fix or feature that would cause existing functionality to change)

Checklist:



 My code follows the code style of this project.
 My change requires a change to the documentation.
 I have updated the documentation accordingly.
 I have read the CONTRIBUTING document.
 I have added tests to cover my changes.
 All new and existing tests passed.",3,1
1979,2017-07-24T17:50:19Z,2017-07-25T15:04:18Z,2017-07-25T15:04:18Z,1,15,6,As promised in #1554,2,0
1996,2017-10-03T07:17:28Z,2017-10-03T18:56:05Z,2017-10-03T18:56:05Z,1,1,1,"Please the word 'be' duplicated and corrected that.
Thanks.
Types of changes


 Bug fix (non-breaking change which fixes an issue)
 New feature (non-breaking change which adds functionality)
 Breaking change (fix or feature that would cause existing functionality to change)

Checklist:



 My code follows the code style of this project.
 My change requires a change to the documentation.
[ x] I have updated the documentation accordingly.
 I have read the CONTRIBUTING document.
 I have added tests to cover my changes.
 All new and existing tests passed.",3,1
2006,2017-10-25T11:34:03Z,2017-11-08T01:54:07Z,2017-11-08T01:54:07Z,1,1,3,"Checklist:

 My code follows the code style of this project.
 My change requires a change to the documentation.
 I have updated the documentation accordingly.
 I have read the CONTRIBUTING document.
 I have added tests to cover my changes.
 All new and existing tests passed.

The sentence “Include the following meta tag will unintrusively allow the user the option to download your iOS app” in extend.md lets me confused, I think the sentence doesn't quite make sense.I'd suggest:

Including the following meta tag will unintrusively give the user the option to download your iOS app

and update the invalid link about meta tag in it to:
https://developer.apple.com/library/content/documentation/AppleApplications/Reference/SafariWebContent/PromotingAppswithAppBanners/PromotingAppswithAppBanners.html",2,1
2009,2017-11-22T14:19:15Z,2017-11-28T19:13:46Z,2017-11-28T19:13:46Z,8,33,17,"Types of changes


 Bug fix (non-breaking change which fixes an issue)
 New feature (non-breaking change which adds functionality)
 Breaking change (fix or feature that would cause existing functionality to change)

Checklist:



 My code follows the code style of this project.
 My change requires a change to the documentation.
 I have updated the documentation accordingly.
 I have read the CONTRIBUTING document.
 I have added tests to cover my changes.
 All new and existing tests passed.


Updated all dependencies, with the following ramifications:

Updating gulp-autoprefixer (which itself updated autoprefixer to v7) leads to a new prefix being added in dist/css/main.css.
Updating mocha to v4 required updating the npm test script (the --compilers flag was deprecated between v3 and v4).
The babel-related flag in npm test was also updated to match current syntax.


Several updates to: .travis.yml:

Tests now run on Ubuntu 14.04 (trusty) instead of 12.04 (precise, the previous default.)
Node 8 and 9 have been added and Node 7 has been removed as it has now reached EoL.


Trimmed trailing whitespace in two lines of CHANGELOG.md
Changes to dist:

In addition to the new css prefix, running a rebuild added previously-committed docs sections not reflected in dist (i.e. humans.txt) and added the shrink-to-fit=no meta tag to dist/index.html.",3,1
2026,2018-02-14T11:23:12Z,,2018-10-09T05:52:53Z,3,33,0,"Types of changes

[  ] Bug fix (non-breaking change which fixes an issue)
[ x ] New feature (non-breaking change which adds functionality)
[  ] Breaking change (fix or feature that would cause existing functionality to change)

Checklist:



[ NA] My code follows the code style of this project.  (No code changes made)
[ x ] My change requires a change to the documentation.
[ x ] I have updated the documentation accordingly.
[ x ] I have read the CONTRIBUTING document.
[ NA ] I have added tests to cover my changes.
[ NA ] All new and existing tests passed.  (No code changes made)",3,5
