number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
1,2019-08-22T09:12:28Z,2019-08-22T10:33:46Z,2019-08-22T10:33:46Z,1,3,0,"Hi there,
Awesome project going on here!!!
Well, here is my first contribution (possibly of many!!!)... 😄
On sending a request, the response section will be expanded, incase it was closed.
It seems only natural to want to look at the response (thats kinda the entire point of this webapp), so keeping it hidden doesn't make much sense...",3,11
3,2019-08-22T11:47:22Z,2019-08-22T12:57:28Z,2019-08-22T12:57:28Z,1,10,1,"Pretty self explanatory.
History is maintained across multiple sessions using the Local Storage API",3,5
10,2019-08-22T19:53:26Z,,2019-08-23T04:18:59Z,1,31,0,Show a PWA installation prompt.,3,2
20,2019-08-22T22:26:29Z,2019-08-23T00:50:32Z,2019-08-23T00:50:32Z,1,1,1,"fix for ""PWA not installable #19"" issue",3,2
27,2019-08-23T05:46:50Z,,2019-08-23T13:58:43Z,1,2,0,"Never have an out of date dependency.
Auto updates dependencies into PRs",4,5
34,2019-08-23T11:30:59Z,,2019-08-23T16:47:28Z,1,11,2,This solves #30 And Thank You for this. 💟 From fellow mallu,4,7
42,2019-08-23T22:05:36Z,,2019-08-28T00:52:38Z,1,8,0,,4,4
55,2019-08-25T00:01:14Z,2019-08-25T01:57:33Z,2019-08-25T01:57:34Z,15,854,420,"This PR adds support for background theme selection and accent color selection. Additional background/accent colors can be easily defined the application. (Refer to /layouts/settings.vue for guidance.)
Here's a full list of what this PR achieves:


Move root (var) style properties to /assets/css/themes.scss


Improve mobile navigation


Create section component for the collapsable sections.


Create logo component, so color can be changed.


Add settings page


Add option to select theme color


Add option to select theme background


Add option to enable/disable multi-colored frames.


Add settings to VueX Store


Persist VueX store in LocalStorage.


This PR also:

solves #32
solves #18 with regard to the Nuxt refactor.",4,9
63,2019-08-25T21:15:05Z,2019-08-26T05:59:59Z,2019-08-26T05:59:59Z,1,61,27,,4,8
64,2019-08-26T06:32:38Z,2019-08-26T08:25:30Z,2019-08-26T08:25:30Z,2,22,3,added Copy response Button,3,4
