number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
91,2018-12-05T17:22:31Z,2018-12-11T10:12:05Z,2018-12-11T10:12:05Z,1,24,30,"Hi !
This PR contains multiple improvements to the run_classifier.py file.
The changes are:

removing trailing whitespaces (PEP 8),
simplifying a bit the data processing code, in particular tensor formatting,
fixing issue #83 by adapting the value of the num_labels argument of BertForSequenceClassification.from_pretrained to the dataset being used.",2,1
96,2018-12-06T18:34:05Z,2018-12-13T11:05:12Z,2018-12-13T11:05:12Z,4,658,7,"Hi!
This is the code that enables Bert models to be used for Multiple Choice problems (such as Swag and ROCStories.
For my implementation, I use the algorithm described in #90 and issue #38 from the tensorflow implementation repo.
The commentaries and the README.md files have been updated but I would very much appreciate if someone could check my changes.
I am also unable to test my code on multiple GPUs so I can't check whether it works or not.
I will let a training run during the night to see what kind of result we get although I won't be able to do a proper hyper-parameter search due my computing power limitations.
I also have a question. I used pandas to load the Swag dataset, do I need to specify it somewhere in a file to add it as a dependency for pip? I have never published a module on pip.",7,14
124,2018-12-18T09:48:12Z,2019-01-07T11:03:51Z,2019-01-07T11:03:51Z,2,678,4,"We are currently working on fine-tuning the language model on a new target corpus. This should improve the model, if the language style in your target corpus differs significantly from the one initially used for training BERT (Wiki + BookCorpus), but is still too small for training BERT from scratch. In our case, we apply this on a rather technical english corpus.
The sample script is loading a pre-trained BERT model and fine-tunes it as a language model (masked tokens & nextSentence) on your target corpus. The samples from the target corpus can either be fed to the model directly from memory or read from disk one-by-one.
Training the language model from scratch without loading a pre-trained BERT model is also not very difficult to do from here. In contrast, to the original tf repo, you can do the training with multi-GPU instead of TPU.
We thought this might be also helpful for others.",5,12
145,2018-12-22T12:31:58Z,2019-01-07T11:23:06Z,2019-01-07T11:23:06Z,1,1,1,Correct the wrong note in #144,3,1
166,2019-01-05T02:43:06Z,2019-01-07T11:40:56Z,2019-01-07T11:40:56Z,1,1,1,"Error occurs when bert_model param is path or url. Therefore, if it is path, specify the last path to prevent error.",3,1
169,2019-01-06T22:13:44Z,,2019-01-07T11:41:57Z,1,1,1,Fix typo in the documentation for the description of not using masked_lm_labels,3,1
171,2019-01-07T07:51:47Z,2019-01-07T11:44:47Z,2019-01-07T11:44:47Z,1,2,2,"The LayerNorm gamma and beta should be initialized by .fill_(1.0) and .zero_().
reference links:
https://github.com/tensorflow/tensorflow/blob/989e78c412a7e0f5361d4d7dfdfb230c8136e749/tensorflow/contrib/layers/python/layers/layers.py#L2298
https://github.com/tensorflow/tensorflow/blob/989e78c412a7e0f5361d4d7dfdfb230c8136e749/tensorflow/contrib/layers/python/layers/layers.py#L2308",3,2
183,2019-01-11T08:03:57Z,,2019-02-11T12:35:49Z,11,1687,59,Adding OpenAI GPT pretrained model.,3,1
192,2019-01-13T15:56:58Z,,2019-01-17T08:41:09Z,3,5,5,Fixes misnamed documentation comments in run_squad.py and run_squad2.py and update of README.md for updated syntax of file conversion.,2,1
218,2019-01-22T22:43:30Z,2019-02-05T14:40:44Z,2019-02-05T14:40:44Z,6,80,94,"Don't do warmup twice (in BertAdam and manually)
Compute num_train_steps correctly for the case where gradient_accumulation_steps > 1. The current version might lead the the LR never leaving the warmup phase, depending on the value of gradient_accumulation_steps.

With these changes I get > 84% accuracy on MRPC, without them its around 77%.",3,4
240,2019-01-30T18:20:29Z,2019-02-01T11:14:05Z,2019-02-01T11:14:05Z,1,8,8,Updated links to classes in modeling.py,3,1
242,2019-01-30T20:11:10Z,2019-02-01T11:14:56Z,2019-02-01T11:14:56Z,2,2,2,"Resolved the following error on executing run_squad2.py --help
TypeError: %o format: an integer is required, not dict",3,1
290,2019-02-18T11:30:27Z,,2019-02-18T20:25:46Z,1,4,4,,2,1
