number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2,2019-03-24T18:12:04Z,2019-03-25T05:09:59Z,2019-03-25T05:09:59Z,1,2,0,,2,2
350,2019-09-16T22:30:45Z,2019-09-17T15:25:00Z,2019-09-17T15:25:00Z,1,7,5,,2,3
351,2019-09-17T14:19:58Z,,2019-09-17T16:50:57Z,1,2,0,add,2,1
364,2019-09-30T20:19:21Z,2019-09-30T21:48:44Z,2019-09-30T21:48:44Z,35,9,643,,2,0
369,2019-10-01T13:55:05Z,2019-10-02T00:05:50Z,2019-10-02T00:05:50Z,1,17,3,Changed Channel Name SBS Golf -> JTBC Golf,2,0
370,2019-10-01T14:00:27Z,2019-10-02T00:03:17Z,2019-10-02T00:03:17Z,1,5,7,Removed dead link,3,1
371,2019-10-01T14:11:50Z,2019-10-02T00:02:27Z,2019-10-02T00:02:27Z,1,0,116,Removal of http://190.2.154.164 links,2,0
372,2019-10-01T14:39:10Z,2019-10-02T00:15:51Z,2019-10-02T00:15:51Z,1,0,14,Moved links to South Korea Playlist,2,0
373,2019-10-01T16:24:45Z,2019-10-01T19:28:03Z,2019-10-01T19:28:03Z,1,32,0,,2,0
374,2019-10-01T20:39:30Z,2019-10-02T00:01:46Z,2019-10-02T00:01:46Z,1,2,0,,2,0
375,2019-10-01T20:40:35Z,2019-10-02T00:01:06Z,2019-10-02T00:01:06Z,1,2,0,,2,0
376,2019-10-01T20:42:31Z,2019-10-02T00:00:27Z,2019-10-02T00:00:27Z,1,4,2,,2,0
377,2019-10-02T00:26:47Z,2019-10-02T13:27:03Z,2019-10-02T13:27:03Z,1,0,32,"This file, like all files in the categories folder, is automatically generated and all changes in it will be erased during next update.
If you want to add channels, use the files in the channels folder for this.",2,0
380,2019-10-02T12:09:28Z,2019-10-02T14:37:05Z,2019-10-02T14:37:05Z,5,2,57784,"Added NBS tv in Uganda
Also updated lists with npm run generate",3,0
382,2019-10-02T16:50:48Z,,2019-10-02T18:52:11Z,1,9,0,,2,1
383,2019-10-02T16:51:38Z,,2019-10-02T21:12:05Z,1,4,0,,2,5
394,2019-10-03T16:55:43Z,2019-10-04T19:37:03Z,2019-10-04T19:37:03Z,1,8,4,Added 4 Channels,2,0
395,2019-10-03T20:01:36Z,2019-10-04T16:08:33Z,2019-10-04T16:08:33Z,1,12,0,Added 6 Channels,2,0
396,2019-10-03T20:23:17Z,2019-10-04T15:41:20Z,2019-10-04T15:41:20Z,1,18,0,Added 9 Channels,2,0
397,2019-10-03T20:40:19Z,2019-10-04T15:40:05Z,2019-10-04T15:40:05Z,1,7,1,Added 3 Channels,2,0
400,2019-10-04T13:59:56Z,2019-10-04T15:39:02Z,2019-10-04T15:39:02Z,1,2,0,Added 1 Channel,2,0
401,2019-10-04T14:10:41Z,2019-10-04T15:38:23Z,2019-10-04T15:38:23Z,1,2,0,Added 1 Channel,2,0
404,2019-10-04T21:42:01Z,2019-10-04T22:44:05Z,2019-10-04T22:44:05Z,1,10,4,Added 3 Channels,2,0
409,2019-10-05T09:20:25Z,2019-10-05T14:15:26Z,2019-10-05T14:15:26Z,1,2,0,Added SCBC,2,0
410,2019-10-05T09:31:39Z,2019-10-05T14:14:43Z,2019-10-05T14:14:43Z,1,2,0,Added MFM TV,2,0
411,2019-10-05T09:34:17Z,2019-10-05T14:14:11Z,2019-10-05T14:14:12Z,1,2,0,Added 1 Channel,2,0
412,2019-10-05T09:56:08Z,2019-10-05T14:13:34Z,2019-10-05T14:13:34Z,1,8,0,Added 4 Channels,3,0
415,2019-10-05T17:22:41Z,,2019-10-06T15:16:42Z,1,31,1,Added 15 Channels,3,0
416,2019-10-05T17:23:36Z,2019-10-06T15:35:12Z,2019-10-06T15:35:12Z,1,1,1,Added Fubo Cycling,2,4
418,2019-10-05T18:07:54Z,2019-10-06T15:35:40Z,2019-10-06T15:35:40Z,1,3,1,Added 4 Channels,2,0
419,2019-10-05T18:50:38Z,2019-10-05T22:24:32Z,2019-10-05T22:24:32Z,1,4,0,Added 2 Channels,2,0
420,2019-10-05T19:58:42Z,2019-10-05T22:23:51Z,2019-10-05T22:23:51Z,1,8,0,Added 4 Channels,2,0
421,2019-10-06T08:48:14Z,2019-10-06T13:58:54Z,2019-10-06T13:58:54Z,1,6,0,Added 3 Channels,2,0
422,2019-10-06T09:30:55Z,2019-10-06T14:02:11Z,2019-10-06T14:02:11Z,1,6,0,,2,0
423,2019-10-06T09:47:48Z,2019-10-06T14:01:03Z,2019-10-06T14:01:03Z,1,14,4,,2,0
437,2019-10-06T20:57:03Z,2019-10-07T18:56:36Z,2019-10-07T18:56:36Z,1,4,3,,2,0
438,2019-10-07T07:20:47Z,2019-10-07T16:30:01Z,2019-10-07T16:30:01Z,1,2,0,Add Kantipur Live TV to the list.,2,1
444,2019-10-07T19:57:23Z,2019-10-08T23:22:01Z,2019-10-08T23:22:01Z,0,0,0,,3,0
445,2019-10-07T20:31:36Z,2019-10-07T22:46:30Z,2019-10-07T22:46:30Z,1,26,2,,2,0
446,2019-10-07T20:45:52Z,2019-10-07T22:43:26Z,2019-10-07T22:43:26Z,1,8,0,,2,0
447,2019-10-07T21:04:43Z,2019-10-07T22:42:17Z,2019-10-07T22:42:17Z,1,2,0,,2,0
448,2019-10-07T23:12:55Z,2019-10-08T08:50:44Z,2019-10-08T08:50:44Z,1,0,16,,2,0
449,2019-10-08T00:04:51Z,2019-10-08T02:08:11Z,2019-10-08T02:08:11Z,13,193,238,This pull request is auto-generated. It formats links and generates grouped playlists.,1,0
450,2019-10-08T02:07:07Z,2019-10-08T23:30:52Z,2019-10-08T23:30:52Z,28,676,678,Sorted channels in the international playlist by country.,2,0
451,2019-10-08T02:14:00Z,2019-10-08T08:19:28Z,2019-10-08T08:19:28Z,2,2,2,,2,0
455,2019-10-08T07:48:33Z,2019-10-08T16:39:29Z,2019-10-08T16:39:29Z,1,3,5,"Added Chacra TV
Removed Telered  -> Channel From Costa Rica
Removed Teleoro -> TV Teleoro Canal 13 -> Plays always the same commercial spot in a loop",2,0
456,2019-10-08T09:22:31Z,2019-10-08T16:36:30Z,2019-10-08T16:36:30Z,1,2,0,Added M4 Malayalam -> http://www.m4malayalam.tv/,2,0
457,2019-10-08T09:26:18Z,2019-10-08T16:35:56Z,2019-10-08T16:35:56Z,1,2,0,,2,0
460,2019-10-08T17:53:49Z,2019-10-08T23:13:27Z,2019-10-08T23:13:27Z,1,0,4,"Removed 2 dead links
By the way, pay attention to the link on the TOLO TV channel 😅. For the first time I see this in playlists.",2,1
461,2019-10-08T19:50:05Z,2019-10-08T21:59:05Z,2019-10-08T21:59:05Z,1,24,0,Added 12 channels,2,0
462,2019-10-08T21:36:47Z,2019-10-08T23:07:49Z,2019-10-08T23:07:49Z,1,2,0,,3,0
464,2019-10-09T01:11:43Z,2019-10-09T07:50:04Z,2019-10-09T07:50:05Z,1,2,0,Added working link to CNBC channel. Closes #458,2,0
465,2019-10-09T03:12:47Z,2019-10-09T07:49:45Z,2019-10-09T07:49:45Z,1,213,213,Updated channel names,2,0
466,2019-10-09T09:17:35Z,2019-10-09T16:10:56Z,2019-10-09T16:10:56Z,1,12,0,,2,0
467,2019-10-09T10:52:42Z,2019-10-09T16:15:20Z,2019-10-09T16:15:20Z,1,13,1,,2,0
468,2019-10-09T10:53:19Z,2019-10-09T16:16:01Z,2019-10-09T16:16:01Z,1,2,0,,2,0
469,2019-10-09T10:56:01Z,2019-10-09T16:16:44Z,2019-10-09T16:16:44Z,1,2,0,,2,0
475,2019-10-10T08:23:06Z,2019-10-10T17:43:45Z,2019-10-10T17:43:45Z,1,84,0,,2,0
476,2019-10-10T08:51:00Z,2019-10-10T17:41:09Z,2019-10-10T17:41:09Z,1,38,0,,2,0
477,2019-10-10T09:30:46Z,2019-10-10T23:59:51Z,2019-10-10T23:59:51Z,1,4,0,,2,0
478,2019-10-10T10:53:30Z,,2019-10-15T15:14:32Z,1,2,0,,3,5
481,2019-10-10T22:28:59Z,2019-10-11T00:15:18Z,2019-10-11T00:15:18Z,1,14214,0,,3,0
483,2019-10-11T08:05:03Z,2019-10-11T22:12:07Z,2019-10-11T22:12:07Z,1,45,1,,2,2
484,2019-10-11T08:24:20Z,2019-10-11T16:07:22Z,2019-10-11T16:07:22Z,1,4,0,,2,0
485,2019-10-11T08:51:38Z,2019-10-11T16:06:24Z,2019-10-11T16:06:24Z,1,20,0,,2,0
486,2019-10-11T08:58:19Z,2019-10-11T16:03:52Z,2019-10-11T16:03:52Z,1,7,5,,2,0
487,2019-10-11T09:02:17Z,,2019-10-13T16:19:08Z,1,3,0,,3,0
488,2019-10-11T09:03:00Z,2019-10-11T16:03:13Z,2019-10-11T16:03:13Z,1,2,0,,2,0
489,2019-10-11T10:43:55Z,2019-10-11T16:02:39Z,2019-10-11T16:02:39Z,1,4,0,,2,0
490,2019-10-11T10:56:41Z,2019-10-11T16:01:49Z,2019-10-11T16:01:49Z,1,2,0,,2,0
494,2019-10-12T01:44:58Z,2019-10-13T07:57:38Z,2019-10-13T07:57:38Z,42,4,296,All links tested with npm test and VLC player,2,3
495,2019-10-12T22:08:04Z,2019-10-13T01:37:29Z,2019-10-13T01:37:29Z,1,2,0,,2,0
496,2019-10-12T22:35:31Z,2019-10-13T01:36:58Z,2019-10-13T01:36:58Z,1,6,4,,2,0
497,2019-10-13T08:13:08Z,2019-10-13T16:19:52Z,2019-10-13T16:19:52Z,1,2,0,,2,0
498,2019-10-13T09:55:37Z,2019-10-13T19:21:53Z,2019-10-13T19:21:53Z,1,2,2,,2,0
499,2019-10-13T10:02:16Z,2019-10-13T16:24:19Z,2019-10-13T16:24:19Z,1,4,4,"http://www.lyngsat-stream.com/tvchannels/pt/TV-Mana-1.html is a Portugese channel
#EXTINF:-1 tvg-id="""" tvg-name="""" tvg-logo=""http://content.iptvprivateserver.tv/stalker_portal/misc/logos/240/1550.png"" group-title="""",TV Maná 1
http://195.22.11.11:1935/tvmana/tvmana1/chunklist.m3u8",2,0
