number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
331,2016-11-11T12:50:24Z,2016-11-13T17:45:32Z,2016-11-13T17:45:32Z,1,1,0,"Add hybrid recommender system repo,",3,0
374,2017-05-08T04:36:51Z,2017-05-17T16:46:54Z,2017-05-17T16:46:54Z,1,1,0,Added LightGraphs (graph modeling) for Julia.,3,2
418,2017-08-31T18:43:42Z,2017-09-02T14:32:06Z,2017-09-02T14:32:06Z,1,1,0,,3,1
536,2018-09-24T21:30:03Z,,2018-10-04T09:27:20Z,1,2,1,,2,1
602,2019-04-18T19:47:21Z,2019-05-10T19:26:16Z,2019-05-10T19:26:16Z,1,1,0,"Add link to numpy-ml, a repository of various machine learning algorithms written in numpy.",3,0
633,2019-09-30T12:05:13Z,,2020-01-27T14:58:13Z,2,458,432,Delete Neuron library item from table of contents,3,3
699,2020-06-22T11:04:51Z,,2020-08-18T14:19:05Z,1,0,28,,4,2
802,2021-06-30T19:01:51Z,2021-07-06T13:57:06Z,2021-07-06T13:57:06Z,1,2,1,More info about Intel(R) Extension for Scikit-learn: https://intel.github.io/scikit-learn-intelex/,3,0
842,2022-01-31T13:53:30Z,2022-03-18T13:40:15Z,2022-03-18T13:40:15Z,1,3,0,"I added open source deepface, retinaface and chefboost project here.",3,0
889,2022-10-10T17:13:26Z,,2022-11-06T06:25:48Z,1,45,0,"I have updated the Readme file for user-friendly Open Source Contributors.
Review my PR.",2,1
890,2022-10-17T08:54:30Z,2022-11-06T15:56:42Z,2022-11-06T15:56:42Z,1,1,0,Greetings. I have added the package 'SKBEL' which is a Python library built to perform Bayesian inference on multivariate datasets.,3,0
891,2022-10-22T05:33:42Z,2022-11-06T15:56:59Z,2022-11-06T15:56:59Z,1,1,0,,3,2
923,2023-03-18T15:49:06Z,2023-04-12T00:39:15Z,2023-04-12T00:39:15Z,1,1,0,Add Frouros library to General-Purpose Machine Learning section.,4,1
933,2023-04-17T07:24:24Z,2023-05-07T21:59:45Z,2023-05-07T21:59:45Z,1,2,1,calculus by ron larson link was broken hence added a correct one,4,1
953,2023-07-25T05:31:57Z,2023-08-14T21:29:34Z,2023-08-14T21:29:34Z,1,2,1,"The current books.md have an issue, The link which should redirects the learner to the  book An Introduction To Statistical Learning(R version) is broken so I've updated the link and changed its name. I've also added the new ISL book with applications in python which came early this month. I've carefully made changes so it aligns with  existing writing style.
Thank You",3,0
956,2023-09-17T18:48:09Z,2023-10-30T15:30:34Z,2023-10-30T15:30:34Z,1,1,0,,3,0
976,2024-02-14T13:18:46Z,2024-02-26T15:22:25Z,2024-02-26T15:22:25Z,1,0,2,remove duplicated project named Neuron,3,1
