number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
759,2016-12-05T12:31:42Z,2016-12-14T06:37:27Z,2016-12-14T06:37:27Z,2,66,34,"Replace the ""temp file"" workaround with the ""read"" function: it's
simpler and faster.
Use proper escaping, remove the custom function.
The ""file"" widget uses last token as root for the ""find"" command.
This replaces the equivalent of '**' completion in bash/zsh.
The ""$cwd"" non-expanded variable can be used in FZF_CTRL_T_COMMAND to
set the root.
This closes #443, #484, #486 and #747.",6,28
784,2016-12-30T16:21:00Z,2017-01-16T02:58:14Z,2017-01-16T02:58:14Z,3,14,0,,2,8
792,2017-01-06T04:56:49Z,,2017-01-19T18:04:25Z,1,50,1,"Hi @junegunn,
This is a PR for accompanying issue #775. I've tried to make it the least invasive as possible. Basically it just adds a separate code path s:execute_tmux_async to run fzf-tmux asynchronously if Vim8 jobs or Neovim are available. s:execute_tmux_async is closely modeled after s:execute_tmux and s:execute_term.
Please check the commit message for more details.
Tested on both Linux and Mac using Vim 8.0.0086 and Neovim 0.1.7.",2,5
836,2017-02-06T22:08:56Z,2017-02-07T05:42:08Z,2017-02-07T05:42:08Z,1,1,1,,2,1
840,2017-02-08T06:15:17Z,2017-02-09T05:05:03Z,2017-02-09T05:05:03Z,1,6,1,fixes #839,2,1
844,2017-02-15T15:09:58Z,2017-02-16T08:18:01Z,2017-02-16T08:18:01Z,3,8,9,,2,2
895,2017-04-02T04:12:04Z,2017-04-03T02:49:54Z,2017-04-03T02:49:54Z,1,11,3,"Hi 🍣
I tried fix issue #796.",2,3
896,2017-04-02T20:27:26Z,2017-04-22T02:30:51Z,2017-04-22T02:30:51Z,1,97,36,"Category

 fzf binary
 fzf-tmux script
 Key bindings
 Completion
 Vim
 Neovim (starting 3adea89)
 Etc.


OS

 Linux
 Mac OS X
 Windows
 Windows Subsystem for Linux
 Etc.


Shell

 bash
 zsh
 fish



PR for the shellescaping issue I described in #882.
I added wrapper functions to handle filepath functions in vim.

set noshellslash for backslash in filepaths
set shellslash for shellescape() to single quote first, and then double quote its output   (ex. path --> ""'path'"")

Vim runs cmd.exe twice, one is a wrapper proxy, and the other is the actual command
cmd.exe strips the double quotes of each argument
C:\Program Files (x86)\ (no quotes) breaks on s:execute() so it must be escaped with single/double quotes in cmd.exe and powershell



I wasn't sure where to put the new functions so I placed them just after if guard at the top of the file because I used fzf#expand for s:base_dir.",3,29
916,2017-05-07T05:05:51Z,2017-05-29T01:06:06Z,2017-05-29T01:06:06Z,2,42,20,"Continuation of #896.
Previous PR cannot escape double quotes properly in s:evaluate_opts because of escaping assumptions made by cmd.exe. Instead on relying shellescape which relies on shellslash, use s:shellesc to escape with \ in Unix and \^ in Windows. For now, only "" is escaped this way. The last backslash is escaped the same way as in s:fzf_shellescape.
The outer double quotes are escaped via ^ so cmd.exe knows where the escaping starts and ends. Without it, shell redirection with > fails even if the double quote character is escaped.
> fzf --prompt ""C:/Program \"" Files (x86)/"" ""--multi"" > tmp.txt
unknown option: >",2,16
927,2017-05-19T22:55:10Z,2017-05-20T10:08:57Z,2017-05-20T10:08:57Z,1,33,0,"As the README contains quite a bit of information, having a table of content would help navigation/jumping immediately to one's required information.
You can preview it here
Great project BTW 😋
PS: I used ekalinin/github-markdown-toc",2,1
