number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
3,2016-10-06T10:08:17Z,2016-10-06T16:40:31Z,2016-10-06T16:40:31Z,1,1,1,,3,0
6,2016-10-06T15:49:06Z,,2016-10-06T21:20:55Z,1,21,0,,3,1
9,2016-10-06T19:24:59Z,2016-10-06T21:25:38Z,2016-10-06T21:25:38Z,1,87,102,"Improving readability and making a cleaner template.
If you agree with the changes I can follow finishing the file.",3,5
23,2016-10-09T01:36:16Z,2016-10-09T03:32:02Z,2016-10-09T03:32:02Z,2,10,1,Add Go resource in my studying process,3,1
38,2016-10-15T16:08:41Z,2016-10-16T02:17:14Z,2016-10-16T02:17:14Z,1,3,0,"I add a tutorial on Udemy that talking about how to get ready for interview like Google, Facebook, SnapChat, or AirBnb form a former Google interviewer.",2,2
78,2016-12-20T19:12:18Z,2017-05-28T17:00:33Z,2017-05-28T17:00:33Z,2,1923,2020,"Description
Spanish translation of google-interview-university
This is a work in progress ! Feel free to collaborate!

Pick an issue from https://github.com/dossorio/google-interview-university/issues
Fork https://github.com/dossorio/google-interview-university and translate your chunk in translations/README-es.md
Open a pr with master of this repo as base for your pr and contribute ! Thank you so much !! :)

All commits will be squashed into one big Spanish Translation before merging, so don't worry about them! just translate ! 👍",8,11
83,2016-12-22T05:53:09Z,2016-12-25T20:03:37Z,2016-12-25T20:03:37Z,2,1678,1,"Hi, This is initial draft with partial translation.",3,4
88,2016-12-23T08:07:38Z,2020-11-28T18:12:43Z,2020-11-28T18:12:43Z,1,2001,0,,12,9
94,2016-12-26T09:55:48Z,2016-12-27T04:55:10Z,2016-12-27T04:55:10Z,1,15,15,made title changes,3,0
103,2016-12-31T13:58:21Z,,2021-07-29T15:11:02Z,1,37,38,"I have fixed some hindi translation typos.
Please review.
Thank you",6,9
123,2017-01-06T05:01:41Z,,2017-01-07T18:18:30Z,1,3,239,,3,1
159,2017-03-04T01:18:38Z,2017-03-12T00:16:34Z,2017-03-12T00:16:34Z,1,1940,0,"Create translation file for Thai.
Update introduction and table of content.",3,5
164,2017-03-10T06:08:00Z,2017-04-05T03:58:52Z,2017-04-05T03:58:52Z,1,18,18,,3,2
165,2017-03-11T11:10:48Z,,2017-08-23T10:08:21Z,1,24,24,Updated Ukrainian translation,4,0
168,2017-03-14T02:40:05Z,2017-03-14T17:00:08Z,2017-03-14T17:00:08Z,1,21,22,"Fixed typos in a readme.md file and improved some translations. ✏️
Feel free to review before merging.",3,2
173,2017-03-19T14:52:34Z,2017-03-19T18:32:36Z,2017-03-19T18:32:36Z,1,20,17,I also fixed some spelling mistakes and some Vietnamese writing styles.,4,4
185,2017-04-11T09:46:43Z,2021-07-29T16:02:39Z,2021-07-29T16:02:39Z,1,45,0,We start Turkish translation,4,1
212,2017-06-05T10:31:08Z,2017-06-09T04:09:25Z,2017-06-09T04:09:25Z,1,1,1,"Summary of Changes

change // prefix for comments to # in .gitignore",3,1
213,2017-06-09T14:37:40Z,2017-06-10T17:52:17Z,2017-06-10T17:52:17Z,1,1,1,Just a formatting improvement to lead readers straight to the referred section (#video-series).,3,1
288,2017-12-20T08:52:43Z,2017-12-22T03:29:47Z,2017-12-22T03:29:47Z,1,103,102,"Correct some mistakes in Vietnamese translation
Keep up to date with English version

@letientai299 @thovo @dangkhoasdc @duytruong @jarvisluong please help me to review.
Many thanks :)",3,1
311,2018-02-27T20:32:52Z,2020-10-14T15:29:35Z,2020-10-14T15:29:35Z,1,31,31,"@amoulkaf
Thanks for your initiative, i've done some work here. If it please you i would do more
amoulkaf#4",3,2
315,2018-04-06T09:32:18Z,2018-04-20T02:19:44Z,2018-04-20T02:19:44Z,1,3,2,,2,1
373,2018-10-24T19:32:15Z,,2020-02-12T05:53:16Z,1,2,2,Replaced link week 3 with link to week 4,2,0
379,2018-10-30T14:31:56Z,2020-12-29T21:07:30Z,2020-12-29T21:07:30Z,0,0,0,,4,2
406,2019-01-16T04:25:29Z,2019-01-19T20:55:14Z,2019-01-19T20:55:14Z,1,3,3,Fix link to Coursera videos in Algorithmic complexity / Big-O / Asymptotic analysis section.,2,2
422,2019-04-25T07:47:27Z,2019-04-26T02:19:49Z,2019-04-26T02:19:50Z,13,13,13,The image which links Coding at the whiteboard - from HBO's Silicon Valley not found in translations.,4,1
434,2019-07-13T16:55:06Z,2019-09-14T20:12:46Z,2019-09-14T20:12:46Z,1,2094,0,"Translated to german, open for discussion",3,5
440,2019-08-06T06:00:20Z,2019-08-09T03:50:01Z,2019-08-09T03:50:01Z,1,0,6,remove img at #439,2,2
467,2019-12-14T17:10:23Z,2020-01-24T04:45:47Z,2020-01-24T04:45:47Z,1,0,0,"Although the translation could be improved and modified, here is my piece of work. If you think its worth to merge in.",3,1
507,2020-04-09T12:35:36Z,2020-04-09T16:12:30Z,2020-04-09T16:12:30Z,2,1201,1208,"Hi. First of all, great & interesting project! I saw that Polish version is uncomplete, not finished yet. So, here (eg. see the diff comparison):
https://github.com/mbiesiad/coding-interview-university/blob/master/translations/README-pl.md
@jwasham
is updated & finished Polish version. 🔥  Please, enjoy!
Best greetings",2,2
521,2020-05-05T20:50:18Z,2021-04-21T14:49:13Z,2021-04-21T14:49:13Z,1,1978,0,started translating in urdu,4,3
522,2020-05-07T09:16:41Z,2020-10-03T01:23:43Z,2020-10-03T01:23:43Z,1,1,1,,3,0
537,2020-06-01T15:56:43Z,,2020-10-03T19:01:34Z,1,3,0,Stanford gives two assignments (cs106b) about recursion and backtracking. May be useful to get more practice.,5,1
628,2020-09-16T15:47:29Z,2020-09-22T23:52:18Z,2020-09-22T23:52:18Z,1,1,1,Grammar error corrected.,5,2
637,2020-10-01T03:50:15Z,,2020-10-02T14:45:19Z,1,1,1,,4,3
638,2020-10-01T08:37:54Z,2020-10-03T19:00:10Z,2020-10-03T19:00:10Z,1,3,0,"added new course links for HTML, CSS, and Javascript.",4,2
640,2020-10-02T11:25:18Z,2020-10-03T19:04:43Z,2020-10-03T19:04:43Z,1,114,114,"This is my first pull request, I would greatly appreciate any feedback given to this!",3,4
643,2020-10-03T04:35:58Z,,2020-10-03T18:58:22Z,1,1,0,Codeforces website is not mentioned despite being a popular platform for challenges. I hope you add it as it has a great community and following amongst programmers.,3,1
662,2020-10-24T02:39:04Z,2020-10-25T18:12:13Z,2020-10-25T18:12:13Z,16,0,15,"Removed this link https://www.coursera.org/learn/data-structures-optimizing-performance/lecture/ovovP/core-trees because that link is 404 - not found.
Readme for that part has been updated before in 2263be3.",3,1
674,2020-11-14T00:18:02Z,2020-11-23T16:36:32Z,2020-11-23T16:36:32Z,1,5,0,Adding a link to multiple Algorithms implementation from Princeton University,3,2
676,2020-11-17T17:03:36Z,2020-11-19T18:17:42Z,2020-11-19T18:17:42Z,1,1992,0,Added Khmer translation.,3,1
709,2020-12-30T15:55:16Z,,2020-12-30T17:38:35Z,1,1,1,,3,1
739,2021-02-15T21:39:09Z,,2021-02-16T02:05:50Z,1,7,7,,4,1
774,2021-04-07T05:15:11Z,2021-04-11T01:34:58Z,2021-04-11T01:34:58Z,1,2,1,Updated Resume Section and added information about ATS Complaint Resume.,2,1
783,2021-04-14T17:36:58Z,,2021-04-18T02:54:42Z,1,8,0,Updated information about some of the best Platforms with huge and good collections of interview resources that will help them crack the interviews of big tech companies.,2,1
862,2021-05-29T10:15:14Z,,2021-05-30T00:16:34Z,1,3,1,Uploaded a few resources to discrete math from MIT and Stanford,3,2
879,2021-06-13T08:29:44Z,,2021-06-14T00:26:02Z,1,4,0,Added Information about Free Resources and Roadmap for those who wants to learn and master Computer science even if they are beginner,2,1
894,2021-06-16T07:42:40Z,,2021-06-16T13:18:47Z,1,1,1,worked 👍,2,2
900,2021-06-20T04:20:52Z,2021-06-24T16:50:52Z,2021-06-24T16:50:52Z,1,5,0,"Added list of platforms which is helpful in finding the perfect job, internship or any other information like salary for a specific role in a specific company and much more.",2,3
963,2021-09-07T21:20:30Z,2021-09-08T15:21:37Z,2021-09-08T15:21:37Z,1,2,0,,3,1
1010,2021-10-29T22:10:58Z,,2022-07-09T20:53:01Z,1,27,23,"update the first chapter ""What is it?"" as well as add line ""The Study Plan"" (in hebrew) and fix the link to ""What is it?""  in the table of contents",2,1
1022,2021-11-18T04:25:41Z,2021-11-19T19:41:11Z,2021-11-19T19:41:11Z,2,79,86,"in sync with main branch

fixes typos on not translated parts
added new links
removed some sections (OOP, System routine)

Fix wrong links on indexes and translate more sentences in korean.",2,3
1036,2021-12-20T18:35:39Z,2022-01-05T16:09:56Z,2022-01-05T16:09:56Z,1,1988,0,"I will be committing the progress of the translation to this PR
closes #1032",3,6
1054,2022-01-29T05:35:42Z,,2022-01-29T18:19:47Z,1,4,4,,3,1
1100,2022-03-06T18:30:22Z,2022-03-08T17:30:48Z,2022-03-08T17:30:48Z,1,2,2,,2,3
1106,2022-03-14T10:08:27Z,2022-03-16T16:16:21Z,2022-03-16T16:16:21Z,1,316,352,"Se ha mejorado la presentación (hasta donde he podido), corregido faltas de ortografía, gramática y se han añadido nexos en algunas ubicaciones del texto.",2,3
1129,2022-04-05T04:46:30Z,2022-04-10T16:54:33Z,2022-04-10T16:54:33Z,1,26,26,Updated translations and fixed broken links in Index (अनुक्रमणिका) part.,2,1
1154,2022-05-29T08:55:03Z,2022-06-02T15:20:46Z,2022-06-02T15:20:46Z,2,1,1,"Hi, I have added a cheat sheet on Java. Hope it helps.",3,7
1157,2022-06-28T11:59:44Z,2022-06-29T15:35:06Z,2022-06-29T15:35:06Z,1,1,1,"Updated the link of a book whose new edition has arrived in the market.
The name of the book is : Introduction to Algorithms and the edition was updated from 3rd to 4th.",2,2
