number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
9,2016-12-28T04:16:33Z,2017-01-04T01:22:16Z,2017-01-04T01:22:16Z,3,50,4,@goodmanship I'm creating this draft PR from your branch so we can discuss the code changes.,3,2
12,2017-01-04T23:33:35Z,2017-01-05T01:08:25Z,2017-01-05T01:08:25Z,4,10,7,"new since i last merged:

test actually tests something
version bump",3,4
47,2017-03-29T15:21:12Z,,2017-03-31T00:37:09Z,5,75,39,"Added the Web interface/dashboard to the docker image (and little refactor for comments in the Makefile).
NOTE: I temporary excluded ElasticSearch from DEFAULT_APIS list inside localstack/mock/infra.py due to #46",3,8
86,2017-05-03T05:46:36Z,2017-05-13T11:37:21Z,2017-05-13T11:37:21Z,2,15,1,Added docker-compose.yml for another option for running localstack,3,5
95,2017-05-05T18:29:53Z,,2017-05-09T02:12:38Z,7,118,20,"delete_function will no longer error out (500 internal error) when deleting a function that doesn't exist
added update_event_source_mapping
added delete_event_source_mapping
list_event_source_mappings is modified per AWS doc, it will return all mappings unless EventSourceArn and/or FunctionName are in the request, in which case only matched items will be returned. This helps the user decide if a specific mapping already exists before calling update_event_source_mapping",3,4
160,2017-07-15T14:41:14Z,2017-07-15T15:50:18Z,2017-07-15T15:50:18Z,1,7,0,"I use S3 and DynamoDB on localstack.
Thank you for commit 985a840 which I am needed.
But still CORS error occured as following.

So I added Access-Control-Allow-Headers and It worked well.
Best regards.",2,1
224,2017-07-31T23:06:03Z,2017-08-05T08:02:28Z,2017-08-05T08:02:28Z,11,95,13,I'll need some guidance to get the test in working order. Fixes #222,2,2
267,2017-08-27T06:59:16Z,2017-08-29T05:11:49Z,2017-08-29T05:11:49Z,2,228,0,"S3 offers a POST operation for use in browser-based uploads: http://docs.aws.amazon.com/AmazonS3/latest/API/RESTObjectPOST.html

POST is an alternate form of PUT that enables browser-based uploads as a way of putting objects in buckets. Parameters that are passed to PUT via HTTP Headers are instead passed as form fields to POST in the multipart/form-data encoded message body.

This change modifies HTTP request bodies and response headers to match Amazon’s documented behavior. I’ve made these changes in localstack.services.s3.s3_listener.ProxyListenerS3 — is this a good place for them? If yes, I’ll follow up with a few tests of the new behavior.

 Add tests",2,8
299,2017-09-04T12:45:12Z,2017-09-05T01:18:18Z,2017-09-05T01:18:18Z,46,146,175,Enable flake8 and fix all lint errors,2,0
311,2017-09-11T20:51:32Z,2017-09-13T17:39:39Z,2017-09-13T17:39:39Z,1,18,2,"Added known function details to create-function response.
Sample call:
aws --endpoint-url http://localhost:4574 lambda create-function --runtime python3.6 --role Nobody --handler lambda.score_plan --function-name 'WOMP' --zip-file fileb://lambda.zip --description 'the-desc' --timeout 30 --memory-size 128 --publish --dead-letter-config TargetArn=the-dlc

Sample output:
{
    ""FunctionName"": ""WOMP"",
    ""FunctionArn"": ""arn:aws:lambda:us-east-1:000000000000:function:WOMP"",
    ""Runtime"": ""python3.6"",
    ""Role"": ""Nobody"",
    ""Handler"": ""lambda.score_plan"",
    ""Description"": ""the-desc"",
    ""Timeout"": 30,
    ""MemorySize"": 128,
    ""VpcConfig"": {
        ""SubnetIds"": [
            null
        ],
        ""SecurityGroupIds"": [
            null
        ]
    },
    ""DeadLetterConfig"": {
        ""TargetArn"": ""the-dlc""
    },
    ""Environment"": {
        ""Variables"": {},
        ""Error"": {}
    },
    ""TracingConfig"": {}
}


 Add tests if this makes sense.

Closes #305.",2,3
