number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
38,2021-07-13T16:54:13Z,,2022-04-14T03:32:43Z,2,20609,6970,"automated changelog containing commits + diff from last release
automated version bumping
tag creation

might be used to trigger GitHub workflows/ GitHub Actions for Docker releases in the future?


semver support",4,8
57,2021-07-16T04:25:13Z,,2021-07-22T06:18:42Z,2,98,27,"Greetings fellow HKer!
Using multiple A Records in a DNS result is a well established method of providing redundancy. The problem is that Node.js's networking is one of the few that does not handle this gracefully (discussed in here almost 5 years ago). If one of the servers Timeout and node happen to request it first, it will be shown as DOWN, but browsers can visit the site no problem since they will try all the servers simultaneously. In my case it's unfortunately a deal-breaker as I don't have full control over the DNS, and one of the IPs returned is always down.
Here I have worked out a minimal viable fix for the problem by using async to try all the servers in parallel, and return if one of them has a successful response. Ideally I think the UI should also support displaying multiple servers for a hostname, but I would like to know your thoughts on that first.",5,3
74,2021-07-18T01:12:26Z,2021-07-22T03:16:19Z,2021-07-22T03:16:19Z,10,25,30,"Fix require-v-for-key, remove unused declarations and double spaces
require-v-for-key error is still there for Details,vue and DashboardHome.vue. I fixed them in #73",2,0
86,2021-07-19T16:33:01Z,2021-07-22T16:11:24Z,2021-07-22T16:11:24Z,13,81,8,"Overview
This pull request implements the retry functionality mentioned in #21
It follows the outlined draft (#56) pretty closely, except for a bit more frontend fixes to display the correct color and strings when the service is pending (retrying)
Also for now, if a service enters the retry condition, hearbeats with that status do not count towards the uptime calculation.
This change requires a database migration for existing uptime kuma installations.
The new table looks like this:
CREATE TABLE ""monitor"" (
	""id""	INTEGER NOT NULL,
	""name""	VARCHAR(150),
	""active""	BOOLEAN NOT NULL DEFAULT 1,
	""user_id""	INTEGER,
	""interval""	INTEGER NOT NULL DEFAULT 20,
	""url""	TEXT,
	""type""	VARCHAR(20),
	""weight""	INTEGER DEFAULT 2000,
	""hostname""	VARCHAR(255),
	""port""	INTEGER,
	""created_date""	TIMESTAMP,
	""keyword""	VARCHAR(255),
	""maxretries""	INTEGER NOT NULL DEFAULT 0,
	PRIMARY KEY(""id"" AUTOINCREMENT),
	FOREIGN KEY(""user_id"") REFERENCES ""user""(""id"") ON DELETE SET NULL ON UPDATE CASCADE
);

The monitor table received another field maxretries
The required migration script is NOT part of this PR, however the initial database has been updated accordingly.
Screenshot",3,2
91,2021-07-21T04:22:10Z,2021-07-26T15:05:16Z,2021-07-26T15:05:17Z,8,214,8,"Towards supporting #1

Got basic certificate info display working. The UI is very barebones, but should be functional.
Database migration now added. Front and back end now uses the URL() object as uniform access to helper methods.
Notification features are not implemented.",4,5
101,2021-07-22T07:22:46Z,2021-07-27T15:21:48Z,2021-07-27T15:21:48Z,5,231,2,"This PR makes use of https://github.com/PayU/prometheus-api-metrics to export the various metrics for each site being monitored so they can be pulled into Prometheus for further analysis and comparison with other projects.
This enables Uptime-Kuma to be used as part of SLI/SLO calculations.",3,6
113,2021-07-26T00:39:50Z,2021-07-28T12:53:00Z,2021-07-28T12:53:00Z,33,1288,1131,"To have autofix on save in Visual Studio Code, add this to your settings.json in .vscode folder:
{
  ""editor.codeActionsOnSave"": {
    ""source.organizeImports"": true,
    ""source.fixAll.eslint"": true
  },
}
Plugin: https://marketplace.visualstudio.com/items?itemName=dbaeumer.vscode-eslint",4,8
116,2021-07-27T05:35:05Z,,2021-10-23T13:30:39Z,225,41315,9852,,33,8
122,2021-07-29T08:59:01Z,,2021-09-11T10:49:43Z,2,29,15,Reduce Docker image size from 741.39 MB to 293.86 MB,6,6
124,2021-07-30T07:02:58Z,2021-09-23T08:54:07Z,2021-09-23T08:54:07Z,41,3446,896,"[Edit]
Obsolete, please see below for development updates.",8,14
150,2021-08-03T09:45:28Z,2021-08-03T14:58:56Z,2021-08-03T14:58:56Z,2,71,1,Improved version of #82.,3,0
155,2021-08-03T13:50:21Z,2021-08-08T05:47:29Z,2021-08-08T05:47:30Z,15,319,90,"darkmode via css variables + slight accessibility tweaks
close #141
ref #32",3,1
173,2021-08-05T11:13:10Z,2021-08-08T13:19:20Z,2021-08-08T13:19:20Z,11,268,22,"This PR implements options in each monitor for:

The maximum number of redirects to follow,
The ranges of status codes to accept.



I'm a bit torn with the variable naming, since I want to follow the existing naming conventions, but true camel case should be maxRedirects.
multiselect support for Vue 3 has not hit stable yet, but functionality looks fine to me.
Also, sorry for bundling a bit of styling change, but I got really triggered by the lack of spacing 😂",3,4
175,2021-08-05T16:16:14Z,2021-08-08T03:04:11Z,2021-08-08T03:04:11Z,3,62,27,,5,3
188,2021-08-08T16:20:36Z,,2021-08-10T07:56:34Z,4,11,2,,1,0
200,2021-08-10T07:03:04Z,2021-08-12T16:26:58Z,2021-08-12T16:26:58Z,2,52,15,"Once merged, this Fixes #187
@louislam - I've added the required gauges for this, but I'm struggling to see where the cert info can be retrieved from as it's not in the heartbeat JSON dict.
If you can point me in the direction of how I retrieve this information, I'm happy to add this functionality.",3,2
215,2021-08-14T02:51:55Z,,2021-08-15T12:27:10Z,4,56,2,"Hopefully closes #201
I don't know anything about anything that I just did, so please test it thoroughly. @louislam @Saibamen @chakflying",3,3
217,2021-08-15T18:52:32Z,2021-08-18T07:16:57Z,2021-08-18T07:16:57Z,6,54,4,"As mentioned in #206 was it a little hard to read the Monitor Name on smaller screens.
So i added the possibility that the user can choose how the heartbeat bar should look like.
Settings Page:

Example Normal:

Example Bottom:

Example None:",3,5
221,2021-08-16T15:59:25Z,2021-08-17T12:05:48Z,2021-08-17T12:05:48Z,1,10,3,"Use 24-Hour format display for now
Increase padding to reduce label density
Use ""ticks"" bounds to show axis ticks at the end",3,0
231,2021-08-18T08:41:24Z,2021-08-20T18:00:33Z,2021-08-20T18:00:33Z,8,152,1,"Added some information to deploy it to a K8s Cluster.

Added a K8s section to README.md
Added kubernetes folder with the deploment files and a README for K8s",3,11
238,2021-08-22T22:18:07Z,2021-08-27T16:21:10Z,2021-08-27T16:21:10Z,9,302,3,"I added DNS as a new monitor type. It was also requested at #142.
These resource record types are supported:

A
AAAA
CAA
CNAME
MX
NS
PTR
SOA
SRV
TXT

Down below you can see two examples of the UI.
Example 1:

Example 2:

Please feel free to suggest concerns or correct the code.",4,13
260,2021-08-25T11:09:04Z,2021-08-26T15:03:32Z,2021-08-26T15:03:32Z,1,9,3,"The title for when a service goes down now also has the title of the service.
Also updated the url to represent non http services",3,0
306,2021-09-01T15:15:41Z,2021-09-09T08:15:49Z,2021-09-09T08:15:49Z,5,179,2,"I added a simple import and export function to backup the monitors and notifications.
I didn't include the assignments which are on the monitors, i think it would be too much of a hassle because if the database keys.
Of course it would also be possible to just import everything directly through sql inserts but i think this is the cleaner way.
Also for some reason i didn't find out why the hover on the type=""file"" doesn't work, maybe someone else have a idea.
What do you guys think?
New i18n keys:
Import/Export Backup
Export
Import
backupDescription
backupDescription2
backupDescription3
alertNoFile
alertWrongFileType",4,6
313,2021-09-02T09:12:21Z,2021-09-03T16:05:05Z,2021-09-03T16:05:05Z,2,114,0,Added the Dutch language (which is my native language),4,1
315,2021-09-02T13:58:57Z,2021-09-05T03:52:50Z,2021-09-05T03:52:50Z,1,28,21,"Here, I have started some changes regarding standardization of notification messages.
I am getting multiple notifications and feeling that they should all have very similar title/body content, we're straying to having a different format on each platform.
Changes

Added space to PushBullet and LunaSea notifications (formatting)
Issue this fixes:


I want to make a couple more tests with some other notification types.",3,6
338,2021-09-05T18:56:49Z,2021-09-06T04:44:57Z,2021-09-06T04:44:57Z,1,34,34,"Addendum to #333
CC: @Misly16",3,0
340,2021-09-05T21:31:59Z,2021-09-08T04:49:14Z,2021-09-08T04:49:14Z,20,122,15,"Added the option to enable default notifications according to #293.
Also added a little badge to indicate them in the notifications list while editing monitors.",4,5
347,2021-09-07T02:31:36Z,2021-09-07T07:21:19Z,2021-09-07T07:21:19Z,1,5,8,"Migrate from node:14-bullseye to node:14-bullseye-slim image.
Remove unnecessary package installation.
Apprise publishes a Python wheel for Debian distributions, which allows for removing the installation of development tools (g++, make) and python libraries via apt-get.
Decreases by 51% the uncompressed Docker image size from 1.31 GB to 639 MB.

Testing:

Built image locally using Ubuntu Focal 20.04 LTS
Started the Docker container and added 3 monitors (HTTPS, PING, DNS).
I have no way of testing this for ARM.

Screenshot:",4,10
