number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
13,2019-06-13T13:30:23Z,2019-06-24T05:31:04Z,2019-06-24T05:31:04Z,1,1,1,"Question is ""what's the output"" but console.log is not called",5,3
28,2019-06-16T03:49:03Z,2019-06-16T15:40:27Z,2019-06-16T15:40:27Z,2,1291,0,"Your repo is awesome!
I want to translate the repo into Chinese.
Now, I finish the 1 - 10 question.",5,6
30,2019-06-16T14:20:04Z,2019-06-17T07:38:46Z,2019-06-17T07:38:46Z,1,1,1,"The output is undefined because it is an assignment, then we have to ask for the value of the sum const.",3,1
32,2019-06-16T21:02:52Z,2019-06-17T07:38:02Z,2019-06-17T07:38:02Z,1,1,1,,3,0
39,2019-06-17T07:42:14Z,2019-06-17T11:12:40Z,2019-06-17T11:12:40Z,1,6,6,I modified some translations with problems.,2,0
43,2019-06-17T09:43:28Z,2019-06-17T11:12:19Z,2019-06-17T11:12:19Z,1,1,1,dynamimcally -> dynamically,2,0
47,2019-06-17T18:06:44Z,2019-06-23T21:08:15Z,2019-06-23T21:08:15Z,2,1306,7,Work in progress.,3,6
53,2019-06-18T08:42:40Z,2019-06-19T06:21:57Z,2019-06-19T06:21:57Z,2,1296,1,,3,3
60,2019-06-18T18:53:32Z,2019-06-19T06:24:07Z,2019-06-19T06:24:07Z,2,1463,0,Final request.,2,0
62,2019-06-19T02:56:01Z,2019-06-19T15:41:03Z,2019-06-19T15:41:03Z,2,1295,0,,3,1
63,2019-06-19T11:29:10Z,2019-06-19T14:16:28Z,2019-06-19T14:16:28Z,2,1298,1,I have added a German translation of all the questions as of this morning.,2,2
64,2019-06-19T12:57:55Z,2019-06-23T21:11:08Z,2019-06-23T21:11:08Z,1,1,1,"c.greeting is ""Hey!"" so it's obvious that B is not an option",3,0
67,2019-06-19T14:59:47Z,,2019-06-22T10:13:37Z,5,525,159,"Removed errors in code examples due to incorrect prettier formatting.
Added all active languages to all README files.",2,0
72,2019-06-19T16:35:17Z,2019-06-20T07:09:26Z,2019-06-20T07:09:26Z,1,1,1,Fixed Western Balkan link,2,0
76,2019-06-20T02:13:07Z,2019-06-23T21:10:10Z,2019-06-23T21:10:10Z,1,1,1,remove extra symbol.,3,0
77,2019-06-20T02:25:23Z,2019-06-24T05:32:30Z,2019-06-24T05:32:30Z,1,4,5,"correct typo
remove remaining english part",4,4
78,2019-06-20T03:01:49Z,2019-06-23T21:17:55Z,2019-06-23T21:17:55Z,1,1,1,Update question 13.,2,0
