number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
8,2023-02-24T21:48:32Z,,2023-09-07T12:15:12Z,2,32,8,"Utilize parameter substitution in download.sh to allow both PRESIGNED_URL and TARGET_FOLDER to be assigned via environmental variables.
This removes the need to manually edit/sed the file once a developer receives the confirmation url.",7,9
62,2023-03-02T15:17:00Z,,2023-09-06T17:17:22Z,1,2,1,"Creating the TARGET_FOLDER before downloading the tokenizer, otherwise if the TARGET_FOLDER does not exist the download of the tokenizer fails.",6,1
71,2023-03-02T22:51:45Z,,2023-09-01T20:07:21Z,1,4,1,Added alternative torchrun through python.,6,5
73,2023-03-02T23:05:55Z,,2023-09-01T20:09:52Z,1,1,1,,503,301
109,2023-03-04T16:41:23Z,,2023-09-01T20:14:49Z,1,3,0,The torrent seed is extremely slow this should definitely help out,15,18
113,2023-03-04T20:53:00Z,,2023-08-31T23:07:28Z,1,2,2,,8,4
114,2023-03-04T21:03:01Z,,2023-08-31T23:07:36Z,1,2,2,,7,4
116,2023-03-04T21:08:39Z,,2023-08-31T23:07:54Z,1,2,2,,9,4
129,2023-03-05T22:40:55Z,,2024-02-13T22:27:52Z,5,176,12,"The current implementation of download.sh does not check whether a particular shard of the weight has already been downloaded and re-downloads them anyway, wasting time and internet. I have updated to check whether the file exists and if the checksum matches, only if these conditions fail should the download start.",4,3
141,2023-03-06T19:05:43Z,,2023-09-06T16:10:36Z,1,2,2,,8,3
178,2023-03-11T11:32:05Z,,2023-09-01T20:24:36Z,8,65,23,,4,1
184,2023-03-12T11:31:03Z,,2023-07-18T20:15:24Z,1,1,1,"From an economical and ecological perspective the current ""Non-commercial bespoke"" model license is sub-optimal and should be changed to a truly liberal open-source license like for example Apache 2.0.
In the current state Meta published the whole replication recipe open-source (GPL v3) but asks other entities to spend a lot of energy (potentially releasing massive amounts of CO2 into the atmosphere) to replicate and release a truly open-source version of LLaMA. Given the fact that LLaMA model weights are currently already available for download at many different places this is from an ecological perspective a preposterous management decision and in my personal opinion not well aligned with the overall ecological ambitions of Meta.
If you say ""open"" (as in the LLaMA paper) and you want to get the bonus credibility that comes with it .. please do it fully and not half-hearted as done currently.",477,250
