number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
32,2021-06-15T12:18:00Z,2021-06-16T20:37:53Z,2021-06-16T20:37:53Z,1,45,10,"editorial suggestions, adapt it to LEARN a little bit by

create a bullet list for learning objectives
smaller re arrangement of text
bullet list to high list ML applications",2,1
33,2021-06-15T12:33:24Z,2021-06-16T20:35:42Z,2021-06-16T20:35:43Z,1,15,10,smaller editoral changes,2,2
34,2021-06-15T13:25:28Z,2021-06-16T20:32:29Z,2021-06-16T20:32:29Z,1,59,47,the idea is to fill in the bullet lists a little more. I imagine the reader is helped by having a term explained upfront and then a meatier example below,2,1
37,2021-06-17T22:02:19Z,2021-06-19T17:55:04Z,2021-06-19T17:55:04Z,1,261,159,"editorial fixes

numbered steps
adding h3s to make for an easier read
add lead in sentences where needed

going to LEARN this feels like it needs a lot more explanation. I feel like I can follow the steps and get the same results, but I don't feel sure why I'm taking certain steps which leads to a feeling of doing a bunch of steps, but I'm not sure I can repeat them on another problem...
but the charts that are there are good, helps a lot to verify that this seems to check out...",2,1
38,2021-06-22T20:27:06Z,2021-06-22T21:31:01Z,2021-06-22T21:31:01Z,1,260,201,"editorial
renamed to exercises
code formatting",2,0
41,2021-06-22T21:42:41Z,2021-06-23T00:56:10Z,2021-06-23T00:56:10Z,1,226,172,format like exercises in LEARN,2,0
42,2021-06-23T12:01:22Z,2021-06-23T18:23:37Z,2021-06-23T18:23:37Z,1,157,126,"trying to separate concept and exercise
exercise formatting

please check veracity of my changes, it feels strange that we say multiclass is no good and then that's what we are using the exercise?",2,0
43,2021-06-23T12:24:35Z,2021-06-23T14:07:47Z,2021-06-23T14:07:47Z,1,126,91,"editorial

ensure concept comes first and then exercise",2,0
48,2021-06-24T18:46:19Z,2021-06-24T21:15:22Z,2021-06-24T21:15:22Z,1,50,41,"editorial

made the headers more like learn

wonder if the last challenge should be a more step by step thing?",2,0
49,2021-06-24T22:41:00Z,2021-06-25T00:33:40Z,2021-06-25T00:33:40Z,1,61,26,"editorial

some suggestion on editorial changes, to make for easier read",2,0
50,2021-06-25T11:18:25Z,2021-06-25T20:07:57Z,2021-06-25T20:07:57Z,2,72,55,"editorial
there's a timeseries inline thing going on in one of the exercises, please check if it should be there.",2,1
51,2021-06-25T11:49:57Z,2021-06-25T19:58:28Z,2021-06-25T19:58:28Z,1,273,257,some suggestions on formatting for an easier read,2,0
53,2021-06-25T13:08:23Z,2021-06-25T19:54:07Z,2021-06-25T19:54:07Z,2,133,103,"editorial
I got the feeling the code already exist for this, it's just a matter of running existing code?",2,0
54,2021-06-25T13:42:38Z,2021-06-25T19:50:42Z,2021-06-25T19:50:42Z,1,177,158,editorial,2,0
55,2021-06-25T14:00:03Z,2021-06-25T19:42:57Z,2021-06-25T19:42:57Z,1,17,0,editorial,2,0
76,2021-07-02T16:00:11Z,2021-07-03T03:02:40Z,2021-07-03T03:02:40Z,1,107,0,,2,1
78,2021-07-03T02:51:10Z,2021-07-07T12:02:56Z,2021-07-07T12:02:56Z,1,116,0,done,2,1
79,2021-07-03T02:53:33Z,2021-07-07T12:03:36Z,2021-07-07T12:03:36Z,1,214,0,done,2,1
80,2021-07-03T02:55:48Z,2021-07-07T12:04:29Z,2021-07-07T12:04:30Z,1,107,0,,2,1
81,2021-07-03T06:09:57Z,2021-07-03T15:53:48Z,2021-07-03T15:53:48Z,2,127,0,,2,2
82,2021-07-03T09:09:10Z,2021-07-03T15:52:59Z,2021-07-03T15:52:59Z,1,114,0,,2,1
91,2021-07-04T18:44:01Z,2021-07-05T01:29:22Z,2021-07-05T01:29:22Z,3,206,2,I also fixed a typo and an expression of other files.,2,0
92,2021-07-04T19:38:17Z,2021-07-04T21:09:52Z,2021-07-04T21:09:52Z,1,1,1,I fixed a misspelled word.,2,1
