number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
9711,2016-07-25T16:27:18Z,,2017-01-20T17:32:58Z,1,14,13,,3,0
12035,2016-09-14T17:01:18Z,2016-09-15T08:50:24Z,2016-09-15T08:50:25Z,5,63,9,"The following PR is a clumsy way to implement #11940
Basically I've replicated the README logic as well trying to generalise it whenever possible.
I'd love to get your thoughts as well some hints about how to test this, eventually.
I put some notes in the code - I hope you might clarify those points.
//cc @joaomoreno",4,8
12055,2016-09-15T04:21:39Z,,2016-09-26T22:20:53Z,8,70,7,"Adds support for vim-style relative line numbers.
Useful for vim motion plugins, replacing extension ""Relative Line Numbers"" by extr0py.

word-wrapping aware
adds editor.relativeLineNumbers option (changeable without restart), default to false
current line is absolute, others are relative (behaviour of hybrid relative numbers in vim)",4,7
12057,2016-09-15T05:43:26Z,2016-09-19T14:36:04Z,2016-09-19T14:36:04Z,1,1,0,#12056,3,2
12104,2016-09-15T22:21:22Z,2016-09-16T07:30:50Z,2016-09-16T07:30:50Z,1,6,3,"Fixes #12063.
This is a complement to #11870.
Removed the ""Folder"" registry keys, restored the ""directory"" ones and added the ""Drive"" ones.",4,2
12194,2016-09-17T17:07:50Z,2016-10-21T14:01:23Z,2016-10-21T14:01:23Z,2,27,17,"Currently whenever you try to checkout to a new branch, using the git quick open,
it will only work as long as your branch name is valid.
if your branch name is invalid you will only get ""No other branches"".
On this PR I am adjusting this behaviour so vscode will correct any invalid characters from the branch name, and still offer the option of creating a new branch.
Original Behaviour:

New Behaviour:",4,4
12291,2016-09-20T00:34:48Z,2016-09-20T08:48:38Z,2016-09-20T08:48:38Z,1,0,41,This markdown rendering worker script is not used as far as I can tell. I see no references to markdownToHtml in the codebase. This change removes it.,4,2
12328,2016-09-20T15:54:11Z,2016-09-22T07:05:10Z,2016-09-22T07:05:10Z,11,538,69,This PR implements #239 by adding a onWillSaveTextDocument which allows for pre-save modifications of a document. The API around that is still in discussion.,5,4
12400,2016-09-21T18:13:04Z,2016-10-20T03:51:41Z,2016-10-20T03:51:41Z,31,1219,64,"Opening this now to more easily track changes during development.
Fixes #101
TODO

 Backup files that are modified
 Add a delay to file backup to reduce amount of disk access
 Discard backups when files are no longer dirty
 Ensure no collisions occur with backup files

 Untitled files
 Text files


 Discard backups when a window is being closed and there is another window open
 Retain backups when the last window is being exited

 Ensure backups are up to date


 Restore backups if available on first window launch

 Restore text files
 Restore untitled files
 Launch a second window if the backup folder is different to that requested



Feedback Round 1

 Clarify ""workspace"" name in IBackupService (fixed in 1a29d14)
 Share BackupService between the main and renderer processes (fixed in c280e0c)
 Move BackupService to vs/platform/backup/node/ (fixed in 3387b6c)
 Opening empty workspaces currently errors out, disable completely for empty workspaces (fixed in 10aa709)
 Avoid sync calls where possible (fixed in 2b0a65a)

Clean up

 Resolve remaining TODOs
 Remove any console.log statements
 Add some tests
 Remove all empty lines at beginning of functions #12400 (review)
 Have backup service tests use a temporary folder for backups (needed to have tests pass on Travis)

Known issues/follow ups

#13305 Support multiple folder restore

Behavior on Mac is a little strange right now due to the fact that the application is kept open when all windows are closed. This will not feel natural on Mac until restoring multiple workspaces is resolved (made notes there)


#13733 Support hot exit on empty workspaces
#12327 Hot Exit: Restore files after an editor crashes
#14038 The tab dirty indicator is up to date right after restore, the file needs to be opened before it refreshes. See call to this.setDirty(true); in TextFileEditorModel.load
#14037 Merge backup path logic from node/fileService.ts into backupService.ts",3,7
12419,2016-09-22T04:03:14Z,2016-09-22T13:44:18Z,2016-09-22T13:44:18Z,1,1,1,Fixed typo in message shown when git cannot open a file which has been deleted.,3,1
12455,2016-09-22T14:41:56Z,2016-09-27T17:01:28Z,2016-09-27T17:01:28Z,3,9,6,The following PR should be the missing part to make #11940,4,12
12472,2016-09-22T18:08:01Z,2016-09-26T17:12:12Z,2016-09-26T17:12:12Z,1,2,2,"Issue #7638
Bug
Open a .txt file containing markdown in VSCode. Select the editor language as markdown and the highlighing kicks in, but there is no preview button for the file.
Fix
Base display of the markdown preview button on resourceScheme instead of resourceLangId.

Closes #7638",4,2
12584,2016-09-25T20:15:42Z,2016-10-21T09:42:58Z,2016-10-21T09:42:58Z,1,3,2,"If there exist tag with same ps1 as checkout commit show tag name, otherwise use ps1 as before
CC @joaomoreno, issue #1939",4,6
12628,2016-09-26T12:19:21Z,,2017-01-19T08:08:35Z,7,53,15,"Moves the traffic buttons on the window into the space above the activity bar on macOS - for full context see #12377



TODO:

 Wrap up the config setting
 migrate all CSS to be scoped by .use-inline-toolbar

fixes #12377",9,74
12704,2016-09-27T01:46:19Z,2016-09-27T08:30:27Z,2016-09-27T08:30:27Z,2,43,12,"Smoothly responsive to window height.  Never interferes with branding logo.  Vertically aligned to middle with branding logo.
Darkest possible text while still meeting minimum accessibility compliance.
Initial fade in added to speak to the user ""hey, this is not an editor""",8,2
12900,2016-09-28T16:58:42Z,,2016-09-29T04:37:53Z,2,10,3,These are the changes described in #12899.,5,2
12944,2016-09-28T21:24:33Z,2016-09-29T17:29:22Z,2016-09-29T17:29:22Z,1,4,4,"Adds a space after the default extension search queries so that users can start typing a query term right away. See Issue #12924 for details
Closes #12924",4,3
13169,2016-10-03T18:46:06Z,2016-10-09T02:32:24Z,2016-10-09T02:32:24Z,2,70,1,"Fixes #6979
@sandy081 @aeschli @alexandrudima requesting feedback on the approach.",7,12
13199,2016-10-04T09:37:23Z,2016-10-04T14:01:12Z,2016-10-04T14:01:12Z,3,26,2,For #11942,5,6
13236,2016-10-05T08:03:20Z,,2016-10-26T04:51:50Z,1,17,11,The following PR will solve #12892 - allowing to have a preview editor while navigating into files from a QuickOpen menu.,5,19
13255,2016-10-05T16:21:21Z,2016-10-07T10:11:38Z,2016-10-07T10:11:38Z,6,50,4,"Call AllowSetForegroundWindow before sending IPC to the running instance on Windows (Fixes #929)
When a second instance of vscode is started on Windows, it now performs these actions:

(New) Get PID of the original instance via IPC.
(New) Call AllowSetForegroundWindow to allow the original instance to use SetForegroundWindow. (https://blogs.msdn.microsoft.com/oldnewthing/20090220-00/?p=19083)
Send the start IPC to the original instance and exit.

I created a windows-foreground-love npm package to wrap the AllowSetForegroundWindow API.",5,13
13719,2016-10-14T03:27:08Z,2016-10-14T13:40:34Z,2016-10-14T13:40:34Z,1,1,0,,5,3
13754,2016-10-14T12:52:39Z,,2021-08-18T12:31:03Z,6,188,5,"Implemented ""File Nesting"" feature, which was requested by community #6328.
Also created new 'explorer.fileNesting' setting and user can enable or disable it.",19,44
13909,2016-10-17T21:53:52Z,,2017-01-19T08:08:11Z,11,188,71,"refs #8939
notes
#8939 (comment)
#8939 (comment)",7,39
13925,2016-10-18T07:55:47Z,2016-10-21T06:46:23Z,2016-10-21T06:46:23Z,5,44,15,"allows one to continually open files while keeping quick open widget focused
uses the right modifier key to open in background
can open in split view if using the cmd trigger key

refs #13711",5,14
14115,2016-10-20T17:36:11Z,2016-11-11T20:18:16Z,2016-11-11T20:18:16Z,34,1353,65,"#14200 Hot Exit: Support hot exit on folder workspaces
#12400 Original hot exit PR
#14055 Hot Exit: avoid direct calls to fs.readdir()/fs.readdirSync() (aab05a8)
#14060 Correctly clean up workspace backups when exiting (873d095)
#14100 & #14067 Have TextFileEditorModel handle restores (b23229f)
#14068 Hot Exit: do not load backup files to restore sync on startup in the renderer
#14065 Hot Exit: push renderer backup logic into new backup service
#14066 Hot Exit: backupService.ts feedback
Big refactor to throw as much as possible into the now several Backup*Services and leverage events
#14079 Remove public backup()
#14074 Hot Exit: Careful when you veto the shutdown from failing backups
#14181 Introduce on model dispose events to ITextFileEditorModelManager and IUntitledEditorService and track in BackupModelService
#14180 Don't hash untitled resource names for their backup paths
#14037 Merge backup path logic from node/fileService.ts into backupService.ts
#14064 Hot Exit: backupService saves and loads a LOT - Resources are no longer tracked at all in workspace.json and instead the actual backup path is checked
#14063 Hot Exit: deal with backup workspaces that do not exist anymore
#14056 Hot Exit: backup workspace handling should all happen on main side
#14330 Hot exit: Reloading the window should restore all files in the window
#14132 Hot Exit: restoring file model issues
#13305 Hot Exit: Support multiple folder restore (5bb2cb8, 57c6e72)
#15134 Hot exit on Mac currently allows closing the final single window
#15130 Cannot exit empty workspace windows on Windows when hot exit is enabled
#15137 Close folder does not clear the backup workspace path",4,12
14717,2016-10-30T14:21:11Z,,2017-01-03T09:25:54Z,3,11,1,I used the same logic used for the window.openFilesInNewWindow setting,4,10
14811,2016-11-01T16:30:59Z,2016-11-04T19:24:20Z,2016-11-04T19:24:20Z,2,79,0,"In the newly introduced syntax extension the width and height of an image
can be given in the image title using following format:
![image](someimageurl 'caption|height=200, width=100').
Both width and height parameters are optional, if they are not given the
width and height attributes remains unset on the image element
This resolves #14803",7,3
15050,2016-11-05T23:25:38Z,2016-12-13T10:08:41Z,2016-12-13T10:08:41Z,1,21,3,,3,10
15320,2016-11-10T22:21:55Z,2016-11-14T11:09:28Z,2016-11-14T11:09:28Z,3,28,3,,6,10
15493,2016-11-15T03:49:18Z,2016-11-17T19:37:06Z,2016-11-17T19:37:06Z,11,151,71,Fixes #15260,5,1
15526,2016-11-15T18:36:06Z,2016-11-18T06:50:36Z,2016-11-18T06:50:36Z,12,45,34,Fixes #14067,4,1
15593,2016-11-16T22:54:29Z,2016-11-17T19:25:49Z,2016-11-17T19:25:49Z,6,49,10,"Fixes #15571

@bpasero let me know if you see issues with this approach. Another way is to make the backup services @optional and only register them if backups are enabled.",4,1
