number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
23,2017-09-07T01:08:31Z,2017-09-07T15:57:54Z,2017-09-07T15:57:54Z,1,1,1,,3,1
37,2017-09-14T21:34:42Z,2017-09-16T16:16:12Z,2017-09-16T16:16:12Z,1,1,0,What Every Programmer Should Know About Memory is a modern classic. The paper explains in a really simple and interesting way how memory works and how a programmes should go about using memory.,2,3
51,2017-09-18T07:26:45Z,2017-09-18T12:36:35Z,2017-09-18T12:36:35Z,1,1,1,"Corrected broken link for ""The Ten Rules of a Zen Programmer""",2,1
67,2017-09-25T06:51:05Z,2017-09-28T11:47:04Z,2017-09-28T11:47:04Z,1,1,1,Fix for two small typos,3,1
70,2017-09-28T07:05:06Z,2017-10-03T14:04:09Z,2017-10-03T14:04:09Z,1,1,0,This book is teaches the basics of organizing data and sets. Very useful book written by an MIT professor.,3,1
74,2017-10-06T06:59:21Z,,2020-03-10T21:14:02Z,1,1,0,,5,3
77,2017-10-06T11:47:01Z,,2017-11-01T21:59:45Z,1,2,1,Great classic book by Steve McConnell. Worth read whether you're a new developer or an experienced one.,4,3
78,2017-10-07T10:35:04Z,2017-10-13T17:40:36Z,2017-10-13T17:40:36Z,1,2,0,"Add Don't Make Me Think by Steve Krug, a great book on software usability, especially on web/mobile.",3,3
79,2017-10-07T11:36:48Z,2017-10-13T17:39:02Z,2017-10-13T17:39:02Z,1,2,0,A useful post for someone learning to program,3,2
88,2017-10-16T07:56:38Z,2017-10-25T18:18:49Z,2017-10-25T18:18:49Z,1,1,1,"i couldn't resist the fix, so here it goes!",3,1
103,2017-10-27T07:13:26Z,2018-01-17T15:52:38Z,2018-01-17T15:52:38Z,1,1,0,"Every javascript programmer must know and care about it, no matter low level or high level.",3,3
105,2017-10-31T05:42:07Z,2018-01-17T15:44:48Z,2018-01-17T15:44:48Z,1,1,0,another coding interview online judgement service,3,1
107,2017-11-01T05:18:09Z,,2020-07-01T12:58:16Z,1,6,0,,4,0
131,2018-10-10T21:05:40Z,,2023-10-03T19:37:37Z,1,1,0,I add a nice repository which have a large amount of public apis,3,0
132,2018-10-26T01:04:47Z,2018-12-05T21:09:18Z,2018-12-05T21:09:18Z,1,1,0,,3,2
146,2019-10-05T15:09:38Z,,2022-08-27T20:00:16Z,1,5,3,"Devdocs.io, as a developer with unreliable internet connection, has been a real boon. It's helped me look up info about frameworks I usually use (express, django, laravel, bootstrap) pretty much a positive experience, not to mention it's all congregated to one little interface you can access offline.
I'd pretty much wholeheartedly recommend it to anybody else, since it's worth using especially when you're new to the whole framework, and need to quickly look up a syntax or something.",4,1
159,2020-09-14T22:18:37Z,2021-04-19T13:49:37Z,2021-04-19T13:49:37Z,1,1,0,,3,2
160,2020-09-25T17:12:50Z,,2022-11-22T14:10:23Z,1,41,11,"Programming practice site, with python, javascript, java ... And also with database using SQL.",2,0
164,2020-11-08T16:43:38Z,2021-04-19T13:50:27Z,2021-04-19T13:50:27Z,1,1,0,Code Complete is a good book about best practices involved in Software Construction,3,0
165,2021-03-10T08:38:04Z,2021-04-19T13:48:45Z,2021-04-19T13:48:45Z,1,1,1,"https://www.rgoarchitects.com/Files/fallacies.pdf is a dead link for ""Fallacies of Distributed Computing Explained"". Use a new link.",3,1
168,2021-09-09T13:59:43Z,2022-11-23T11:04:48Z,2022-11-23T11:04:48Z,1,1,1,this fixes #166,4,1
179,2022-04-18T16:30:51Z,2022-11-23T11:06:04Z,2022-11-23T11:06:05Z,1,4,0,,4,1
