number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
8,2019-01-16T12:59:46Z,2019-01-16T17:53:50Z,2019-01-16T17:53:50Z,1,1,1,There is no /tmp on windows. Go will use the OS specific temporary directory if we pass no specific directory to ioutil.TempDir,2,3
15,2019-01-21T08:35:52Z,2019-01-22T15:33:55Z,2019-01-22T15:33:55Z,1,1,1,"mention you need DOcker 18.09 - #14 (this is probably something that can change, but its true atm)
also suggest go 1.11.4 - with 1.11.3 and 1.11.1 I got version missmatch errors from go mod - see moby/moby#38507 (comment)
Signed-off-by: Sven Dowideit SvenDowideit@home.org.au",3,0
30,2019-02-10T02:40:38Z,2019-02-13T04:30:03Z,2019-02-13T04:30:03Z,19,1076,18,"This PR adds support for a --watch or -w flag to act. When provided, act doesn't exit after the first run, but instead runs a goroutine that watches the local directory for changes (ignoring files in .gitignore). When changes are detected, the workflow file is parsed and run again.
A redux of #29, this time without conflicts.",2,2
34,2019-02-14T20:50:27Z,2019-02-15T00:47:00Z,2019-02-15T00:47:00Z,2,14,10,"Made a few small changes to the git slug parsing:

Moved (and properly renamed) regular expressions into vars
Fixed failing test where github http regex was not matching http://github.com/user/repo without .git extension.",2,0
35,2019-02-15T16:38:07Z,2019-02-17T01:01:37Z,2019-02-17T01:01:37Z,4,25,12,"So this is implementation for my latest comment in #32.
Act will detect the event type from the workflow file only if there's a single workflow in the file.
workflow ""test"" {
  on = ""pull_request""
  resolves = [""task""]
}

task ""foo"" {
  // ... details
}

When running act it will run all the tasks for the pull_request event. Will add tests as well.",2,0
38,2019-02-18T05:44:27Z,2019-02-19T14:29:27Z,2019-02-19T14:29:27Z,5,96,4,"One way to close #37.
Adds a flag to skip pulling when an action uses is a docker image. This allows local docker images to be used that aren't pushed to a registry, but not built during act execution.
I'm open to different approaches, or a discussion about if this is even a good idea to add. Alternative approaches?",2,0
46,2019-03-02T03:45:57Z,2019-03-02T15:53:25Z,2019-03-02T15:53:25Z,6,45,19,"This is related to #33 and #42.
I initially thought that after i updated to latest act version my issue went away. Just confirmed that
that's not the case, and i was able to reproduce the error locally.
When running act without -v flag and when the action's docker image fails to build, users see a cryptic message ""docker image ... not found"". The run should have been aborted but it's not, this has to do with the build process error handling. I added a conditional to logDockerResponse function to catch error message details if it's present.
So now users will actually see the reason why the docker image build had failed. This change also fixed the issue when act runs the older docker image if the most recent one has failed to build.",2,0
48,2019-03-10T02:41:21Z,2019-03-10T15:13:15Z,2019-03-10T15:13:15Z,1,1,1,"This doesn't change the functional behavior of act, but it resolves an error that was erroring when running vet.
Adding the _ = before this line will resolve the following error on make build:
container/docker_pull.go:37:26: Error return value of `input.logDockerResponse` is not checked (errcheck)
                input.logDockerResponse(reader, err != nil)
                                       ^
Error: exit with `FAILURE`: 1
exit status 1
make[2]: *** [check] Error 1
make[1]: *** [act] Error 2
make: *** [build] Error 2",2,0
55,2019-04-02T18:12:26Z,2019-04-02T21:26:26Z,2019-04-02T21:26:26Z,1,1,1,I ran into this when trying to test an event: pull-request isn't an event type but pull_request is!,3,0
56,2019-04-08T11:03:53Z,2019-04-08T15:16:04Z,2019-04-08T15:16:04Z,3,40,2,"(Thanks for the amazing project)
I noticed when running act -l for a workflow file that had multiple workflows, it would show the actions for push under each event.
I've submitted a fix for this as well as a test to prove correct output. Feel free to butcher this PR or replace it with your own work - just happy to try help :)",2,0
57,2019-04-09T11:03:32Z,2019-05-23T06:10:06Z,2019-05-23T06:10:06Z,2,60,6,"As per the ContainerAttach() docs, a container not using a TTY has stderr and stdout multiplexed into a single stream in a Docker-specific format.
When running act and its stdout is not a terminal (e.g. when it's redirected to a file), DockerExecutorInput.logDockerOutput() is invoked -- I've changed this to use github.com/docker/docker/pkg/stdcopy.StdCopy as per Docker's suggestion.
Right now the issue is the tests pass when output is redirected to a file and fail when run directly in a terminal! ❗️ This is because of the following two conflicting pieces:

  
    
      act/container/docker_run.go
    
    
        Lines 89 to 97
      in
      f2cb9e3
    
  
  
    

        
          
           isTerminal := terminal.IsTerminal(int(os.Stdout.Fd())) 
        

        
          
            
        

        
          
           config := &container.Config{ 
        

        
          
           	Image:      input.Image, 
        

        
          
           	Cmd:        input.Cmd, 
        

        
          
           	Entrypoint: input.Entrypoint, 
        

        
          
           	WorkingDir: input.WorkingDir, 
        

        
          
           	Env:        input.Env, 
        

        
          
           	Tty:        isTerminal, 
        
    
  



  
    
      act/container/docker_run.go
    
    
        Lines 170 to 171
      in
      f2cb9e3
    
  
  
    

        
          
           isTerminal := terminal.IsTerminal(int(os.Stdout.Fd())) 
        

        
          
           if !isTerminal || os.Getenv(""NORAW"") != """" { 
        
    
  


Honestly, I'm not sure what the purpose of the NORAW env var is. If NORAW is passed in, the tests will fail in even more spectacular ways. I would like to do the following, but wanted to run it by you first before submitting this PR:

Instead of terminal.IsTerminal() in attachContainer(), we use the Docker API client to introspect the container and see if it is in TTY mode or not.
Additionally, add Tty *bool to NewDockerRunExecutorInput and only fall back to terminal.IsTerminal() if it is nil.

What are your thoughts?",2,0
65,2019-05-20T17:49:24Z,2019-05-23T06:11:25Z,2019-05-23T06:11:25Z,1,15,0,I just figured this out; might be helpful for other users.,2,0
68,2019-05-23T03:06:43Z,2019-05-23T06:15:58Z,2019-05-23T06:15:59Z,5,149,61,"closes #67

If you think this is a good addition, I'll work into fixing/adding tests and making the code cleaner :) done.
tested it locally, it works!",2,4
77,2019-09-04T12:46:59Z,2019-09-05T01:51:31Z,2019-09-05T01:51:31Z,1,4,0,I've created an AUR package for act :),3,7
78,2019-09-09T15:06:01Z,2019-09-16T21:35:52Z,2019-09-16T21:35:52Z,1,1,1,,2,0
118,2020-03-02T11:54:06Z,2020-03-02T16:11:47Z,2020-03-02T16:11:47Z,2,3,2,"Fixes #117
Currently whitespaces in secrets provided via .actrc lead to problems, because strings.Fields splits on all spaces. Now, only the first space is used for splitting. Same for = in the secret handling method.",2,0
147,2020-03-12T13:58:17Z,2020-03-12T16:54:05Z,2020-03-12T16:54:06Z,1,1,0,,2,0
152,2020-03-13T11:53:36Z,2020-03-13T14:55:21Z,2020-03-13T14:55:21Z,1,8,0,act is apparently also packaged in nix. I included installation guides in the readme.,2,0
