number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
383,2016-05-06T11:52:12Z,,2019-02-08T06:52:02Z,55,7459,1085,"Added doxygen-style documentation to proc_self_mountinfo.h
This should not be merged as is.
Things to be done before we can merge this:

 Include generation of the doc to into the build process.
 Document at least all header files.

To view the documentation these steps are needed:

Change dir to project root.
doxygen doxygen.conf
View doc/html/index.html to see the documentation of the file.",6,32
430,2016-05-21T11:40:14Z,,2018-09-23T18:39:20Z,5,418,0,"I closed the old pull request and reopen it here.
Sorry for that, I did something wrong with rebasing.
Added global polling. We now have a thread to poll files for becoming a specified state. Any other thread can register and erase files from the list of polled files.
The thread updates a timestamp which can be checked by the other thread.",2,38
975,2016-09-17T17:33:53Z,2016-09-20T16:21:31Z,2016-09-20T16:21:31Z,2,13,22,fixes #972,2,1
1002,2016-09-21T14:40:15Z,2016-09-21T23:48:24Z,2016-09-21T23:48:24Z,2,114,5,Closes #826.,2,2
1022,2016-09-25T10:43:30Z,2016-09-26T13:17:32Z,2016-09-26T13:17:32Z,6,30,35,Fix some minor warnings found by cppcheck. The code base is generally clean :),2,4
1028,2016-09-26T23:01:54Z,2016-09-27T16:48:08Z,2016-09-27T16:48:08Z,7,222,36,"fixes all warnings / errors when compiling against musl
fixes all other issues detected when the system is busybox based
fixes #860",2,3
1032,2016-09-27T23:29:53Z,2016-09-28T15:28:27Z,2016-09-28T15:28:27Z,6,157,69,"@alonbl please review this.
Is this what you had in mind?",2,3
1050,2016-09-30T17:26:45Z,2016-09-30T21:19:34Z,2016-09-30T21:19:34Z,13,305,77,"also:

added memory allocations logger enabled with -DNETDATA_LOG_ALLOCATIONS=1
apps.plugin now reports virtual size of all applications, users and user groups
reduced the virtual memory size of netdata when it is linked against gcc, by setting MALLOC_ARENA_MAX (by default it is 1, but there are configuration options to set it for netdata and for its plugins).
fixes #1048 (missing libuuid from netdata.spec)",2,11
1053,2016-10-01T11:41:24Z,2016-10-01T13:52:52Z,2016-10-01T13:52:52Z,8,248,16,"This PR adds support for linking with jemalloc and tcmalloc. Both are optional and controlled via --with-jemalloc and --with-tcmalloc ./configure options.
netdata virtual memory size
You may notice that netdata's virtual memory size, as reported by ps or /proc/pid/status  (or even netdata's applications virtual memory chart)  is unrealistically high.
For example, it may be reported to be 150+MB, even if the resident memory size is just 25MB. Similar values may be reported for netdata plugins too.
Check this for example: A netdata installation with default settings on Ubuntu 16.04LTS. The top chart is real memory used, while the bottom one is virtual memory:

why this happens?
The system memory allocator allocates virtual memory arenas, per thread running. To my observations, this defaults to 16MB per thread on 64 bit machines. So, if you get the difference between real and virtual memory and divide it by 16MB you will roughly get the number of threads running.
The system does this for speed. Having a separate memory arena for each thread, allows the threads to run in parallel in multi-core systems, without any locks between them.
This behaviour is system specific. For example, the chart above when running netdata on alpine linux (that uses musl instead of glibc) is this:

can we do anything to lower it?
Since netdata already uses minimal memory allocations while it runs (i.e. it adapts its memory on start, so that while repeatedly collects data it does not do memory allocations), it already instructs the system memory allocator to minimize the memory arenas for each thread. We have also added 2 configuration options to allow you tweak these settings: https://github.com/firehol/netdata/blob/5645b1ee35248d94e6931b64a8688f7f0d865ec6/src/main.c#L410-L418
However, even if we instructed the memory allocator to use just one arena, it seem it allocates an arena per thread.
This PR adds support for jemalloc and tcmalloc, however both of which behave exactly the same to the default memory allocator in this aspect.
Is this a problem?
No, it is not.
Linux reserves real memory (physical RAM) in pages (on x86 machines pages are 4KB each). So even if the system memory allocator is allocating huge amounts of virtual memory, only the 4KB pages that are actually used are reserving physical RAM.",2,2
1123,2016-10-16T00:55:43Z,2016-10-18T20:56:39Z,2016-10-18T20:56:39Z,26,712,224,"This PR adds the following features:

netdata saves the alarms log to /var/lib/netdata/health/health_log.db. This file is a machine readable text file.
this file is auto-rotated by netdata (by default every 10000 entries the file is renamed to .old and a new one is created.
these files (the primary and its .old) are loaded back when netdata restarts, so that the alarm log at the dashboard shows the alarm history properly. This also allows the alarm log and the alarms themeselves to have incremental IDs.

fixes #1036
Other changes:

added fping plugin. Check #1122 - this requires a special version of fping, which currently can be downloaded from https://github.com/ktsaou/fping. The configuration file /etc/netdata/fping.conf has instructions to download and build it.
netdata installer now runs with priority 19 (the lowest) and uses all the available processors to compile netdata.
ansible playbook removed in favor of: https://galaxy.ansible.com/jffz/netdata/
minor other improvements",1,0
1139,2016-10-19T06:28:29Z,2016-11-16T20:50:23Z,2016-11-16T20:50:23Z,5,53,18,"changed arguments from decode() in base.py to support versions of Python 2.6
added pass parameters to redis for AUTH command
optimized nginx.chart.py and phpfpm.chart.py submenu name
optimized phpfpm.chart.py average display",3,9
1211,2016-11-05T01:22:31Z,2016-11-06T01:19:05Z,2016-11-06T01:19:05Z,2,99,3,"Do not Merge, this needs attention. Fails to call send_twilio()",2,8
