number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
164,2014-07-13T04:37:52Z,2014-07-13T06:01:52Z,2014-07-13T06:01:52Z,2,2,2,,4,1
553,2016-06-16T01:38:56Z,,2016-06-16T17:34:43Z,5,37,6,"I added a option in the general settings, when selected, will make it so that when the streaming button is pushed, recording starts automatically.",4,3
627,2016-09-23T22:36:34Z,,2016-10-16T08:54:24Z,70,6298,102,"Updated to help support the newest cards, features, bug fixes, and options.",4,5
687,2016-11-05T17:04:00Z,,2016-11-09T22:38:11Z,7,230,9,"A feature I missed from the original OBS was a toggle option for 1:1 scaling for the preview. I believe I hit all the marks for this, but if I messed up with anything, I'll be happy to fix it up.",5,40
694,2016-11-10T14:34:23Z,2016-11-20T11:02:17Z,2016-11-20T11:02:17Z,1,20,15,"As reboot pointed out, it's assumed that the intention of a locked
preview is to prevent editing the scene. Because scrolling the preview
does not have any interaction with the scene and its sources, you should
be able to still scroll around and look at different parts of your
preview while the preview is locked.
There is also a bugfix included for a small bug: previously, if you were
to right click while space bar was held down, you would be stuck in
scroll mode until spacebar is pressed/released again. This gets around
it by forcing scroll mode to end when a right click is issued on the
preview.
edit: looked up the definition of hotfix and it seems bugfix is more appropriate of a word",3,3
708,2016-11-29T05:01:50Z,,2016-12-21T07:08:57Z,5,520,1,Updated branch for review. Please be critical.,4,11
720,2016-12-08T02:12:19Z,,2017-01-24T23:56:50Z,2,82,2,This adds the connection status square. This was in OBS Classic.,4,3
738,2016-12-27T03:46:12Z,,2017-07-02T18:13:55Z,4,39,1,This adds the ability for the volume meter to display the current dB. If the dB is greater than 0 dB then CLIP will be displayed.,8,8
750,2017-01-05T21:15:07Z,,2017-01-31T00:07:26Z,3,6,1,I'd love it if I could also get a code review over at https://github.com/DDRBoxman/obs-vst,6,5
786,2017-02-03T10:59:01Z,,2017-06-25T19:10:14Z,2,20,5,"This changes the currently hard coded 100ms for libvlc's network-caching option to a user defined property. Without this change, an RTMP source sometimes ""falls behind"" causing the delay between real time and RTMP source to increase.",5,5
793,2017-02-08T16:01:17Z,2017-02-25T10:35:47Z,2017-02-25T10:35:47Z,2,5,0,,4,1
796,2017-02-12T22:56:47Z,,2017-09-23T03:33:56Z,1,71,27,"This fix #794.
Not sure if the best solution. Any tip is appreciated.",4,10
798,2017-02-13T22:28:58Z,,2017-03-26T12:34:25Z,2,11,2,Added Livestream to the services json,4,3
799,2017-02-16T01:44:27Z,,2017-02-25T13:44:17Z,4,228,1,"Implemented a compressor audio filter to allow for built-in, improved audio control.  Provided UI text for US English.",4,12
860,2017-03-13T03:10:08Z,,2017-03-25T11:27:37Z,9,143,0,,6,13
871,2017-03-30T15:46:12Z,,2017-03-30T21:17:11Z,3,28,4,"Add an alternate create function for sources that will includes type
data for the source.",3,3
880,2017-04-15T04:47:23Z,,2017-11-26T11:36:03Z,19,251,74,"This is a workaround for:
https://obsproject.com/mantis/view.php?id=806
But, it uses ""par"" param.",4,2
888,2017-04-23T22:12:51Z,,2017-04-30T10:38:02Z,1,4,2,"After dragging and dropping a file, the source name will be the
filename.",3,1
904,2017-05-04T09:31:25Z,2017-05-05T16:56:54Z,2017-05-05T16:56:54Z,2,22,0,,3,0
906,2017-05-05T15:20:09Z,,2018-01-19T04:49:12Z,5,65,4,"This also modifies libobs. If the user selects this option, the media source will play the latest replay buffer.",4,6
924,2017-05-22T22:37:24Z,,2017-06-13T19:23:49Z,0,0,0,"I have always felt that the out of the box themes for OBS were quite
lacking, and have spent a lot of time going through and sorting out the
difficulties with the current setup. I've added a new themeID parameter to
several elements that were otherwise impossible to target with QSS in a
theme. Since Qt has pushed for the use of QML over QSS at this point,
these should be considered workarounds. Included is the theme I was
working on that can serve as a base. I'm hoping to encourage others to
make their own themes, so we can grow the available themes for OBS.
I am happy for any feedback on the theme itself, or other updates that
can me made to make creating new themes easier overall.",3,0
925,2017-05-24T22:44:56Z,,2017-06-25T19:12:47Z,1,107,5,"Hi, this is my first time bringing to OBS Studio!
I have added support for media options. They are important or even mandatory for some usages. Options have to begin with ':' and a space must precede the heading colon. This work is to be reviewed.
I am not really experienced in working in C with computers and I'm still disturbed while browsing source code. Although this modification is pretty important to me so I spent some time to figure out myself the lack of support for VLC media options.
Please proofread and give me tips to improve this work and my future works.
It was hard to follow the coding rules, especially the max 80 columns.
Momo ❤️",6,21
926,2017-05-25T07:55:11Z,2017-05-25T17:06:04Z,2017-05-25T17:06:04Z,1,2,0,"When building on FreeBSD before this patch, it would produce the error:
plugins/obs-outputs/librtmp/rtmp.c:733:25: error: use of undeclared identifier 'ENODATA'
This patch fixes that.  For more information, check this FreeBSD mailing list conversation and this file from Ceph.
This patch builds successfully on FreeBSD 11.  As always, I would appreciate additional testing and feedback.  On this particular PR, review from @jp9000 or @notr1ch would be great since it touches librtmp.  If there's a better solution, feel free to edit this PR or close it and fix the issue in another commit.",3,0
927,2017-05-25T13:24:12Z,2017-05-26T18:58:03Z,2017-05-26T18:58:03Z,2,22,22,"Microsoft renamed Beam.pro to Mixer for some reason, so here's the update for that.",5,3
936,2017-05-31T22:31:38Z,,2017-07-02T19:00:59Z,2,15,7,"This commit changes the ""Theme"" string in the config to only ever be
""Default"" or ""Dark"", and adds a new string ""Custom Theme"" to accept all
other theme choices.
The reason for this, is because there are custom themes being worked
on that if a user selects, will then cause older versions or other
installations to fail to launch without editing the config.
This makes sure a fallback is always available.
This change also doesn't conflict with older versions of OBS who look
only for the ""Theme"" string, since they'll just end up using the
fallback instead.",4,2
939,2017-06-05T22:58:40Z,,2017-07-03T22:46:51Z,22,451,94,"This PR exposes the multichannel audio capabilities of OBS-Studio.
Features:

recording in 2.1, 4.0 quad, 5.1, 7.1, 8.0, 16.0 (mkv, ts, mp4)
streaming in same formats :
mpeg-ts (ffmpeg aac, opus) and rtmp (ffmpeg aac)
(exposed in the UI by additional audio settings,  most changes have been cosmetic because the code was already multichannel capable).
decklink input extended to 8.0 and 16.0 (e.g. audio embedded in SDI)
07/18/17: compatible streaming services: Twitch , FB 360 live

Possible uses for multichannel audio streaming:

feeding facebook live 360 with a 4.0 audio
(ambisonics of first order needs to be acquired and processed first,
by a DAW, check here)
[06/28/2017: confirmed to work by one of the FB developers]
multilingual streaming: the rtmp and mpeg-ts streams can be live  dumped and remuxed (e.g. by ffmpeg) into either mpeg-ts with several separate mono audio streams or into several rtmp streams
carrying a mono channel (this is my case use);
several HLS players (eg hls.js, jwplayer, videojs), mpeg-dash players (bitmovin, videojs, jwplayer) support live multiple audio renditions.
server side: wowza, Unified streaming support multiple audio ingest (mpeg-ts); most CDN also do.

Extensive testing for this PR was carried out :


by varying the multichannel format ( 7.1 5.1 etc), the recording method (simple recording, advanced standard recording, advanced custom ffmpeg recording to file), the file formats, the streaming protocols (rtmp, mpeg-ts), the streaming method (simple rtmp, advanced rtmp, advanced custom ffmpeg output to URL: rtmp or mpeg-ts), the audio codecs ( coreaudio aac, ffmepg aac, opus mostly, a little bit vorbis) , the input device (capture card [decklink] with various inputs [hdmi and sdi tested], or multichannel movie);


details here


Issues:

decklink cards swap several audio channels with respect with libav usage:
channel 3 <-> 4, 5 <->7, 6<-> 8
==> as a fix, I have expanded Mntone commit to have channel orders comply with libavutil;
(octagonal and hexadecagonal channel layouts 8.0 and 16.0 are however recognized without swapping issue)
coreaudio aac almost always misidentifies the channel order
==> not fixed, therefore prefer the use of ffmpeg aac which works all the time.
CoreAudio AAC works however for quad channels (FL FR BL BR).
2.1 does not work in simple output mode: one has to use ffmpeg aac in advanced mode.
opus can be picky about bitrates for certain multichannel setups (2.1 4.0); however it supports 16.0 8.0 6.0  in the tests I made while aac does not.

Edit 06/26/17:


PR updated with 8.0 and 16.0 capabilities useful for broadcast (SDI ingest) ; tested with mpeg-ts tcp with 16.0 source /libx264 + opus with mapping_family=255 option (required for general channel layouts beyond 7.1)


toggle box added to enable multichannel (to comply with Xaymar suggestion) ; when unchecked, defaults to standard mono or stereo usage.",6,17
940,2017-06-07T21:17:06Z,,2017-09-12T10:38:45Z,11,1057,28,"This series of commits checks if the system has pulseaudio library and proceed to enable monitoring support.
Tested with pulseaudio 9.0 and 10.0",5,9
