number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
1,2023-06-27T19:29:54Z,2023-06-27T20:49:08Z,2023-06-27T20:49:08Z,7,196,216,,2,0
3,2023-06-27T21:44:37Z,2023-06-28T14:36:35Z,2023-06-28T14:36:35Z,7,1363,22,"requirements.txt updated with poetry export
install ollama into the poetry virtualenv:
poetry install && ollama list
use ollama as a python module script:
poetry run python -m ollama list
binary artifacts can be build and archived:
poetry build && ls -al dist/",3,0
7,2023-06-27T22:50:30Z,2023-06-28T14:37:03Z,2023-06-28T14:37:03Z,16,196,440,easier to read and maintain since diffs are much more obvious. this also provides future opportunity for users to define their own prompt templates,3,0
10,2023-06-28T16:26:42Z,,2023-06-30T18:54:22Z,1,4,2,,2,1
15,2023-06-28T21:34:34Z,2023-06-29T00:10:39Z,2023-06-29T00:10:39Z,2,22,13,add a batch model which is distinct in the way the prompts are displayed to the user. this produces a cleaner output without a trailing >>>,2,0
16,2023-06-28T21:46:35Z,2023-06-29T00:12:03Z,2023-06-29T00:12:03Z,3,166,356,python 3.8 is the oldest version still maintained,2,1
17,2023-06-29T00:26:07Z,2023-06-30T18:46:13Z,2023-06-30T18:46:14Z,12,823,74,,3,0
20,2023-06-29T16:43:57Z,2023-06-30T18:54:07Z,2023-06-30T18:54:07Z,1,3,13,same result with less code,2,0
32,2023-07-01T00:04:44Z,,2023-07-06T16:30:31Z,5,33,7,,2,0
37,2023-07-05T18:16:14Z,2023-07-05T19:16:19Z,2023-07-05T19:16:19Z,4,28,31,"fuzzywuzzy was renamed starting 0.19 so use that instead
use process.extract to produce a list of fuzzy matches instead of process.extractOne",2,1
49,2023-07-06T23:03:39Z,2023-07-07T00:18:58Z,2023-07-07T00:18:58Z,7,235,187,,2,1
52,2023-07-07T00:12:59Z,2023-07-07T17:59:11Z,2023-07-07T17:59:11Z,3,151,16,,3,1
56,2023-07-07T19:28:14Z,2023-07-08T03:18:25Z,2023-07-08T03:18:25Z,3,36,1,allow for offline mode,3,1
57,2023-07-07T20:16:27Z,2023-07-10T10:05:09Z,2023-07-10T10:05:09Z,2,11,12,"parse all run arguments into one prompt
do not echo prompt back on one-shot
example of summarizing a document

$ ollama run nous-hermes ""$(cat input.txt)"", please summarize this story
The song ""Summertime"" by Will Smith is about the rapper's life before fame and how it changed when he became successful. The lyrics describe his experiences growing up in Philadelphia and then suddenly becoming rich and famous. The song is a coming-of-age story that describes the rapper's journey from poverty to stardom, and the impact of this change on his life.",3,3
58,2023-07-07T21:27:14Z,2023-07-10T21:03:47Z,2023-07-10T21:03:47Z,4,38,7,,3,1
62,2023-07-10T02:44:43Z,,2023-07-10T22:51:37Z,10,101,983,Early PR to replace the C++ binding files with direct calls to llama.cpp from Go. It's missing quite a few features the C++ binding.cpp files had although those were almost direct copies of the main example in llama.cpp's repo. We should be able to add them back relatively easily. It's most likely slower as well so we'll have to make sure it's as fast / faster than the bindings or c++ example implementation.,2,2
64,2023-07-10T11:46:30Z,2023-07-10T15:00:44Z,2023-07-10T15:00:45Z,2,30,14,"This was nicer to fix on the revised b2 branch, so this is a pull request into that simplified change",2,0
65,2023-07-10T20:36:56Z,2023-07-11T19:01:03Z,2023-07-11T19:01:03Z,29,35552,1292,,3,2
66,2023-07-11T16:39:48Z,2023-08-10T15:49:55Z,2023-08-10T15:49:55Z,2,85,31,,4,6
67,2023-07-11T17:42:13Z,2023-07-11T18:45:21Z,2023-07-11T18:45:21Z,3,261,24,,2,0
69,2023-07-11T20:53:44Z,,2023-07-20T18:04:37Z,7,174,9,"Store previous questions and answers in the client during a chat session. Use embeddings to look-up what is relevant to the current context.
This is an initial implementation. We will need to iterate to improve this experience through more dynamic prompts and possibly weighting recency in the conversation too.",1,1
70,2023-07-11T20:57:54Z,2023-07-11T22:50:19Z,2023-07-11T22:50:19Z,6,143,144,"two fixes bundled into one pr

pull should not block generate. this changes the status code when the remote models are inaccessible so as to not block a generate which may already be available in the file system
use a temporary file during pull operations to separate a partial file from a completed file. this enables a better existence check

this pr also refactors both the server and client to better share code between similar operations. of note is the change to the pull operation where instead of taking a channel, saveModel takes a funcptr to mirror generate and enabling common stream producer code",2,0
71,2023-07-12T00:09:31Z,2023-07-12T16:20:33Z,2023-07-12T16:20:33Z,1,7,0,check nil to prevent later nil pointer dereferences,2,0
73,2023-07-12T16:36:33Z,2023-07-12T18:09:23Z,2023-07-12T18:09:23Z,4,16,20,maybe related to #72,1,0
74,2023-07-13T01:20:54Z,2023-07-13T17:17:14Z,2023-07-13T17:17:14Z,4,117,32,,2,0
77,2023-07-13T18:30:47Z,2023-07-14T21:57:42Z,2023-07-14T21:57:42Z,11,47,10,feed responses back into the llm,2,0
