number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
360,2016-09-23T14:49:08Z,,2016-10-03T12:56:46Z,1,3,0,"This book is available in HTML and PDF, is released under the Creative Commons License",3,1
372,2016-10-13T15:41:12Z,,2016-10-13T22:39:33Z,3,11,0,"added some books for linear algebra
added some courses for machine learning

Try refactoring paid-courses.md . since i did not know the format so i added from my understanding.
🧀",3,1
373,2016-10-14T09:25:53Z,,2016-10-23T09:14:09Z,2,8,0,"added some books
reference to PR #372",2,0
375,2016-10-18T08:27:53Z,2016-10-18T10:02:38Z,2016-10-18T10:02:38Z,1,4,4,,2,2
379,2016-11-13T11:33:33Z,2016-11-15T20:47:09Z,2016-11-15T20:47:09Z,1,3,2,"This is a 2013 class, but a very good one from U. C. Berkeley.",2,4
450,2018-01-16T03:00:16Z,,2018-09-27T22:32:52Z,1,11,0,"suggest some new course to Programming, Math, Theory, System sections",5,7
511,2018-10-13T12:10:41Z,2018-10-16T14:28:49Z,2018-10-16T14:28:49Z,1,4,4,All changes were accepted and tested using app.grammarly.com.,4,4
517,2018-10-22T23:51:13Z,,2018-11-06T05:31:57Z,2,24,1,"Our Extras page should reference high quality curricular guidance. Currently one such source is mentioned in an issue. Moving this to Extras makes it a permanent part of the curriculum, in a place that learners can interact with it.
#482",2,0
571,2019-04-11T13:21:23Z,2019-04-11T19:34:40Z,2019-04-11T19:34:40Z,1,1,1,,2,0
610,2019-10-11T09:25:57Z,2019-10-11T22:00:03Z,2019-10-11T22:00:03Z,1,4,4,Several small typo fixes.,2,0
792,2020-09-18T11:42:52Z,,2021-08-03T17:22:58Z,1,1,1,This is a suggestion to add 2 links to assist people with beginning their job search.,4,2
843,2020-12-28T04:49:58Z,,2021-01-18T14:33:48Z,1,1,0,"Added amazon link to the book ""Practical C Programming by Steve Oualline"".
The book is a great resource for beginners and for those wanting to start with C.
I think this book can be used with CS50 course.",4,6
857,2021-01-26T18:59:21Z,2021-01-29T08:26:13Z,2021-01-29T08:26:13Z,1,1,1,"I received the following email

This PR just bumps to the new version",4,1
872,2021-03-04T07:58:42Z,,2021-03-31T01:52:40Z,1,1,0,"If we add a GitHub page at least, then I think it would add a greater value.",3,1
927,2021-07-24T04:16:19Z,2021-10-09T06:19:36Z,2021-10-09T06:19:36Z,1,1,1,Switch 3b1b Essence of Linear Algebra from prerequisite of MIT Linear Algebra to corequisite,5,6
941,2021-08-25T18:42:22Z,2021-10-09T06:22:21Z,2021-10-09T06:22:21Z,1,2,0,"Description
Adding ""Introduction to computing in Java"" to Programming Section, and ""Computer Science: An interdisciplinary approach"" to Theory section. Think those resources are useful.",4,5
948,2021-10-01T20:49:06Z,2021-12-10T18:58:22Z,2021-12-10T18:58:22Z,1,7,0,The linux command line book by William Shotts is an easy read on the linux shell and it utilities. And it is a very good companion to the the missing semester course by MIT.,6,4
1010,2022-03-20T10:51:30Z,2022-03-21T21:46:28Z,2022-03-21T21:46:28Z,1,6,6,Fixes three typos and removes some whitespace.,3,0
1071,2022-08-03T06:10:03Z,2022-08-23T23:16:16Z,2022-08-23T23:16:16Z,1,1,1,Resolves #1070,3,1
1130,2023-02-01T12:29:20Z,2023-04-05T04:18:42Z,2023-04-05T04:18:42Z,1,1,0,"This is one of my first projects after 6.00.1x and I put a lot of work into the project.
https://github.com/thaitri2005/PWControl
I'm still a beginner so the project is quite simple and is not suitable for production at all. However, it is a way to show how much I have learnt and how far I have gone.
Feel free to leave comments and recommendations.",4,1
1166,2023-08-04T05:35:55Z,,2023-08-04T19:18:01Z,2,5,0,,3,0
1204,2024-01-28T00:35:19Z,2024-01-28T04:26:18Z,2024-01-28T04:26:18Z,1,1,1,"When I went through the extra courses I went to the git and GitHub courses on the Udacity website i saw the link was invalid and didn't work, so I put the new link for the same course on the same website but another course.",3,0
1212,2024-02-17T06:24:47Z,2024-02-18T17:16:58Z,2024-02-18T17:16:59Z,1,8,21,"Remove mention of the Trello board and add warning about it and other third-party/outdated material.
EDIT: Some explanation, for people unfamiliar with the situation: The Trello board is very outdated, so it causes much confusion to students. For example, this conversation on discord: https://discord.com/channels/744385009028431943/744682430853808178/1208263221086126161. We usually recommend people in the discord server to just fork this repo and add ✅ next to courses they have completed. This PR removes the information about Trello board and adds the suggestion from the discord server to this repo too. (This PR closes #1089)
There are many third-party/outdated/unmaintained materials related to OSSU on the internet (like the Trello board and some notion templates from youtubers). This PR also adds a warning to students to be aware that those materials are outdated.
The spreadsheet used to track time required to complete the curriculum can also become outdated some time. The current status is that some links to courses are outdated (like HTDP -> SPD change is not there) and experimental suggestions such as CS50P are not mentioned, but the spreadsheet still correctly estimates the time required, which is its main function. This PR also adds a warning regarding this.",2,1
1226,2024-03-22T17:26:39Z,2024-03-26T03:45:35Z,2024-03-26T03:45:35Z,1,2,2,"The Py4E course link in the intro cs coursepage was not marked as link. While GitHub renders it as link, the GitHub pages website don't. This PR fixes that.
The PR also fixes the CS50P discord invite link, which was expired. This time, I have made a link that never expires, and can be used an unlimited number of times.",3,0
