number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2,2017-02-10T22:41:59Z,2017-02-11T01:21:39Z,2017-02-11T01:21:39Z,2,44,51,"README.rst is recognized by GitHub which will render the README as reStructured text (nice!), instead of plain text.
Example with my tiny project https://github.com/haypo/perf which has a README.rst file.",8,14
4,2017-02-10T23:15:26Z,,2017-02-14T16:09:30Z,38,45,46,"Make it current.
I searched for \d+ Python Software Foundation. and selectively updated where it made sense.",12,18
8,2017-02-10T23:58:12Z,2017-02-16T15:18:43Z,2017-02-16T15:18:43Z,4,6,6,,7,5
9,2017-02-11T00:04:16Z,2017-02-11T04:47:38Z,2017-02-11T04:47:38Z,3,17,17,"crosses fingers (My crappy computer never finishes building the docs, so let's see how far Travis goes...)",6,4
10,2017-02-11T00:24:44Z,2017-02-12T16:17:51Z,2017-02-12T16:17:51Z,1,5,5,"There were some grammatical errors in weakref.WeakValueDictionary
documentation.
This should be applied to 3.5, 3.6, and master.
Original patch was in bpo http://bugs.python.org/file46597/issue29474py3-2.patch",3,3
11,2017-02-11T00:33:40Z,2017-02-11T01:44:58Z,2017-02-11T01:44:58Z,1,2,2,"There were some grammatical errors in weakref.WeakValueDictionary
documentation.
This is to be applied to 2.7",3,1
12,2017-02-11T00:38:46Z,2017-02-12T18:27:06Z,2017-02-12T18:27:06Z,9,1393,1345,"Move all functions to call objects in a new Objects/call.c file.
Rename fast_function() to _PyFunction_FastCallKeywords().
Copy null_error() from Objects/abstract.c
Inline type_error() in call.c to not have to copy it, it was only   called once.
Export _PyEval_EvalCodeWithName() since it is now called   from call.c.

http://bugs.python.org/issue29524",4,3
17,2017-02-11T02:57:19Z,2017-02-12T04:51:31Z,2017-02-12T04:51:31Z,2,9,3,,4,2
19,2017-02-11T03:38:27Z,,2017-02-15T01:01:58Z,3,12,12,I have simply updated the document and its references to README.rst (thanks to whoever formatted it).,7,17
20,2017-02-11T03:55:18Z,2017-02-15T09:04:44Z,2017-02-15T09:04:44Z,1,3,3,,5,9
21,2017-02-11T05:33:36Z,2017-02-14T04:01:04Z,2017-02-14T04:01:04Z,1,77,83,"This does some modernization and cleanup of the toplevel README.  There is still significant room for improvement, but this hits some of the low-hanging fruit.
For reviewers, the first commit is the real change, the second commit is a simple rewrap.",8,2
22,2017-02-11T05:49:52Z,2017-02-12T16:18:07Z,2017-02-12T16:18:07Z,1,5,5,"There were some grammatical errors in weakref.WeakValueDictionary
documentation.
Same as #10, backported to 3.6 branch",3,2
23,2017-02-11T05:50:14Z,2017-02-12T16:21:36Z,2017-02-12T16:21:36Z,1,5,5,"There were some grammatical errors in weakref.WeakValueDictionary
documentation.
Same as #10, backported to 3.5 branch",3,1
