number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
240,2021-09-26T21:48:02Z,,2022-05-13T03:07:50Z,13,150,38,"use the following command to create a compressed archive and use it with feature ""inline""

packfolder ui resources.rc -i "".html;.css;*.tis"" -v ""resources"" -binary

When feature inline is not defined then use resource files from ""src"" directory.  this helps in testing the tis, css and html files.",3,0
253,2021-10-11T20:37:32Z,2021-10-12T15:47:09Z,2021-10-12T15:47:09Z,1,181,0,"Fixes #105. palfrey#1 demos it working. It's still pretty basic, but making it do more features will require other changes to the repo (or fiddly test setup)",2,4
279,2021-10-27T12:11:13Z,2021-10-30T04:50:39Z,2021-10-30T04:50:39Z,2,86,85,"#270 (comment)
morn-0@5164f76#commitcomment-58597904",2,0
430,2022-03-13T10:13:09Z,,2022-03-13T11:45:20Z,17,1758,6,"This PR provide virtual display solution on Win10.
The related driver is RustDeskIddDriver.

Download prebuild driver or build the dirver your self.
Extract dirver files to the same directory of rustdesk.exe.
Read README.md in the dirver and run the demo. Make sure the environment is correct.
Click Install virtual display.",2,0
982,2022-07-15T16:53:41Z,2022-07-21T10:09:14Z,2022-07-21T10:09:14Z,17,46,35,issues:958,2,1
1013,2022-07-21T02:09:24Z,2022-07-21T17:24:42Z,2022-07-21T17:24:42Z,14,289,148,"codec preference
linux compatible
Code optimization


check hwcodec config every time server or client start, but it is not checked when the tray icon started the service.
Simple function 'best' in hwcodec, always check hwcodec in another process.",2,0
1032,2022-07-24T02:49:40Z,,2022-10-17T23:31:33Z,7,56,21,"correction 1.
When accessing the Korean version windows from the Mac, you cannot enter the Korean-English conversion key. The Microsoft Remote Desktop program uses the right Alt (option) key instead of the Korean-English conversion key. So, I modified it to work the same way.
correction 2.
When you click the mouse button in two places on the screen while pressing the Command key on the Mac, the mouse input will be incorrect. I modified it.",3,10
1059,2022-07-27T01:03:29Z,2022-07-27T02:31:47Z,2022-07-27T02:31:47Z,30,198,11,"windows, linux, mac platform
reconnect manually after restart
enable restart default",2,0
1271,2022-08-14T05:07:12Z,2022-08-16T06:31:33Z,2022-08-16T06:31:33Z,2,306,0,"Add UI Language Korean
Signed-off-by: kordood gigacms@gmail.com",2,2
1306,2022-08-18T16:24:36Z,2022-09-01T08:49:18Z,2022-09-01T08:49:18Z,1,15,4,"Steps to reproduce: https://rustdesk.com/docs/en/dev/build/web
Detailed information about errors are provided in commit messages correspondingly.",2,6
1406,2022-08-30T21:16:47Z,2022-09-18T02:56:24Z,2022-09-18T02:56:24Z,1,70,68,,2,0
1582,2022-09-19T08:06:41Z,2022-09-19T09:18:43Z,2022-09-19T09:18:43Z,9,90,47,,2,0
1857,2022-10-28T11:50:30Z,2022-10-29T07:17:37Z,2022-10-29T07:17:37Z,1,21,0,"It works abnormally when you connect to the window server and type shift + left arrow.
It's been modified.",3,4
1987,2022-11-06T17:28:40Z,2022-11-20T15:57:34Z,2022-11-20T15:57:34Z,6,179,14,for #1474,4,16
2058,2022-11-10T23:14:41Z,2022-11-23T14:32:32Z,2022-11-23T14:32:32Z,1,43,10,"Windows doesn't allow "":"" in filenames, thats why connections to peers with the portnumer (:) dont remember the password nor appear in recent sessions.
PeerConfig files on *nix containing "":"" will be renamed on the first run to stay backward compatible.
This fixes #1730",3,12
