number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
12,2017-01-04T22:26:03Z,,2017-01-10T03:29:22Z,1,1,1,"I might be wrong, but ideally you would want one argument (Unary function). Zero arguments implies that it isn't receiving the data in a pure way. And a function that isn't honest in its signature should be avoided.
BTW, thanks for creating this repo, it's very helpful.",5,5
34,2017-01-06T04:16:49Z,2017-01-11T03:23:09Z,2017-01-11T03:23:09Z,1,7,28,"The original document asserted that ""Short-circuiting is cleaner than conditionals""


...only to override this assertion later with ""Use default arguments instead of short circuiting.""


This is a poor design-choice for an advisory document.

If you are going to say x > y,
then later say z > x,
you should just say z > x > y upfront.
Otherwise, many people might not see the z > x later on,
because many people will probably use this as a referential document. They probably won't read the entire work.",2,4
37,2017-01-06T08:52:10Z,2017-01-11T03:29:28Z,2017-01-11T03:29:28Z,1,6,6,"This use the ES2015 way.
I removed the match because it's not used and we could also declare a const all to grab the first item of the match if needed.",4,5
38,2017-01-06T12:02:18Z,,2017-01-08T16:58:10Z,1,70,70,"We should update most of var in let.
I changed few var to const because i though it was more appropriate",4,1
43,2017-01-06T16:42:18Z,2017-01-07T03:13:30Z,2017-01-07T03:13:30Z,1,78,4,,2,3
51,2017-01-06T22:02:49Z,2017-01-08T16:42:27Z,2017-01-08T16:42:27Z,1,109,110,As discussed in #31 here my implementation of const and let.,3,3
77,2017-01-08T13:28:48Z,,2017-01-11T02:52:59Z,1,2,5,"Changed the mutation of data to be passed-in to the constructor
Decoupled Dependency best practices is to make sure that inputs are dynamically configured in initializing hook (out of the class scope).
Particularly in this example where HTTP methods are not commonly get changed it's prefered to configure outside the scope of the class",4,10
81,2017-01-09T01:19:11Z,2017-01-11T03:17:45Z,2017-01-11T03:17:45Z,1,8,8,(Here comes a bunch of PRs after a code fragments mass test with ESLint checks and Node.js runnings.),2,1
83,2017-01-09T02:35:01Z,2017-01-13T04:26:54Z,2017-01-13T04:26:54Z,0,0,0,,3,4
95,2017-01-09T17:56:33Z,2017-01-11T03:16:05Z,2017-01-11T03:16:05Z,1,25,30,"(Here comes a bunch of PRs after a code fragments mass test with ESLint checks and Node.js runnings.)

Add function name if it can't be inferred from the context. See func-names.
Replace anonymous functions with arrow functions when appropriate. See prefer-arrow-callback.
Replace anonymous functions with method shorthand notation when appropriate. See object-shorthand.
Remove a redundant IIFE. Fixes #30 temporarily.",2,3
101,2017-01-10T09:28:57Z,2017-01-11T03:05:02Z,2017-01-11T03:05:02Z,1,33,0,,3,2
