number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
249,2015-07-29T03:41:00Z,2015-07-29T10:23:30Z,2015-07-29T10:23:30Z,1,3,3,,2,0
760,2016-09-11T02:35:59Z,2016-11-03T17:13:43Z,2016-11-03T17:13:43Z,1,1,0,"https://github.com/willempienaar/awesome-quantified-self
Awesome Quantified Self: Websites, resources, devices, wearables, applications, and platforms for self tracking.
ALL THE BELOW CHECKBOXES SHOULD BE DONE AND CHECKED AND THE ABOVE PLACEHOLDERS SHOULD BE FILLED IN BEFORE SUBMITTING A PULL REQUEST!

 I have read and understood the contribution guidelines and the instructions for creating a list.
 This pull request has a descriptive title. (For example: Add Node.js)
The list I added

 has been around for at least 20 days,
 is a non-generated Markdown file in a GitHub repo,
 is not a duplicate,
 only has awesome items with descriptions (Awesome lists are curations of the best, not of everything),
 contains the awesome badge on the right side of the list heading,
 has a Table of Contents section named Contents as the first section,
 has an appropriate license (Meaning something like CC0, NOT a code licence like MIT, BSD, Apache, etc),
 has contribution guidelines,
 has been checked for inconsistent formatting, spelling, and grammar (This includes starting each link description with an uppercase character and ending it with a period ., and consistent naming),
 has been added at the bottom of the appropriate category.



Adding a link to the awesome quantified self repository: https://github.com/willempienaar/awesome-quantified-self",3,8
761,2016-09-11T05:05:31Z,2016-12-17T10:41:53Z,2016-12-17T10:41:53Z,1,1,0,"https://github.com/websemantics/awesome-ant-design
Ant Design is a fairly new and popular UI framework (5k+ stars on Github) with tools, implementation ins in react and vue.js, for mobile and web apps. This works as an alternative to Bootstrap, Semantic-UI or Github Primer
ALL THE BELOW CHECKBOXES SHOULD BE DONE AND CHECKED AND THE ABOVE PLACEHOLDERS SHOULD BE FILLED IN BEFORE SUBMITTING A PULL REQUEST!

[x ] I have read and understood the contribution guidelines and the instructions for creating a list.
[ x] This pull request has a descriptive title. (For example: Add Node.js)
The list I added

[x ] has been around for at least 20 days,
[ x] is a non-generated Markdown file in a GitHub repo,
[ x] is not a duplicate,
[ x] only has awesome items with descriptions (Awesome lists are curations of the best, not of everything),
[ x] contains the awesome badge on the right side of the list heading,
[ x] has a Table of Contents section named Contents as the first section,
[ x] has an appropriate license (Meaning something like CC0, NOT a code licence like MIT, BSD, Apache, etc),
[ x] has contribution guidelines,
[x ] has been checked for inconsistent formatting, spelling, and grammar (This includes starting each link description with an uppercase character and ending it with a period ., and consistent naming),
[ x] has been added at the bottom of the appropriate category.",5,18
762,2016-09-12T09:11:26Z,2016-11-09T11:56:19Z,2016-11-09T11:56:19Z,1,1,0,"https://github.com/vinkla/awesome-edutainment
A curated list of awesome gamification to learn editors, languages, programming, etc.

 I have read and understood the contribution guidelines and the instructions for creating a list.
 This pull request has a descriptive title. (For example: Add Node.js)
The list I added

 has been around for at least 20 days,
 is a non-generated Markdown file in a GitHub repo,
 is not a duplicate,
 only has awesome items with descriptions (Awesome lists are curations of the best, not of everything),
 contains the awesome badge on the right side of the list heading,
 has a Table of Contents section named Contents as the first section,
 has an appropriate license (Meaning something like CC0, NOT a code licence like MIT, BSD, Apache, etc),
 has contribution guidelines,
 has been checked for inconsistent formatting, spelling, and grammar (This includes starting each link description with an uppercase character and ending it with a period ., and consistent naming),
 has been added at the bottom of the appropriate category.",3,9
769,2016-09-20T18:34:07Z,2016-11-04T02:44:46Z,2016-11-04T02:44:46Z,1,1,0,"https://github.com/drmonkeyninja/awesome-textpattern
This is the awesome list for the Textpattern CMS and has been around for well over a year now. The list uses Textile instead of Markdown, but this is because Textile is the default markup syntax used by the Textpattern community and so was chosen to encourage participation.

 I have read and understood the contribution guidelines and the instructions for creating a list.
 This pull request has a descriptive title. (For example: Add Node.js)
The list I added

 has been around for at least 20 days,
 is a non-generated Markdown file in a GitHub repo,
 is not a duplicate,
 only has awesome items with descriptions (Awesome lists are curations of the best, not of everything),
 contains the awesome badge on the right side of the list heading,
 has a Table of Contents section named Contents as the first section,
 has an appropriate license (Meaning something like CC0, NOT a code licence like MIT, BSD, Apache, etc),
 has contribution guidelines,
 has been checked for inconsistent formatting, spelling, and grammar (This includes starting each link description with an uppercase character and ending it with a period ., and consistent naming),
 has been added at the bottom of the appropriate category.",3,7
770,2016-09-21T12:21:34Z,2016-10-08T09:32:42Z,2016-10-08T09:32:42Z,1,1,0,"https://github.com/thibmaek/awesome-raspberrypi
This list is a collection of tools, projects, images and resources around Raspberry Pi
ALL THE BELOW CHECKBOXES SHOULD BE DONE AND CHECKED AND THE ABOVE PLACEHOLDERS SHOULD BE FILLED IN BEFORE SUBMITTING A PULL REQUEST!

 I have read and understood the contribution guidelines and the instructions for creating a list.
 This pull request has a descriptive title. (For example: Add Node.js)
The list I added

 has been around for at least 20 days,
 is a non-generated Markdown file in a GitHub repo,
 is not a duplicate,
 only has awesome items with descriptions (Awesome lists are curations of the best, not of everything),
 contains the awesome badge on the right side of the list heading,
 has a Table of Contents section named Contents as the first section,
 has an appropriate license (Meaning something like CC0, NOT a code licence like MIT, BSD, Apache, etc),
 has contribution guidelines,
 has been checked for inconsistent formatting, spelling, and grammar (This includes starting each link description with an uppercase character and ending it with a period ., and consistent naming),
 has been added at the bottom of the appropriate category.



This list is a collection of tools, projects, images and resources around Raspberry Pi",7,15
776,2016-09-30T13:47:55Z,2016-10-01T09:56:25Z,2016-10-01T09:56:25Z,1,2,2,"Looking at the other sections (Books, Databases, etc), this would be better pluralized too.

 I have read and understood the contribution guidelines and the instructions for creating a list.
 This pull request has a descriptive title. (For example: Add Node.js)",2,2
777,2016-09-30T14:04:55Z,2016-10-06T09:37:06Z,2016-10-06T09:37:06Z,1,1,0,"https://github.com/springload/awesome-wagtail
This list is about Wagtail, a popular CMS in the Python/Django communities. Wagtail encourages the development of third-party plugins/apps/packages, and this list is a good way to keep track of the ones that are the most interesting (along with other community resources).

 I have read and understood the contribution guidelines and the instructions for creating a list.
 This pull request has a descriptive title. (For example: Add Node.js)
The list I added

 has been around for at least 20 days, – first commit
 is a non-generated Markdown file in a GitHub repo, – README.md
 is not a duplicate, – check
 only has awesome items with descriptions (Awesome lists are curations of the best, not of everything), – check
 contains the awesome badge on the right side of the list heading, – check, plus Travis badge
 has a Table of Contents section named Contents as the first section,
 has an appropriate license (Meaning something like CC0, NOT a code licence like MIT, BSD, Apache, etc), – CC0
 has contribution guidelines, – CONTRIBUTING.md
 has been checked for inconsistent formatting, spelling, and grammar (This includes starting each link description with an uppercase character and ending it with a period ., and consistent naming), – check
 has been added at the bottom of the appropriate category. – check, CMS category",2,2
778,2016-09-30T19:05:53Z,2016-10-18T04:26:22Z,2016-10-18T04:26:22Z,1,1,0,"https://github.com/heynickc/awesome-ddd
A curated list of Domain-Driven Design (DDD), Command Query Responsibility Segregation (CQRS), Event Sourcing, and Event Storming resources.  It contains books, training courses, video collections, mailing lists and forums, blogs, sample projects, libraries and frameworks, podcasts and interviews, and user groups related to the aforementioned software architecture concepts.
ALL THE BELOW CHECKBOXES SHOULD BE DONE AND CHECKED AND THE ABOVE PLACEHOLDERS SHOULD BE FILLED IN BEFORE SUBMITTING A PULL REQUEST!

 I have read and understood the contribution guidelines and the instructions for creating a list.
 This pull request has a descriptive title. (For example: Add Node.js)
The list I added

 has been around for at least 20 days,
 is a non-generated Markdown file in a GitHub repo,
 is not a duplicate,
 only has awesome items with descriptions (Awesome lists are curations of the best, not of everything),
 contains the awesome badge on the right side of the list heading,
 has a Table of Contents section named Contents as the first section,
 has an appropriate license (Meaning something like CC0, NOT a code licence like MIT, BSD, Apache, etc),
 has contribution guidelines,
 has been checked for inconsistent formatting, spelling, and grammar (This includes starting each link description with an uppercase character and ending it with a period ., and consistent naming),
 has been added at the bottom of the appropriate category.",2,3
780,2016-10-01T14:58:41Z,,2017-06-02T18:15:03Z,1,1,0,"https://github.com/IIIF/awesome-iiif
The International Image Interoperability Framework is a group of standard APIs around sharing and reuse of media. It is also a growing community of galleries, libraries, archives, museums, companies, and others who develop the standards and interoperable implementations. Content includes helpful links around each of the standards, demonstrations of their use, and tutorials and presentations. The list is especially helpful for orienting new community members and developers.
ALL THE BELOW CHECKBOXES SHOULD BE DONE AND CHECKED AND THE ABOVE PLACEHOLDERS SHOULD BE FILLED IN BEFORE SUBMITTING A PULL REQUEST!

 I have read and understood the contribution guidelines and the instructions for creating a list.
 This pull request has a descriptive title. (For example: Add Node.js)
The list I added

 has been around for at least 20 days,
 is a non-generated Markdown file in a GitHub repo,
 is not a duplicate,
 only has awesome items with descriptions (Awesome lists are curations of the best, not of everything),
 contains the awesome badge on the right side of the list heading,
 has a Table of Contents section named Contents as the first section,
 has an appropriate license (Meaning something like CC0, NOT a code licence like MIT, BSD, Apache, etc),
 has contribution guidelines,
 has been checked for inconsistent formatting, spelling, and grammar (This includes starting each link description with an uppercase character and ending it with a period ., and consistent naming),
 has been added at the bottom of the appropriate category.



…/IIIF/awesome-iiif",3,12
