number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2482,2016-03-10T09:26:07Z,2016-11-24T22:39:43Z,2016-11-24T22:39:43Z,1,40,1,"This fix allows server to serve the sourcemap of socket.io-client generated by webpack builder using gulp build task.
The corresponding PR for socket.io-client is socketio/socket.io-client#953
Tested in Chrome and Firefox using a custom package of socket.io-client with sourcemap file. It also catches the error when there is not sourcemap available in socket.io-client.
Screenshots of how the generated source map looks in browsers:",2,5
2675,2016-09-10T13:34:10Z,2016-11-18T00:52:45Z,2016-11-18T00:52:45Z,3,20,1,"make the example autonomous (npm install && npm start)
add disconnect/reconnect logs (and send username on reconnection)",4,5
2722,2016-10-17T05:32:17Z,,2016-10-21T01:29:23Z,1,3,32,"There already exists client function in test script for creating client.
This commit simplify the test script.",2,1
2731,2016-10-21T01:34:51Z,2016-10-24T00:35:01Z,2016-10-24T00:35:01Z,1,3,7,"I recreated the pull request.
cc: @darrachequesne",2,1
2745,2016-11-08T16:23:06Z,2016-11-16T00:17:20Z,2016-11-16T00:17:20Z,2,7,11,"The kind of change this PR does introduce

 a bug fix
 a new feature
 an update to the documentation
 a code change that improves performance
 other

Current behaviour
Right now parameters passed during handshake, such as tokens, are being dropped.
New behaviour
Parameters are preserved as intended
Other information (e.g. related issues)
Fixes #2712",5,8
2748,2016-11-12T22:26:59Z,2016-11-15T20:52:56Z,2016-11-15T20:52:56Z,2,13,5,"The kind of change this PR does introduce

 a bug fix
 a new feature
 an update to the documentation
 a code change that improves performance
 other

Current behaviour
Previously unable to pass a done callback to the Server#close() method.
New behaviour
Now able to pass a done callback to the Server#close() method.
Other information (e.g. related issues)
candidate for #2739",3,1
2776,2016-12-01T21:04:10Z,,2021-01-14T23:36:53Z,2,93,66,"The kind of change this PR does introduce
A code change that improves performance.
Current behaviour
The slim client is not served.
New behaviour
The new slim client (and its source map) are served.
Other information (e.g. related issues)
This refactor also:

Gzips the response.
Streams the files as binary, instead of buffering strings on init and converting the strings back to binary on each request.
Removes code duplication for source map serving.

I also added test for serving the source maps and slim client.",3,6
2838,2017-01-26T01:14:15Z,,2017-06-03T12:47:51Z,4,53,3,"The kind of change this PR does introduce

 a bug fix
 a new feature
 an update to the documentation
 a code change that improves performance
 other

Current behaviour
When an object is emitted, the hasBin() function is used which iterates through the object checking for binary data. (https://github.com/socketio/has-binary)
New behaviour
The hasBinary flag allows for you to specify whether the object you emit has binary data or not, which skips the inefficient hasBin() function.  You can now do
socket.hasBinary(true).emit(""hello"",someobjectwithbinary); // Contains binary data

socket.hasBinary(false).emit(""helloagain"",objectwithnobin); // No binary data

socket.emit(""bye"",anotherobject); // normal function

Other information (e.g. related issues)
I found out that I could make socket.io two times faster by implementing this. Since in many circumstances a developer would know when he/she will send binary data (or not), the performance can be drastically improved by providing this information. This is because without it, the HasBinary function will run, which itinerates through everything in a object to check for binary data. This is very inefficient with large objects. This new flag allows for developers to fix this problem.",5,14
2961,2017-06-03T22:14:20Z,2017-06-08T10:28:57Z,2017-06-08T10:28:57Z,1,1,1,"The kind of change this PR does introduce

 a bug fix
 a new feature
 an update to the documentation
 a code change that improves performance
 other

Current behaviour




New behaviour

Update URL of badge to https://slackin-socketio.now.sh/badge.svg
Update URL To slack channel https://slackin-socketio.now.sh


Other information (e.g. related issues)",2,1
3104,2017-11-02T19:10:07Z,2018-11-20T07:01:10Z,2018-11-20T07:01:10Z,1,12,6,"Added support for touch to the whiteboard example.
The kind of change this PR does introduce

 a bug fix

Current behavior
Touch is not working on the whiteboard example
New behavior
Added support for touch in whiteboard example
Other information (e.g. related issues)",3,1
3240,2018-05-07T16:01:49Z,2021-01-14T23:36:17Z,2021-01-14T23:36:17Z,1,39,43,"Add default initializers
Use let and const instead var

The kind of change this PR does introduce

 a bug fix
 a new feature
 an update to the documentation
 a code change that improves performance
 other

Current behaviour
The chat example can be updated with ES6 features like default params, constants (avoiding the use of var), and template literals.
https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Functions/Default_parameters
https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements/const
https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Template_literals
New behaviour
The chat example with these three features.
Other information (e.g. related issues)",5,2
3512,2019-11-09T22:57:44Z,,2020-09-19T01:02:31Z,1,1,1,"The kind of change this PR does introduce

 an update to the document",4,2
3557,2020-02-23T13:33:12Z,,2021-01-14T23:31:58Z,1,3,5,"The old logic missed some places and was not able to look into the node_modules of the socket.io library itself.
The new logic always uses require.resolve to lookup the ""correct"" location for the socker.io-client library and then construct the path correctly
This fixes #3555
A fast release of a fixed version would be awesome!
The kind of change this PR does introduce

 a bug fix
 a new feature
 an update to the documentation
 a code change that improves performance
 other

Current behaviour
New behaviour
Other information (e.g. related issues)",3,12
3699,2020-11-18T04:44:52Z,2021-01-14T23:28:21Z,2021-01-14T23:28:21Z,1,1,1,"Exports the Namespace and Socket type from MJS wrapper
The kind of change this PR does introduce

 a bug fix
 a new feature
 an update to the documentation
 a code change that improves performance
 other

Current behavior
MJS wrapper only exports Server
New behavior
MJS wrapper exports Server, Namaspace and Socket types
Other information (e.g. related issues)
I would say is a continuation of PR #3684 and my comment there
#3684 (comment)",3,4
3700,2020-11-18T04:52:42Z,2020-11-25T10:09:18Z,2020-11-25T10:09:18Z,1,2,2,"The kind of change this PR does introduce

 a bug fix
 a new feature
 an update to the documentation
 a code change that improves performance
 other

Current behavior
PR template has ""behavior"" spelled ""behaviour""
New behavior
PR template now has ""behavior""  spelled correctly",3,0
