number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
1548,2016-12-09T11:31:25Z,,2017-01-09T00:15:46Z,2,4,11,"This is my first use you-get, I found that the http-proxy option can not work with extractor-proxy feature: #1546
This commit fixed it, tested on CPython 3.5.
The common.py try code can also be instead of the no if condition code.
try:
    download_main(download, download_playlist, args, playlist, stream_id=stream_id, proxy=proxy, extractor_proxy=extractor_proxy or proxy, output_dir=output_dir, merge=merge, info_only=info_only, json_output=json_output, caption=caption)
except ...


This change is ",2,5
1550,2016-12-10T11:27:04Z,2017-04-01T19:56:38Z,2017-04-01T19:56:38Z,2,38,0,"Support for yizhibo.com


This change is ",5,7
1577,2016-12-26T12:35:53Z,,2017-03-09T14:22:20Z,5,48,49,"fixed pptv video url match


This change is ",3,1
1665,2017-02-02T09:46:31Z,2017-02-19T20:06:24Z,2017-02-19T20:06:24Z,1,24,14,"Prevent FFmpeg from consuming stdin and interpreting the character stream as a stream of interactive commands, specifically:
?      show this help
+      increase verbosity
-      decrease verbosity
c      Send command to first matching filter supporting it
C      Send/Queue command to all matching filters
D      cycle through available debug modes
h      dump packets/hex press to cycle through the 3 states
q      quit
s      Show QP histogram

This is mostly useful in a batch environment where an unsuspecting user
may not realize you-get could consume stdin through FFmpeg, e.g.
while read url; do you-get ""$url""; done <urllist
(Related: BashFAQ/089.)
Yeah, apparently the above could easily be replaced with xargs you-get <urllist which is more elegant and doesn't suffer from the stdin consumption problem, but the above is a pretty honest and straightforward command line which could been seen in the real world.
In addition, even if we ignore the contrived command line, a user probably won't be thrilled if he accidentally smashes the ""h"" key and all of a sudden megabytes worth of dumps pour in on stderr.

An alternative would be FFmpeg's -nostdin option, which explicitly disables interaction, but adding such an option to existing code would be even more destructive than the stdin=DEVNULL approach taken here.

This commit also happens to fix a dual-call bug in ffmpeg_concat_mp4_to_mpg.


This change is ",3,4
1685,2017-02-15T10:31:07Z,,2017-04-06T06:18:04Z,1,253,80,This change is ,21,99
1698,2017-02-20T06:57:26Z,2017-07-07T13:09:01Z,2017-07-07T13:09:01Z,2,314,192,"在common.py里加了get_content_and_redirected这样一个函数，以tuple返回content和redirected_url

用url_locations处理redirects，修正了#1693
test case

./you-get -i 'http://www.bilibili.com/video/av7873772/'
Site:       bilibili.com
Title:      URARA迷路帖 [1 少女与占卜、偶尔的露肚皮]
Type:       Flash video (video/x-flv)
Size:       345.69 MiB (362486000 Bytes)


正确处理bangumi的episode titles
test case

./you-get -i 'http://bangumi.bilibili.com/anime/835/play#15014' 'http://bangumi.bilibili.com/anime/3462/play#89073' 'http://bangumi.bilibili.com/anime/1660/play'
Site:       bilibili.com
Title:      我们仍未知道那天所看见的花的名字。 [1 超和平busters]
Type:       Flash video (video/x-flv)
Size:       176.81 MiB (185402909 Bytes)

Site:       bilibili.com
Title:      双星之阴阳师 [17 师傅赋予的红色证明]
Type:       Flash video (video/x-flv)
Size:       259.48 MiB (272085344 Bytes)

Site:       bilibili.com
Title:      夏目友人帐 [1 猫和友人帐]
Type:       Flash video (video/x-flv)
Size:       143.16 MiB (150117218 Bytes)

部分修正了 #1735

把timeout的try except block限定到download_urls上去，修正#1897
timeout增加到15

./you-get http://www.bilibili.com/video/av9954010/
Site:       bilibili.com
Title:      【西瓜新】一个小小的八音盒【有一点花絮】
Type:       MPEG-4 video (video/mp4)
Size:       25.6 MiB (26847580 Bytes)

Downloading 【西瓜新】一个小小的八音盒【有一点花絮】.mp4 ...
 100% ( 25.6/ 25.6MB) ├█████████████████████████████████████████┤[1/1]    9 MB/s

Downloading 【西瓜新】一个小小的八音盒【有一点花絮】.cmt.xml ...

 ./you-get http://bangumi.bilibili.com/anime/1660/play
Site:       bilibili.com
Title:      夏目友人帐 [1 猫和友人帐]
Type:       Flash video (video/x-flv)
Size:       143.16 MiB (150117218 Bytes)

Downloading 夏目友人帐 [1 猫和友人帐].flv ...
 100% (143.2/143.2MB) ├█████████████████████████████████████████┤[1/1]  566 kB/s

Downloading 夏目友人帐 [1 猫和友人帐].cmt.xml ...

./you-get http://www.bilibili.com/video/av10199346
Site:       bilibili.com
Title:      【GNZ48王盈】20170429 出道一周年联合特别公演《糖》王盈 陈桂君 农燕萍
Type:       Flash video (video/x-flv)
Size:       85.81 MiB (89977095 Bytes)

Downloading 【GNZ48王盈】20170429 出道一周年联合特别公演《糖》王盈 陈桂君 农燕萍.flv ...
 100% ( 85.8/ 85.8MB) ├█████████████████████████████████████████┤[1/1]    5 MB/s

Downloading 【GNZ48王盈】20170429 出道一周年联合特别公演《糖》王盈 陈桂君 农燕萍.cmt.xml ...

现在不会重新打印print_info

修正了live.bilibili.com中cid动态加载的问题
test case:

./you-get -u 'http://live.bilibili.com/1329719'
Site:       bilibili.com
Title:      画点健康的，，身体吃不消l - 冰山小公主不二 - 哔哩哔哩直播
Type:       Flash video (video/x-flv)
Size:       0.0 MiB (0 Bytes)

Real URLs:
http://txy.live-play.acgvideo.com/live-txy/958553/live_3568670_2103044.flv?wsSecret=3df3922b3e4b0604f2f5bdf148d4eb50&wsTime=1493788374



This change is ",8,17
1755,2017-03-11T07:39:27Z,2017-04-01T20:02:17Z,2017-04-01T20:02:17Z,1,43,0,"#1754
test case 1: (kg2.qq.com)
./you-get 'http://kg2.qq.com/share.html?s=qqJuE9qtVgx1IqzS'
Site:       腾讯全民K歌
Title:      情歌王
Type:       MPEG-4 audio (audio/mp4)
Size:       1.09 MiB (1139329 Bytes)

Downloading 情歌王.mp4 ...
 100% (  1.1/  1.1MB) ├█████████████████████████████████████████████┤[1/1]    2 MB/s

ls | grep '情歌王'
情歌王.lrc
情歌王.mp4

test case 2 (kg.qq.com, a video)
./you-get -d 'http://kg.qq.com/share.html?s=VKzj9kVgqBbhLVVp'
[DEBUG] get_content: http://cgi.kg.qq.com/fcgi-bin/kg_ugc_getdetail?dataType=jsonp&jsonp=callback&jsonpCallback=jsopgetsonginfo&v=4&outCharset=utf-8&shareid=VKzj9kVgqBbhLVVp
[DEBUG] get_content: http://cgi.kg.qq.com/fcgi-bin/fcg_lyric?jsonpCallback=jsopgetlrcdata&outCharset=utf-8&ksongmid=002qggKE4IjhEn
[DEBUG] url_info: http://dl.stream.kg.qq.com/vcloud1029.tc.qq.com/1029_3aa4ddd79bc549c0ab2ac6b4baf8e380.f0.mp4?vkey=30F29BB4CFA9258417ADED5C93F18050EFC47A1F715AEF13708F13A456EA3A2635788B22569CECC8F0A1069EF93065AE243ABE3B4DE1683AA2179277C0D5C9C103DEBA712C1A5885DFA987216CB429FF394C7DCC2D095BE3&fromtag=1008&sdtfrom=v1008
Site:       腾讯全民K歌
Title:      LEMON TREE
Type:       MPEG-4 video (video/mp4)
Size:       19.64 MiB (20591780 Bytes)



This change is ",5,2
2015,2017-05-24T13:24:23Z,2017-07-07T22:36:23Z,2017-07-07T22:36:23Z,2,64,78,"NOTE:


yxon not impled. F. I. 10 segs in hd3, 8 ones in hd2, 5 ones both in mp4 and flv. 28 extra network requests will be sent, which makes the program seem stuck or produces lots of noise in the debugging log. #1058


Failed with http://v.youku.com/v_show/id_XMjc3MjQ0MjEwMA==.html. ep40 of Zetianji. But it works when downloading ep1 and ep45. Perhaps you should curse the CDN before a VIP user of youku find out what's wrong.





yxon没有放进代码里。比如一个视频，hd3有10个片段，hd2有8个，mp4和flv各5个，那么一共需要发出28个网络请求，程序会看上去像卡住了一样，或者输出大量没什么用的debugging log。另外可以参考 #1058 ，有人需要。


择天记第40集下载会失败（hd3，其他分辨率正常）。但是择天记的第一集或是第45集都正常，选1080p需要vip所以也没法在浏览器里面看是不是正常。大概只能怪youku的CDN了。


$ ./you-get -d 'http://v.youku.com/v_show/id_XMjc4MTQ3MzY5Mg==.html'
[DEBUG] get_content: https://ups.youku.com/ups/get.json?vid=XMjc4MTQ3MzY5Mg==&ccode=0401&client_ip=192.168.1.1&utid=3nOsESeJhAUCAbZyXYm8UflX&client_ts=1495631326
site:                优酷 (Youku)
title:               李志、电声与管弦乐 03.尽头
stream:
    - format:        hd3
      container:     flv
      video-profile: 1080P
      size:          60.3 MiB (63205554 bytes)
    # download-with: you-get --format=hd3 [URL]

Downloading 李志、电声与管弦乐 03.尽头.flv ...
 100% ( 60.3/ 60.3MB) ├█████████████████████████████████████████┤[2/2]    1 MB/s
Merging video parts... ffmpeg version 3.3.1 Copyright (c) 2000-2017 the FFmpeg developers
  built with Apple LLVM version 8.1.0 (clang-802.0.42)
  configuration: --prefix=/usr/local/Cellar/ffmpeg/3.3.1 --enable-shared --enable-pthreads --enable-gpl --enable-version3 --enable-hardcoded-tables --enable-avresample --cc=clang --host-cflags= --host-ldflags= --enable-libmp3lame --enable-libx264 --enable-libxvid --enable-opencl --disable-lzma --enable-vda
  libavutil      55. 58.100 / 55. 58.100
  libavcodec     57. 89.100 / 57. 89.100
  libavformat    57. 71.100 / 57. 71.100
  libavdevice    57.  6.100 / 57.  6.100
  libavfilter     6. 82.100 /  6. 82.100
  libavresample   3.  5.  0 /  3.  5.  0
  libswscale      4.  6.100 /  4.  6.100
  libswresample   2.  7.100 /  2.  7.100
  libpostproc    54.  5.100 / 54.  5.100
[flv @ 0x7fa849800a00] Auto-inserting h264_mp4toannexb bitstream filter
Input #0, concat, from './李志、电声与管弦乐 03.尽头.mp4.txt':
  Duration: N/A, start: 0.000000, bitrate: 1877 kb/s
    Stream #0:0: Video: h264 (High), yuv420p(tv, bt709, progressive), 1920x1080 [SAR 1:1 DAR 16:9], 1748 kb/s, 25.03 fps, 25 tbr, 1k tbn, 50 tbc
    Stream #0:1: Audio: aac (LC), 44100 Hz, stereo, fltp, 128 kb/s
Output #0, mp4, to './李志、电声与管弦乐 03.尽头.mp4':
  Metadata:
    encoder         : Lavf57.71.100
    Stream #0:0: Video: h264 (High) ([33][0][0][0] / 0x0021), yuv420p(tv, bt709, progressive), 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 1748 kb/s, 25.03 fps, 25 tbr, 16k tbn, 1k tbc
    Stream #0:1: Audio: aac (LC) ([64][0][0][0] / 0x0040), 44100 Hz, stereo, fltp, 128 kb/s
Stream mapping:
  Stream #0:0 -> #0:0 (copy)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
[flv @ 0x7fa849800a00] Auto-inserting h264_mp4toannexb bitstream filter
frame= 3451 fps=0.0 q=-1.0 size=   31623kB time=00:02:17.98 bitrate=1877.4kbits/frame= 4651 fps=4651 q=-1.0 size=   45169kB time=00:03:06.00 bitrate=1989.4kbitsframe= 5542 fps=3676 q=-1.0 size=   55299kB time=00:03:41.62 bitrate=2044.1kbitsframe= 6595 fps=3615 q=-1.0 Lsize=   61601kB time=00:04:23.85 bitrate=1912.5kbits/s speed= 145x
video:57281kB audio:4123kB subtitle:0kB other streams:0kB global headers:0kB muxing overhead: 0.320389%
Merged into 李志、电声与管弦乐 03.尽头.mp4

fix #2012 #2014 #2037 #1847
It's a quick fix, far from satisfactory but too many users need youku.py.",21,73
2042,2017-05-27T08:16:35Z,,2017-07-07T22:58:43Z,1,47,43,解决优酷客户端无权播放，603,4,4
2153,2017-07-15T13:31:28Z,2017-08-07T19:56:07Z,2017-08-07T19:56:07Z,2,67,48,"$ ./you-get -d 'https://www.zhanqi.tv/edmunddzhang'
[DEBUG] get_content: https://www.zhanqi.tv/api/static/v2.1/room/domain/edmunddzhang.json
Site:       www.zhanqi.tv
Title:      EdmundDZhang: 【老E】今晚可能休息？！
Type:       M3U8 Master m3u8
M3U8 Url:   http://dlhls.cdn.zhanqi.tv/zqlive/9469_lNZYA.m3u8

Downloading streaming content with FFmpeg, press q to stop recording...
ffmpeg -y -re -i http://dlhls.cdn.zhanqi.tv/zqlive/9469_lNZYA.m3u8 -c copy -bsf:a aac_adtstoasc EdmundDZhang- 【老E】今晚可能休息？！.mp4
ffmpeg version 3.3.1 Copyright (c) 2000-2017 the FFmpeg developers
  built with Apple LLVM version 8.1.0 (clang-802.0.42)
  configuration: --prefix=/usr/local/Cellar/ffmpeg/3.3.1 --enable-shared --enable-pthreads --enable-gpl --enable-version3 --enable-hardcoded-tables --enable-avresample --cc=clang --host-cflags= --host-ldflags= --enable-libmp3lame --enable-libx264 --enable-libxvid --enable-opencl --disable-lzma --enable-vda
  libavutil      55. 58.100 / 55. 58.100
  libavcodec     57. 89.100 / 57. 89.100
  libavformat    57. 71.100 / 57. 71.100
  libavdevice    57.  6.100 / 57.  6.100
  libavfilter     6. 82.100 /  6. 82.100
  libavresample   3.  5.  0 /  3.  5.  0
  libswscale      4.  6.100 /  4.  6.100
  libswresample   2.  7.100 /  2.  7.100
  libpostproc    54.  5.100 / 54.  5.100
Input #0, hls,applehttp, from 'http://dlhls.cdn.zhanqi.tv/zqlive/9469_lNZYA.m3u8':
  Duration: N/A, start: 3575.057333, bitrate: N/A
  Program 0
    Metadata:
      variant_bitrate : 10240
    Stream #0:0: Video: h264 (High) ([27][0][0][0] / 0x001B), yuv420p(tv, bt709/bt709/iec61966-2-1), 1280x720, 45 tbr, 90k tbn, 2k tbc
    Metadata:
      variant_bitrate : 10240
    Stream #0:1: Audio: aac (LC) ([15][0][0][0] / 0x000F), 48000 Hz, stereo, fltp
    Metadata:
      variant_bitrate : 10240
Output #0, mp4, to 'EdmundDZhang- 【老E】今晚可能休息？！.mp4':
  Metadata:
    encoder         : Lavf57.71.100
    Stream #0:0: Video: h264 (High) ([33][0][0][0] / 0x0021), yuv420p(tv, bt709/bt709/iec61966-2-1), 1280x720, q=2-31, 45 tbr, 90k tbn, 90k tbc
    Metadata:
      variant_bitrate : 10240
    Stream #0:1: Audio: aac (LC) ([64][0][0][0] / 0x0040), 48000 Hz, stereo, fltp
    Metadata:
      variant_bitrate : 10240
Stream mapping:
  Stream #0:0 -> #0:0 (copy)
  Stream #0:1 -> #0:1 (copy)
Press [q] to stop, [?] for help
frame=   19 fps=0.0 q=-1.0 size=     402kB time=00:00:00.53 bitrate=6206.8kbits/s speframe=   31 fps= 24 q=-1.0 size=     461kB time=00:00:00.79 bitrate=4735.2kbits/s speframe=   39 fps= 16 q=-1.0 size=     513kB time=00:00:00.97 bitrate=4309.5kbits/s spe

$ ./you-get -di 'https://www.zhanqi.tv/videos/zjyx/2017/06/207420.html'
[DEBUG] get_content: https://www.zhanqi.tv/api/static/v2.1/video/207420.json
[DEBUG] get_content: http://dlvod.cdn.zhanqi.tv/BjABYgE6WGsLMV0wBzQFaA1r_2017_06_27_BjMBYgE9WGwLNV02
Site:       www.zhanqi.tv
Title:      【老E】灵魂画师的艺术造纸！
Type:       M3U8 Playlist m3u8",4,5
