number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
89,2016-12-01T20:32:01Z,2016-12-02T16:43:04Z,2016-12-02T16:43:04Z,3,30,2,Fixes the bug discovered in #85.,4,3
94,2016-12-02T11:42:32Z,2016-12-02T16:35:55Z,2016-12-02T16:35:55Z,1,2,0,"gulp-svelte
https://github.com/shinnn/gulp-svelte
https://www.npmjs.com/package/gulp-svelte
metalsmith-svelte
https://github.com/shinnn/metalsmith-svelte
https://www.npmjs.com/package/metalsmith-svelte",3,1
121,2016-12-05T08:16:22Z,2016-12-05T15:56:07Z,2016-12-05T15:56:07Z,2,22,0,"This does not mean that svelte is using flow (yet ? :-), it is only
that people using flow for code completion get some meaningful results
instead of flow complaining about a missing .flowconfig file.
The editorconfig is so that people who use spaces by default get their
editor using tabs like expected.",4,3
183,2016-12-11T15:02:22Z,2016-12-12T13:46:08Z,2016-12-12T13:46:08Z,15,412,223,"This is a slightly chunky PR but it doesn't change any functionality – would welcome feedback from collaborators on whether this is a sensible change or not.
The basic thought here is that the readability of generated code is something that matters, and generating readable code probably requires some smarter abstractions than pushing lines of code to an array and joining them. To that end, this PR introduces a new internal class, CodeBuilder, which has addLine and addBlock methods. Consecutive lines are separated by a single newline, whereas blocks always have an extra newline around them. So instead of this sort of thing...

...we get this sort of thing:

We also get a testable, extensible (maybe in future we can add methods for creating objects and functions, or collapsing consecutive if blocks with the same conditions, etc), semantically meaningful interface for creating blocks of code, and there's slightly less code-that-generates-code as a result. But it is an extra layer of abstraction. Thoughts welcome!",3,1
187,2016-12-11T19:10:34Z,2016-12-12T13:31:34Z,2016-12-12T13:31:34Z,3,12,1,Fixes #178 by using setAttribute(...) for list instead of updating the property,3,1
190,2016-12-11T19:59:06Z,2016-12-12T13:31:24Z,2016-12-12T13:31:24Z,6,54,33,This prevents confusing errors of the sort encountered in #188,3,1
212,2016-12-18T16:57:50Z,2016-12-20T15:41:06Z,2016-12-20T15:41:06Z,12,229,147,"This PR replaces things like document.createTextNode('foo') with createText('foo'), resulting in more minifiable and (arguably?) more readable code.
While minified code gets smaller by a decent amount, zipped code only decreases in size by a tiny amount (<1% with svelte-todomvc). Theoretically it would also have a negative impact on performance because of the indirection, though in practice it looks like the impact is negligible (based on js-framework-benchmark). So it's not totally obvious whether it's a win or not, in the simple case.
The real benefits, however, will come from being able to share functions between components. I've started this PR off with simple DOM helpers, but next up are methods that don't change between components. Once that's all in place, we'll be able to create non-standalone modules that import helpers from svelte/shared.js.",2,5
242,2017-01-04T17:11:29Z,2017-01-04T18:45:14Z,2017-01-04T18:45:14Z,5,40,2,fixes #231,2,0
280,2017-02-06T03:41:16Z,,2017-03-01T01:45:32Z,14,172,4,"This will close #195.
It implements spread as:
<input {{options}}/>
into
<input type=""text"" value=""Hello World""/>
where options is:
{
  ""type"": ""text"",
  ""value"": ""Hello World""
}
This is a work in progress until I've finished the implementation for Components.
Some things that might need to be discussed:

When the attributes are static, you can throw an error when they try to use 2 of the same attribute. When the attributes are dynamic through spreading, there's no such guarantee.
In #195 it was suggested to use _ to spread all data, which would look like {{_}}. Is this the syntax we want to use?",5,16
393,2017-03-19T08:04:54Z,2017-03-19T12:45:52Z,2017-03-19T12:45:52Z,3,4,4,"I realized my change in #390 didn't correctly handle the case when you are removing the last key in an object and it has a trailing comma. Previously, it would leave the comma, which would lead to malformed output. Now we're removing all the way up to the end of the object node, which seems like the best way to make sure we get the comma, if present.",2,0
396,2017-03-19T16:52:41Z,2017-03-19T21:30:54Z,2017-03-19T21:30:54Z,12,84,47,"This isn't a particularly graceful solution. We simply make sure we avoid conflicts with all identifiers in the component's source, instead of just the ones that would actually collide with us. The code for determining the set of all identifiers lives inline in the case where we need it (when the export default isn't the last thing in the script), but it could be moved elsewhere if we end up needing this functionality anywhere else.",2,3
453,2017-04-04T22:27:53Z,2017-04-10T15:36:59Z,2017-04-10T15:36:59Z,394,1125,1106,"Just a few high-level thoughts for now, since I'm about to leave my desk but want to get this out in the open. I have a completely unscientific feeling that there's a better way to handle a lot of the code generation stuff, that will be more readable, more maintainable and perhaps even more extensible, eventually.
I'd like to create a new Fragment class (or maybe Block) that handles some of the work Generator currently does. At the moment, there's a lot of weird indirection, e.g. generator.addElement basically just hands over to the current fragment's init builder, which is a little confusing.
I also think that node visitors should be responsible for visiting their own children, since that makes it easier to control the order in which stuff happens, and makes it possible to pass parameters down to child nodes without awkwardly sticking properties on objects all over the place.
One of the immediate goals following this work is to hoist event handlers (where applicable), so this PR will need to bear that in mind (or include that work).",4,8
467,2017-04-11T13:39:03Z,2017-04-11T15:03:20Z,2017-04-11T15:03:20Z,7,46,1,fixes #466,2,0
468,2017-04-11T14:11:04Z,2017-04-11T15:56:29Z,2017-04-11T15:56:29Z,6,36,17,Ref #465. Still a few tests to work through,2,2
482,2017-04-14T02:19:40Z,2017-04-14T13:41:53Z,2017-04-14T13:41:53Z,5,50,40,closes #481,2,0
