number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
24,2017-11-01T16:12:45Z,2017-11-01T17:56:51Z,2017-11-01T17:56:51Z,1,2,0,To be consistent with other sections on the same file.,3,1
38,2017-11-01T21:11:53Z,2017-11-01T22:33:27Z,2017-11-01T22:33:27Z,1,2,2,This should be 100%,3,1
72,2017-11-03T05:47:11Z,2017-11-03T15:39:42Z,2017-11-03T15:39:42Z,2,171,1,,4,2
77,2017-11-03T13:55:45Z,2017-11-03T15:04:09Z,2017-11-03T15:04:09Z,14,73,37,"This change tells Webpack (for those using it) that the config file used should be tracked as a dependency and that the CSS should be re-compiled if that config file changes.
It's careful to make sure the config file is loaded fresh every single time to avoid weird caching issues.
Resolves #55 🙌",4,1
79,2017-11-03T14:19:35Z,2017-11-03T15:31:21Z,2017-11-03T15:31:21Z,1,1,2,"Removes the separate build command and just always builds our dist files on npm run prepare.
This makes sure we never accidentally publish a release that doesn't have up to date dist files for CDNs like unpkg and jsdelivr.",2,0
82,2017-11-03T15:21:16Z,2017-11-06T16:22:59Z,2017-11-06T16:22:59Z,10,273,17,"Closes #75
This is the first of two steps to add all the margin auto utilities. In the next breaking release we'll actually move these to the default config.",3,0
85,2017-11-03T16:22:43Z,2017-11-03T18:24:42Z,2017-11-03T18:24:42Z,1,12,19,"Removes the rest operator (...) from the documentation's Tailwind config, making it possible to build the docs on older versions of Node.",3,0
88,2017-11-03T18:47:33Z,2017-11-09T20:11:38Z,2017-11-09T20:11:38Z,5,92,6,"Resolves #18.
I made a PR to ""fix"" #18
I'm not experienced in developing for PostCSS and I do not use Javascript at all :-D
Please do not laugh and please do not hesitate to give me advice for improvement.
I'm hungry to learn and help.
I left comments in the PR to the things that look for me like code-smell.
(Okay, Javascript always looks like codesmell for me, but I marked the place where I introduced codesmell)",2,4
89,2017-11-03T19:54:11Z,2017-11-03T23:13:49Z,2017-11-03T23:13:49Z,2,12,1,"Fixes issue from that comment: #16 (comment)
@adamwathan wants this to happen, so here it is ;-)
#16 (comment)
Empty media queries are added if i do not use @tailwind utilities and use only preflight.",2,1
95,2017-11-04T05:44:29Z,2017-11-06T20:10:09Z,2017-11-06T20:10:09Z,58,674,305,"In response to #93, this PR establishes the use of ESLint using Prettier for code formatting. The ESLint config is using https://github.com/postcss/eslint-config-postcss, and Prettier is configured using the following settings:
""semi"": false, // Use semicolons
""singleQuote"": true, // Use single quotes instead of double quotes
""printWidth"": 80, // Limit each line to 80 characters
""tabWidth"": 2, // Each tab is 2 spaces wide
""useTabs"": false, // Use spaces instead of tabs
""trailingComma"": ""none"", // Don't use trailing commas, even if allowed in things like arrays
""bracketSpacing"": true // Use spaces between brackets",3,7
116,2017-11-06T16:20:37Z,2017-11-06T20:38:31Z,2017-11-06T20:38:32Z,5,230,293,"Previously all of our border width styles (.border, .border-2, etc) worked by applying the border shorthand property.
They would set the width to the specified width, but also set the style to solid, and the color to the default color specified in the borderColors config.
This seemed convenient but has the consequence of resetting any border color overrides any time you change the border width at a breakpoint, for example:
<div class=""border border-purple md:border-2""></div>
This will have a 1px purple border on small screens, and a 2px grey border on medium screens.
This is pretty unintuitive, and we have the same issue with border styles (dashed, dotted, etc.)
This resolves all of this by setting a default border style, width, and color to all elements as part of preflight, that looks like this:
*,
*::before,
*::after {
  border-width: 0;
  border-style: solid;
  border-color: config('borderColors.default', black);
}
So every element by default will have a zero width border, set to the default border color.
The border width utilities now only set border-width, not the entire border shorthand. That means that the previous example:
<div class=""border border-purple md:border-2""></div>
...will now retain the purple color at larger screens, because md:border-2 is only overriding the width.
This also removes the need for this gruesome borderStyleReset hack we had to apply, where any time you applied a border style, we also reset the border-width back to 0, but defined that portion of the class before the border width utilities so that those would still take precedence. This was the only place in the entire framework where one class had multiple definitions in different places, and actually leads to the bug discussed in #112.
Overall this change dramatically simplifies this portion of the codebase, and also makes the behavior much more intuitive.
The only question is if there's any unintended consequences to the styles added to preflight. Testing suggests that everything is totally fine, but if anyone has questions or concerns feel free to bring them to our attention.
This is technically a breaking change, so even though we are still pre-1.0 and moving rapidly, it's probably wise to save this for 0.2 instead of an 0.1.x patch release.
Resolves #80.
Resolves #112.",5,6
