number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
241,2016-06-24T00:50:08Z,,2017-04-06T00:24:18Z,1,4,4,,5,4
350,2016-08-27T05:37:00Z,,2018-02-07T23:59:40Z,6,671,0,"related issue : #323 (comment)


it is not easy to re-generate same situation. so, i made 'ud_train' directory


how to generate error

remove following lines in UD/context.pbtxt and run ./train.sh

input {
  name: 'char-map'
  creator: 'brain_pos/greedy'
}

error message

+ /path/to/models/syntaxnet/bazel-bin/syntaxnet/parser_trainer --task_context=/path/to/models/syntaxnet/ud_train/UD/context.pbtxt --arg_prefix=brain_pos --compute_lexicon --graph_builder=greedy --training_corpus=training-corpus --tuning_corpus=tuning-corpus --output_path=/path/to/models/syntaxnet/ud_train/UD/tmp/syntaxnet-output --batch_size=256 --decay_steps=3600 --hidden_layer_sizes=64 --learning_rate=0.08 --momentum=0.9 --seed=0 --params=64-0.08-3600-0.9-0 --num_epochs=12 --report_every=100 --checkpoint_every=1000 --logtostderr
INFO:tensorflow:Computing lexicon...
I syntaxnet/lexicon_builder.cc:134] Term maps collected over 204586 tokens from 12543 documents
I syntaxnet/term_frequency_map.cc:137] Saved 18731 terms to /path/to/models/syntaxnet/ud_train/UD/tmp/syntaxnet-output/brain_pos/greedy/64-0.08-3600-0.9-0/word-map.
I syntaxnet/term_frequency_map.cc:137] Saved 15710 terms to /path/to/models/syntaxnet/ud_train/UD/tmp/syntaxnet-output/brain_pos/greedy/64-0.08-3600-0.9-0/lcword-map.
I syntaxnet/term_frequency_map.cc:137] Saved 50 terms to /path/to/models/syntaxnet/ud_train/UD/tmp/syntaxnet-output/brain_pos/greedy/64-0.08-3600-0.9-0/tag-map.
I syntaxnet/term_frequency_map.cc:137] Saved 50 terms to /path/to/models/syntaxnet/ud_train/UD/tmp/syntaxnet-output/brain_pos/greedy/64-0.08-3600-0.9-0/category-map.
I syntaxnet/term_frequency_map.cc:137] Saved 47 terms to /path/to/models/syntaxnet/ud_train/UD/tmp/syntaxnet-output/brain_pos/greedy/64-0.08-3600-0.9-0/label-map.
F syntaxnet/task_context.cc:140] Check failed: input.part_size() == 1 (0 vs. 1)char-map
./train.sh: line 107: 24273       (core dumped) ${BINDIR}/parser_trainer --task_context=${CONTEXT} --arg_prefix=brain_pos --compute_lexicon --graph_builder=greedy --training_corpus=training-corpus --tuning_corpus=tuning-corpus --output_path=${TMP_DIR} --batch_size=${BATCH_SIZE} --decay_steps=3600 --hidden_layer_sizes=${POS_HIDDEN_LAYER_SIZES} --learning_rate=0.08 --momentum=0.9 --seed=0 --params=${POS_PARAMS} --num_epochs=12 --report_every=100 --checkpoint_every=1000 --logtostderr",7,13
408,2016-09-12T16:33:17Z,,2018-02-24T21:21:02Z,11,505,218,"This PR makes it possible to use the download_and_convert_data.py script with python 3.  It also adds support for CIFAR100.
Regarding python 3, the problems were essentially:

import cPickle => from six.moves import cPickle
cPickle.load(f) => cPickle.load(f, encoding=""bytes"")
use strings instead of byte strings in several places

Regarding CIFAR100, it's basically the same format as CIFAR10, so why not add it?",12,23
493,2016-10-03T08:14:48Z,,2017-06-01T20:29:13Z,1,219,0,tensorflow implementation for recurrent spatial transformer : https://arxiv.org/abs/1509.05329,5,10
572,2016-10-21T03:00:43Z,2016-10-21T19:13:14Z,2016-10-21T19:13:14Z,1,1,2,reference tensorflow/tensorflow#4759 and #520,3,2
600,2016-10-31T06:55:35Z,2016-10-31T20:36:02Z,2016-10-31T20:36:02Z,1,1,1,it should be cd $HOME/workspace/models/slim,3,3
606,2016-11-02T11:02:20Z,,2017-06-01T20:30:07Z,1,301,0,"The defined class provides interface to the LM_1B model through it's methods:

eval model
sample_text
dump_embeddings
encode_text",6,5
625,2016-11-09T15:51:57Z,2016-11-09T19:43:18Z,2016-11-09T19:43:18Z,1,1,1,@cshallue it seems validation captions are pointing to the training file.  This looks like a quick fix.,3,3
721,2016-12-07T17:19:29Z,2016-12-27T21:05:02Z,2016-12-27T21:05:02Z,1,2,2,Fixed typos in folders paths,3,3
731,2016-12-10T02:39:41Z,2016-12-10T08:28:25Z,2016-12-10T08:28:25Z,45,5867,0,Also brought everything up to date with the internal version.,5,0
