number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
9,2015-05-13T14:49:36Z,,2017-05-03T06:41:22Z,1,3,0,"…ble in textord/tospace.cpp
https://code.google.com/p/tesseract-ocr/issues/detail?id=1106
Reported by ettl.martin78, Feb 11, 2014
Please review the attached patch. It fixes a potential usage of an uninitialized bool variable ('fuzzy_sp'). The fix simply initialized the variable by default to 'FALSE'. Before the fix, the value of 'fuzzy_sp' was not set, but used in the else-branch in line 1107:
      else {
        prev_blanks = blanks;
        prev_fuzzy_sp = fuzzy_sp;
        prev_fuzzy_non = fuzzy_non;
      }

Best regards and many thanks
Feb 11, 2014
#1 ettl.martin78
The updated patch fixes two more uninitialized variable usages in the same function.
Many thanks for reviewing.
(http://web.archive.org/web/20150509223835/https://code.google.com/p/tesseract-ocr/issues/detail?id=1106)",7,3
11,2015-05-13T15:49:21Z,,2017-09-25T14:36:38Z,28,90,363,"memry removal.

This should be no-brainer. These functions never seemed to do anything useful. The only oddity was with alloc_string which rounded the allocation upwards to nearest multiple of 4. Based on my review of code, I could not identify any value in this feature, so even alloc_string was simply transformed to malloc.
memry.* are removed. All code is adjusted to simply call malloc and free instead.
listio.* are removed. The list reading function in these files appears to have been unused, and contained the only invocation of strsave define, which was one of the alloc_string users, so I removed both of them.
https://code.google.com/p/tesseract-ocr/issues/detail?id=1199",6,2
352,2016-06-17T21:17:21Z,2017-04-30T15:39:32Z,2017-04-30T15:39:32Z,3,9,13,"These commits reduce the number of memory allocations (in my test cases by about 15%).
GenericVector should not prematurely allocate memory in the default constructor since quite a lot of vectors stay empty and there is no overhead in doing the allocation later.
Also, I don't see any reason to do the extra allocation in LanguageModelDawgInfo.",4,0
471,2016-11-08T21:21:04Z,2016-11-22T08:10:28Z,2016-11-22T08:10:28Z,1,1,1,C++ needs to escaped as C\+\+ in the AsciiDoc source code.,4,1
506,2016-11-28T11:46:55Z,2016-12-01T19:34:04Z,2016-12-01T19:34:04Z,4,19,13,Signed-off-by: Stefan Weil sw@weilnetz.de,4,13
507,2016-11-28T14:48:58Z,2016-11-29T21:55:41Z,2016-11-29T21:55:41Z,5,40,80,"It is not necessary to check for null pointers.
Remove also unneeded delete operations and add missing delete operations
in cube/bmp_8.cpp.
Simplify also a conditional statement in cube/cube_object.cpp.
Signed-off-by: Stefan Weil sw@weilnetz.de",5,2
544,2016-12-07T21:31:27Z,2016-12-09T12:34:18Z,2016-12-09T12:34:18Z,4,62,13,"I suggest for 4.00 removing the old API entirely because it's not really usable without a lot of fiddling, and at a major version jump there are probably other API changes anyway, not that I'd know.
For 3.x I suggest cherrypicking the first commit to add the new change and leaving DetectOS() intact but making it return FALSE instead of risk corrupting memory in the caller if there is disagreement about the OSResults results structure. Personally I think it's better to gently break the caller in this case without breaking their compilation, but opinions may differ so I am leaving 3.x untouched.",3,3
593,2016-12-19T21:09:05Z,,2018-04-01T23:01:36Z,5,12,12,"@theraysmith @zdenop
This PR replaces all 4.00.00 version numbers to 4.0.0.
The idea is to follow semantic versioning since 4.0.0 branch. https://semver.org
Following git tags should be also named as X.Y.Z[-name], e.g. 4.0.0, 4.0.1, 4.0.0-beta, 4.0.0-rc.1 etc.",5,5
608,2016-12-25T07:37:07Z,2016-12-25T11:05:42Z,2016-12-25T11:05:42Z,1,1,1,,7,25
643,2017-01-08T17:15:36Z,2017-01-08T18:20:56Z,2017-01-08T18:20:56Z,1,22,25,should fix #640,3,0
658,2017-01-13T03:25:33Z,2017-01-13T07:19:13Z,2017-01-13T07:19:13Z,2,2,2,,3,0
661,2017-01-14T01:44:30Z,,2017-01-23T20:27:05Z,1,6,2,"Verified that this compiles and runs on macOS El Capitan with homebrew gcc. I don't believe clang compiles at the moment so not sure if it works for that.
Also added an #error if SIMD checking is missing. Autotools already causes configure to fail if there is no SIMD implementation, so if Makefiles are generated something is wrong.",4,8
662,2017-01-16T00:13:19Z,2017-01-16T07:27:53Z,2017-01-16T07:27:53Z,11,27,102,"The code in ccutil/hashfn.h was needed for some old compilers. Now that we support MSVC >= 2010 and compilers that have good support for C++11, we can drop this code.
As a result of this file removal, we now use:
std::unordered_map
std::unordered_set
std::unique_ptr
directly in the codebase with '#include' for the needed headers.",3,1
666,2017-01-20T15:56:49Z,2017-01-23T20:51:05Z,2017-01-23T20:51:05Z,1,1,1,fix typo in script,3,0
668,2017-01-21T09:40:08Z,2017-01-21T15:29:06Z,2017-01-21T15:29:07Z,2,2,2,I changed the parameter description because the older text was ambiguous.,2,1
