number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
1186,2015-06-23T08:25:51Z,,2017-04-04T16:28:38Z,1,7,1,"Brings finer control over exactly what resources will be affected by ProvidePlugin.
For instance, I might only want to provide window.jQuery to a single module, and have it evaluate to undefined everywhere else.",4,1
1638,2015-11-17T01:18:48Z,,2017-01-30T19:59:57Z,1,9,0,"Hey,
I have little time to debug this, so I'm not even 100% sure it works as expected, but it prevents an error in my project when using Dedupe plugin:

Template cannot be applied as TemplateArgument: RequireResolveContextDependency

I based this commit on:
7b97101
Could you help with failing test case?",3,7
1960,2016-01-30T18:04:01Z,,2017-04-04T16:36:21Z,2,4,2,"While I play with webpack 2 async chunk loading, I was found this strange behaviour.
This fix are very naive, but work fine.",5,5
2452,2016-05-08T23:36:35Z,,2017-01-30T20:01:09Z,1,15,4,"Moved the ""Building an Example"" section to the top of the examples README.md and gave a little more structure to the example for readability.",4,1
2517,2016-05-18T22:20:00Z,,2017-04-04T19:53:26Z,1,12,2,"This should fix IE9's terrible script caching. Alternatively, we could check for a cached script that hasn't installed it's chunk and reload with a unique timestamp to bust the cache. This first pass seems to work for me though, so it may be all that's necessary.
Addresses #2506.",4,3
2682,2016-06-23T11:30:42Z,,2017-04-04T19:53:56Z,1,9,1,"Please check if the PR fulfills these requirements

 Tests for the changes have been added (for bug fixes / features)
 Docs have been added / updated (for bug fixes / features)

What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)

 Bugfix
 Feature
 Code style update (formatting, local variables)
 Refactoring (no functional changes, no api changes)
 Build related changes
 CI related changes
 Other... Please describe:

Config option
output: {
  chunkFilename: `[name].chunk.js`,
},

What is the current behavior?

What is the new behavior?

Does this PR introduce a breaking change?

 Yes
 No",9,9
2929,2016-08-29T22:43:53Z,,2016-10-31T14:12:41Z,75,6827,1989,"Please check if the PR fulfills these requirements

 Tests for the changes have been added (for bug fixes / features)
- [x] Ran manual tests to check functionality
 Docs have been added / updated (for bug fixes / features)

What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)

 Bugfix
 Feature
 Code style update (formatting, local variables)
 Refactoring (no functional changes, no api changes)
 Build related changes
 CI related changes
 Other... Please describe:

What is the current behavior? (You can also link to an open issue here)
#455
Currently, webpack does provide a way to add nonces to scripts. Given that the future of CSP could be a more nonce-based approach, having support for nonces is increasingly important.
https://research.google.com/pubs/pub45542.html
What is the new behavior?
When user specifies webpack_nonce, a nonce is added to all loaded scripts. Because nonces are generally different on each page load, the nonce is specified in the entry file, not in the config file, similarly to a public path not known ahead of time.
Does this PR introduce a breaking change?

 Yes
 No",17,8
2950,2016-09-03T17:06:51Z,,2017-04-04T19:54:40Z,1,6,0,"Please check if the PR fulfills these requirements

 Tests for the changes have been added (for bug fixes / features)
 Docs have been added / updated (for bug fixes / features)

What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)

 Bugfix
 Feature
 Code style update (formatting, local variables)
 Refactoring (no functional changes, no api changes)
 Build related changes
 CI related changes
 Other... Please describe: Increase of strictness

What is the current behavior? (You can also link to an open issue here)
Currently, it is possible to add the --hot flag and add the HotModuleReplacementPlugin in the webpack config. The docs say that this should never be done. However, a lot of people don't think of reading the docs because the error message it produces seems unrelated.
I have noticed this issue coming up a couple of times in webpack-dev-server, the only one I can find right now is webpack/webpack-dev-server#488.
What is the new behavior?
When using the --hot flag, and the HotModuleReplacementPlugin is already added in the webpack config, the CLI will throw an error, clarifying that you can't combine the two.
Does this PR introduce a breaking change?

 Yes
 No

Other information:
This could possibly be seen as a breaking change, but using both ways almost always errors, so I didn't mark this as breaking.",4,4
2957,2016-09-05T14:38:32Z,,2018-01-02T20:57:36Z,1,9,2,"Please check if the PR fulfills these requirements

 Tests for the changes have been added (for bug fixes / features)
 Docs have been added / updated (for bug fixes / features)

What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)

 Bugfix
 Feature
 Code style update (formatting, local variables)
 Refactoring (no functional changes, no api changes)
 Build related changes
 CI related changes
 Other... Please describe:

What is the current behavior? (You can also link to an open issue here)
For the AMD module format, if an external dependency has ""request"" set to something falsy (or if ""request.amd"" is falsy), the external modules array will contain ""null"" for that module.
What is the new behavior?
The new behaviour strips out falsy dependencies from the dependency array for AMD. This allows require() to return undefined and allows the application to handle that case. In essence, it extends the concept of setting a module in the node block to ""empty"" to non-Node modules.
Does this PR introduce a breaking change?

 Yes
 No

If this PR contains a breaking change, please describe the following...

Impact:
Migration path for existing applications:
Github Issue(s) this is regarding:

Other information:
We have an application which runs both inside a browser and which we ship as an Electron desktop app. The application startup code uses require() to check for the availability of various native modules we ship and use native JS fallbacks in the event they are not present.
I can update the docs and tests but will need some guidance as to where and which.",5,5
2984,2016-09-11T17:49:31Z,,2018-01-02T20:59:45Z,5,131,54,"Please check if the PR fulfills these requirements

 Tests for the changes have been added (for bug fixes / features)
 Docs have been added / updated (for bug fixes / features)

What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)

 Bugfix
 Feature
 Code style update (formatting, local variables)
 Refactoring (no functional changes, no api changes)
 Build related changes
 CI related changes
 Other... Please describe:

What is the current behavior? (You can also link to an open issue here)
No support for exporting as multiple names.
What is the new behavior?
Adds support for exporting as a library with multiple names. (#2981, clappr/clappr#1145)
Does this PR introduce a breaking change?

 Yes
 No

Other information:
I still need to add/update tests and the docs but would like someone to check I'm along the right lines first.
I get an error building something with the libraryTarget set to ""amd"" or ""jsonp"", but I also get the same error when I build without the changes made in this PR so was wondering if this is a known bug at the moment?
ERROR in chunk main [entry]
[output file name here]
path.replace is not a function

Also I am aware this doesn't work with libraryType var at the moment as it results in var a = var b = X.",5,7
3007,2016-09-18T05:58:07Z,2016-09-19T20:08:29Z,2016-09-19T20:08:29Z,1,51,29,"Please check if the PR fulfills these requirements

 Tests for the changes have been added (for bug fixes / features)
 Docs have been added / updated (for bug fixes / features)

What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)

 Bugfix
 Feature
 Code style update (formatting, local variables)
 Refactoring (no functional changes, no api changes)
 Build related changes
 CI related changes
 Other... Please describe:

What is the current behavior? (You can also link to an open issue here)
Running webpack --config ""file1.js"" --config ""file2.js"" throws a syntax error. #2835
What is the new behavior?
Running webpack --config ""file1.js"" --config ""file1.js"" will trigger the MultiCompiler, the same behavior as exporting an array of config objects in a config file.
Does this PR introduce a breaking change?

 Yes
 No

If this PR contains a breaking change, please describe the following...

Impact:
Migration path for existing applications:
Github Issue(s) this is regarding:

Other information:",2,3
3025,2016-09-20T13:02:13Z,2016-09-20T15:29:30Z,2016-09-20T15:29:30Z,1,1,1,"Please check if the PR fulfills these requirements

 N/A - Tests for the changes have been added (for bug fixes / features)
 N/A - Docs have been added / updated (for bug fixes / features)

What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)

 Bugfix
 Feature
 Code style update (formatting, local variables)
 Refactoring (no functional changes, no api changes)
 Build related changes
 CI related changes
 Other... Please describe:
Docs

What is the current behavior? (You can also link to an open issue here)
Deprecated readme link (https://github.com/MoOx/cssnext-loader)
What is the new behavior?
Updated to new link (https://github.com/MoOx/postcss-cssnext)
Does this PR introduce a breaking change?

 Yes
 No

If this PR contains a breaking change, please describe the following...

Impact:
Migration path for existing applications:
Github Issue(s) this is regarding:

Other information:",3,1
3062,2016-09-24T21:16:00Z,2016-09-28T05:03:02Z,2016-09-28T05:03:02Z,1,1,0,"Please check if the PR fulfills these requirements

[n/a] Tests for the changes have been added (for bug fixes / features)
 Docs have been added / updated (for bug fixes / features)

What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)

 Bugfix
 Feature
 Code style update (formatting, local variables)
 Refactoring (no functional changes, no api changes)
 Build related changes
 CI related changes
 Other... Please describe: added jsbeautify-loader into Readme.md file.

What is the current behavior? (You can also link to an open issue here) n/a
What is the new behavior? n/a
Does this PR introduce a breaking change?

 Yes
 No

If this PR contains a breaking change, please describe the following...  n/a
Other information:
Is it possible to add jsbeautify-loader into webpack organisation?",2,1
