name,url,pr_merged,first_pr_review_count
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,35790,0
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,9863,0
sindresorhus/awesome,https://github.com/sindresorhus/awesome,1986,0
public-apis/public-apis,https://github.com/public-apis/public-apis,2887,0
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,939,1
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,2701,0
996icu/996.ICU,https://github.com/996icu/996.ICU,1970,0
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,242,0
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,301,0
facebook/react,https://github.com/facebook/react,14475,0
