name_with_owner,stars,created_at,total_pr,total_reviews
sindresorhus/awesome,298563,2014-07-11,97.0,189.0
public-apis/public-apis,291249,2016-03-20,88.0,172.0
jwasham/coding-interview-university,282386,2016-06-06,73.0,140.0
kamranahmedse/developer-roadmap,273317,2017-03-15,242.0,310.0
996icu/996.ICU,268997,2019-03-26,82.0,139.0
codecrafters-io/build-your-own-x,255815,2018-05-09,33.0,48.0
donnemartin/system-design-primer,252202,2017-02-26,162.0,274.0
facebook/react,221361,2013-05-24,1.0,1.0
vuejs/vue,206835,2013-07-29,217.0,608.0
vinta/awesome-python,204063,2014-06-27,27.0,43.0
tensorflow/tensorflow,182217,2015-11-07,0.0,1.0
trekhleb/javascript-algorithms,181709,2018-03-24,45.0,84.0
TheAlgorithms/Python,178075,2016-07-16,394.0,792.0
awesome-selfhosted/awesome-selfhosted,176741,2015-06-01,370.0,700.0
getify/You-Dont-Know-JS,176051,2013-11-16,36.0,62.0
CyC2018/CS-Notes,171993,2018-02-13,11.0,13.0
torvalds/linux,169548,2011-09-04,29.0,82.0
twbs/bootstrap,167348,2011-07-29,0.0,2.0
practical-tutorials/project-based-learning,166039,2017-04-12,56.0,60.0
ossu/computer-science,162313,2014-05-04,24.0,46.0
Significant-Gravitas/AutoGPT,160820,2023-03-16,603.0,1949.0
microsoft/vscode,157881,2015-09-03,61.0,376.0
jackfrued/Python-100-Days,149648,2018-03-01,2.0,2.0
jlevy/the-art-of-command-line,148347,2015-05-20,34.0,58.0
Snailclimb/JavaGuide,142851,2018-05-07,93.0,97.0
airbnb/javascript,141548,2012-11-01,212.0,415.0
trimstray/the-book-of-secret-knowledge,128537,2018-06-23,48.0,116.0
AUTOMATIC1111/stable-diffusion-webui,128525,2022-08-22,285.0,449.0
huggingface/transformers,124261,2018-10-29,239.0,1213.0
labuladong/fucking-algorithm,123235,2020-02-19,35.0,46.0
vercel/next.js,120193,2016-10-05,285.0,1320.0
avelino/awesome-go,120164,2014-07-06,26.0,31.0
golang/go,119328,2014-08-19,33.0,71.0
Chalarangelo/30-seconds-of-code,118966,2017-11-29,535.0,1192.0
yangshun/tech-interview-handbook,109217,2016-07-05,120.0,164.0
justjavac/free-programming-books-zh_CN,109024,2013-11-04,21.0,24.0
microsoft/PowerToys,104027,2019-05-01,677.0,2840.0
axios/axios,103924,2014-08-18,327.0,868.0
f/awesome-chatgpt-prompts,103027,2022-12-05,39.0,57.0
facebook/create-react-app,101811,2016-07-17,187.0,1092.0
Genymobile/scrcpy,101435,2017-11-21,77.0,312.0
microsoft/TypeScript,97780,2014-06-17,0.0,1.0
goldbergyoni/nodebestpractices,96165,2017-09-15,462.0,1143.0
microsoft/terminal,93365,2017-08-11,778.0,5931.0
denoland/deno,92822,2018-05-15,681.0,2710.0
ant-design/ant-design,90069,2015-04-24,59.0,205.0
ryanmcdermott/clean-code-javascript,89528,2016-11-25,34.0,77.0
GrowingGit/GitHub-Chinese-Top-Charts,88168,2019-09-05,1.0,1.0
puppeteer/puppeteer,86672,2017-05-09,583.0,2028.0
iluwatar/java-design-patterns,86317,2014-08-09,437.0,914.0
PanJiaChen/vue-element-admin,86230,2017-04-17,8.0,14.0
521xueweihan/HelloGitHub,84464,2016-05-04,3.0,3.0
ripienaar/free-for-dev,83485,2015-03-18,36.0,70.0
papers-we-love/papers-we-love,83044,2013-12-15,23.0,28.0
storybookjs/storybook,82699,2016-03-18,476.0,1393.0
nvbn/thefuck,82660,2015-04-08,108.0,295.0
langchain-ai/langchain,82116,2022-10-17,311.0,661.0
microsoft/Web-Dev-For-Beginners,81334,2020-11-10,366.0,630.0
animate-css/animate.css,79695,2011-10-12,94.0,187.0
fatedier/frp,79281,2015-12-21,164.0,374.0
gothinkster/realworld,78188,2016-02-26,40.0,51.0
tailwindlabs/tailwindcss,78059,2017-10-06,56.0,126.0
iptv-org/iptv,77772,2018-11-14,333.0,524.0
pytorch/pytorch,77509,2016-08-13,442.0,1963.0
tauri-apps/tauri,76957,2019-07-13,444.0,822.0
Hack-with-Github/Awesome-Hacking,76858,2016-03-30,29.0,106.0
mtdvio/every-programmer-should-know,76723,2017-08-24,22.0,26.0
tensorflow/models,76560,2016-02-05,213.0,497.0
sveltejs/svelte,76287,2016-11-20,114.0,274.0
neovim/neovim,76184,2014-01-31,1.0,8.0
bitcoin/bitcoin,75468,2010-12-19,0.0,1.0
nvm-sh/nvm,75375,2010-04-15,423.0,1618.0
gin-gonic/gin,75295,2014-06-16,491.0,985.0
tonsky/FiraCode,75153,2014-11-11,11.0,20.0
florinpop17/app-ideas,74755,2019-02-25,68.0,94.0
krahets/hello-algo,74547,2022-11-04,597.0,1974.0
doocs/advanced-java,74121,2018-10-06,14.0,16.0
FortAwesome/Font-Awesome,72974,2012-02-17,24.0,44.0
spring-projects/spring-boot,72592,2012-10-19,2.0,6.0
gohugoio/hugo,72333,2013-07-04,1.0,7.0
excalidraw/excalidraw,72266,2020-01-02,324.0,1369.0
jaywcjlove/awesome-mac,71085,2016-07-17,77.0,158.0
typicode/json-server,71072,2013-11-27,9.0,20.0
vuejs/awesome-vue,70863,2015-10-20,392.0,485.0
massgravel/Microsoft-Activation-Scripts,70602,2020-01-12,1.0,2.0
tiangolo/fastapi,70537,2018-12-08,378.0,1370.0
oven-sh/bun,70230,2021-04-14,275.0,1195.0
yt-dlp/yt-dlp,69911,2020-10-26,512.0,3440.0
netdata/netdata,68004,2013-06-17,39.0,319.0
thedaviddias/Front-End-Checklist,67371,2017-10-16,53.0,69.0
ChatGPTNextWeb/ChatGPT-Next-Web,67290,2023-03-10,26.0,53.0
base-org/node,67090,2023-02-01,44.0,65.0
hakimel/reveal.js,66834,2011-06-07,33.0,69.0
microsoft/ML-For-Beginners,66756,2021-03-03,258.0,429.0
DopplerHQ/awesome-interview-questions,66676,2015-11-28,39.0,65.0
mermaid-js/mermaid,66668,2014-11-01,257.0,369.0
pallets/flask,66258,2010-04-06,19.0,85.0
supabase/supabase,65239,2019-10-12,272.0,555.0
CompVis/stable-diffusion,65153,2022-08-10,7.0,18.0
coder/code-server,65102,2019-02-27,645.0,2321.0
Developer-Y/cs-video-courses,64706,2016-10-21,8.0,12.0
redis/redis,64632,2009-03-21,25.0,55.0
vitejs/vite,64493,2020-04-21,439.0,1460.0
anuraghazra/github-readme-stats,64455,2020-07-09,204.0,597.0
webpack/webpack,64138,2012-03-10,391.0,1144.0
nestjs/nest,64092,2017-02-04,85.0,282.0
expressjs/express,63692,2009-06-26,124.0,473.0
nomic-ai/gpt4all,63569,2023-03-27,325.0,739.0
fighting41love/funNLP,63559,2018-08-21,3.0,3.0
protocolbuffers/protobuf,63514,2014-08-26,6.0,38.0
MunGell/awesome-for-beginners,63428,2015-10-24,127.0,212.0
josephmisiti/awesome-machine-learning,63394,2014-07-15,17.0,19.0
chartjs/Chart.js,63353,2013-03-17,89.0,290.0
bregman-arie/devops-exercises,63192,2019-10-03,104.0,183.0
FuelLabs/sway,63177,2021-01-19,732.0,3102.0
rustdesk/rustdesk,62339,2020-09-28,27.0,110.0
enaqx/awesome-react,61771,2014-08-06,45.0,63.0
leonardomso/33-js-concepts,61760,2018-09-04,11.0,15.0
kdn251/interviews,61493,2017-02-14,11.0,49.0
resume/resume.github.com,61377,2011-02-06,2.0,10.0
microsoft/playwright,61374,2019-11-15,415.0,748.0
twitter/the-algorithm,61276,2023-03-27,102.0,275.0
keras-team/keras,60877,2015-03-28,6.0,31.0
