type,query,time,size
GraphQL,Simple,387.20226287841797,98
GraphQL,Complex,353.9862632751465,98
REST,Simple,361.38343811035156,95
REST,Complex,362.2124195098877,95
GraphQL,Simple,374.76086616516113,98
GraphQL,Complex,352.1080017089844,98
REST,Simple,349.55453872680664,95
REST,Complex,360.59093475341797,95
GraphQL,Simple,349.29442405700684,98
GraphQL,Complex,352.27465629577637,98
REST,Simple,345.5045223236084,95
REST,Complex,397.0937728881836,95
GraphQL,Simple,363.7123107910156,98
GraphQL,Complex,342.79680252075195,98
REST,Simple,367.8750991821289,95
REST,Complex,364.43519592285156,95
GraphQL,Simple,356.1062812805176,98
GraphQL,Complex,360.2726459503174,98
REST,Simple,361.94467544555664,95
REST,Complex,380.9208869934082,95
GraphQL,Simple,366.60313606262207,98
GraphQL,Complex,382.91144371032715,98
REST,Simple,378.12209129333496,95
REST,Complex,355.5107116699219,95
GraphQL,Simple,358.35719108581543,98
GraphQL,Complex,399.94335174560547,98
REST,Simple,360.00728607177734,95
REST,Complex,344.1345691680908,95
GraphQL,Simple,357.555627822876,98
GraphQL,Complex,359.5755100250244,98
REST,Simple,358.69431495666504,95
REST,Complex,394.268274307251,95
GraphQL,Simple,373.45075607299805,98
GraphQL,Complex,372.0059394836426,98
REST,Simple,350.3119945526123,95
REST,Complex,346.99535369873047,95
GraphQL,Simple,365.5562400817871,98
GraphQL,Complex,359.891414642334,98
REST,Simple,366.5802478790283,95
REST,Complex,363.10458183288574,95
GraphQL,Simple,342.3593044281006,98
GraphQL,Complex,347.027063369751,98
REST,Simple,349.123477935791,95
REST,Complex,370.8815574645996,95
GraphQL,Simple,360.1696491241455,98
GraphQL,Complex,354.83551025390625,98
REST,Simple,351.5031337738037,95
REST,Complex,358.65139961242676,95
GraphQL,Simple,357.0883274078369,98
GraphQL,Complex,347.4273681640625,98
REST,Simple,362.7603054046631,95
REST,Complex,396.07810974121094,95
GraphQL,Simple,353.56640815734863,98
GraphQL,Complex,357.8202724456787,98
REST,Simple,372.71857261657715,95
REST,Complex,361.15217208862305,95
GraphQL,Simple,368.79611015319824,98
GraphQL,Complex,398.8780975341797,98
REST,Simple,400.25806427001953,95
REST,Complex,364.3383979797363,95
GraphQL,Simple,362.32709884643555,98
GraphQL,Complex,354.248046875,98
REST,Simple,420.579195022583,95
REST,Complex,380.1870346069336,95
GraphQL,Simple,354.7637462615967,98
GraphQL,Complex,350.11792182922363,98
REST,Simple,359.62677001953125,95
REST,Complex,356.8437099456787,95
GraphQL,Simple,358.95776748657227,98
GraphQL,Complex,340.9252166748047,98
REST,Simple,353.252649307251,95
REST,Complex,362.67757415771484,95
GraphQL,Simple,364.0706539154053,98
GraphQL,Complex,353.1496524810791,98
REST,Simple,397.54629135131836,95
REST,Complex,361.0494136810303,95
GraphQL,Simple,353.12342643737793,98
GraphQL,Complex,348.0398654937744,98
REST,Simple,365.8754825592041,95
REST,Complex,375.3042221069336,95
GraphQL,Simple,387.6769542694092,98
GraphQL,Complex,348.3304977416992,98
REST,Simple,372.6503849029541,95
REST,Complex,367.08664894104004,95
GraphQL,Simple,340.4676914215088,98
GraphQL,Complex,351.6976833343506,98
REST,Simple,353.2841205596924,95
REST,Complex,366.78147315979004,95
GraphQL,Simple,356.1363220214844,98
GraphQL,Complex,355.88598251342773,98
REST,Simple,360.3231906890869,95
REST,Complex,348.7722873687744,95
GraphQL,Simple,356.1978340148926,98
GraphQL,Complex,383.6779594421387,98
REST,Simple,363.8598918914795,95
REST,Complex,366.6117191314697,95
GraphQL,Simple,353.2063961029053,98
GraphQL,Complex,351.82642936706543,98
REST,Simple,355.38506507873535,95
REST,Complex,389.53304290771484,95
GraphQL,Simple,367.2928810119629,98
GraphQL,Complex,367.8851127624512,98
REST,Simple,378.22771072387695,95
REST,Complex,364.61663246154785,95
GraphQL,Simple,346.57764434814453,98
GraphQL,Complex,365.2989864349365,98
REST,Simple,365.12136459350586,95
REST,Complex,367.77520179748535,95
GraphQL,Simple,347.2902774810791,98
GraphQL,Complex,353.6214828491211,98
REST,Simple,357.49125480651855,95
REST,Complex,379.65965270996094,95
GraphQL,Simple,374.3276596069336,98
GraphQL,Complex,346.11964225769043,98
REST,Simple,364.70818519592285,95
REST,Complex,346.67277336120605,95
GraphQL,Simple,360.8114719390869,98
GraphQL,Complex,364.31312561035156,98
REST,Simple,373.7332820892334,95
REST,Complex,368.8085079193115,95
GraphQL,Simple,358.32953453063965,98
GraphQL,Complex,392.7111625671387,98
REST,Simple,359.9679470062256,95
REST,Complex,360.57496070861816,95
GraphQL,Simple,362.05458641052246,98
GraphQL,Complex,362.429141998291,98
REST,Simple,361.84024810791016,95
REST,Complex,370.227575302124,95
GraphQL,Simple,386.14535331726074,98
GraphQL,Complex,377.44808197021484,98
REST,Simple,362.46728897094727,95
REST,Complex,372.1773624420166,95
GraphQL,Simple,365.32092094421387,98
GraphQL,Complex,346.4667797088623,98
REST,Simple,378.7097930908203,95
REST,Complex,367.74539947509766,95
GraphQL,Simple,365.54980278015137,98
GraphQL,Complex,352.1103858947754,98
REST,Simple,353.1074523925781,95
REST,Complex,354.88271713256836,95
GraphQL,Simple,366.3160800933838,98
GraphQL,Complex,355.9527397155762,98
REST,Simple,346.9867706298828,95
REST,Complex,356.14585876464844,95
GraphQL,Simple,365.6785488128662,98
GraphQL,Complex,374.6912479400635,98
REST,Simple,351.9461154937744,95
REST,Complex,354.9008369445801,95
GraphQL,Simple,402.7423858642578,98
GraphQL,Complex,357.5549125671387,98
REST,Simple,383.96334648132324,95
REST,Complex,360.9006404876709,95
GraphQL,Simple,365.4437065124512,98
GraphQL,Complex,353.3639907836914,98
REST,Simple,385.33878326416016,95
REST,Complex,396.47459983825684,95
GraphQL,Simple,375.5214214324951,98
GraphQL,Complex,354.17747497558594,98
REST,Simple,378.6735534667969,95
REST,Complex,423.9230155944824,95
GraphQL,Simple,404.99258041381836,98
GraphQL,Complex,471.8496799468994,98
REST,Simple,413.1324291229248,95
REST,Complex,408.2610607147217,95
GraphQL,Simple,344.27380561828613,98
GraphQL,Complex,363.7681007385254,98
REST,Simple,354.43687438964844,95
REST,Complex,368.039608001709,95
GraphQL,Simple,355.0424575805664,98
GraphQL,Complex,376.21378898620605,98
REST,Simple,357.2518825531006,95
REST,Complex,368.32141876220703,95
GraphQL,Simple,352.98752784729004,98
GraphQL,Complex,362.63513565063477,98
REST,Simple,366.93572998046875,95
REST,Complex,364.9275302886963,95
GraphQL,Simple,344.62952613830566,98
GraphQL,Complex,357.61356353759766,98
REST,Simple,364.90821838378906,95
REST,Complex,358.6115837097168,95
GraphQL,Simple,349.27940368652344,98
GraphQL,Complex,357.83863067626953,98
REST,Simple,356.0647964477539,95
REST,Complex,360.64934730529785,95
GraphQL,Simple,346.254825592041,98
GraphQL,Complex,342.26393699645996,98
REST,Simple,364.851713180542,95
REST,Complex,362.8883361816406,95
GraphQL,Simple,381.73580169677734,98
GraphQL,Complex,361.56606674194336,98
REST,Simple,397.1748352050781,95
REST,Complex,389.54854011535645,95
GraphQL,Simple,350.9995937347412,98
GraphQL,Complex,344.9118137359619,98
REST,Simple,354.3374538421631,95
REST,Complex,361.02962493896484,95
GraphQL,Simple,347.5525379180908,98
GraphQL,Complex,352.13208198547363,98
REST,Simple,363.42620849609375,95
REST,Complex,364.28332328796387,95
GraphQL,Simple,374.91893768310547,98
GraphQL,Complex,361.10496520996094,98
REST,Simple,424.4089126586914,95
REST,Complex,388.4878158569336,95
GraphQL,Simple,362.0190620422363,98
GraphQL,Complex,361.250638961792,98
REST,Simple,355.61490058898926,95
REST,Complex,391.3142681121826,95
GraphQL,Simple,354.86793518066406,98
GraphQL,Complex,365.2622699737549,98
REST,Simple,334.37275886535645,95
REST,Complex,390.14601707458496,95
GraphQL,Simple,353.3649444580078,98
GraphQL,Complex,373.51083755493164,98
REST,Simple,360.19229888916016,95
REST,Complex,365.7548427581787,95
GraphQL,Simple,408.7817668914795,98
GraphQL,Complex,358.9327335357666,98
REST,Simple,364.46118354797363,95
REST,Complex,366.00232124328613,95
GraphQL,Simple,339.1377925872803,98
GraphQL,Complex,351.67741775512695,98
REST,Simple,357.3946952819824,95
REST,Complex,346.26173973083496,95
GraphQL,Simple,345.91102600097656,98
GraphQL,Complex,362.1668815612793,98
REST,Simple,365.9496307373047,95
REST,Complex,350.25644302368164,95
GraphQL,Simple,346.210241317749,98
GraphQL,Complex,351.3762950897217,98
REST,Simple,357.47671127319336,95
REST,Complex,365.8108711242676,95
GraphQL,Simple,355.5035591125488,98
GraphQL,Complex,362.43438720703125,98
REST,Simple,355.2830219268799,95
REST,Complex,360.1999282836914,95
GraphQL,Simple,356.6920757293701,98
GraphQL,Complex,372.44129180908203,98
REST,Simple,348.8340377807617,95
REST,Complex,365.2224540710449,95
GraphQL,Simple,352.8578281402588,98
GraphQL,Complex,353.29604148864746,98
REST,Simple,362.6883029937744,95
REST,Complex,387.404203414917,95
GraphQL,Simple,349.733829498291,98
GraphQL,Complex,354.384183883667,98
REST,Simple,366.8656349182129,95
REST,Complex,360.14819145202637,95
GraphQL,Simple,354.8932075500488,98
GraphQL,Complex,354.1414737701416,98
REST,Simple,363.6765480041504,95
REST,Complex,372.5724220275879,95
GraphQL,Simple,378.1583309173584,98
GraphQL,Complex,365.1292324066162,98
REST,Simple,357.799768447876,95
REST,Complex,380.5880546569824,95
GraphQL,Simple,350.1467704772949,98
GraphQL,Complex,386.21068000793457,98
REST,Simple,360.13269424438477,95
REST,Complex,352.57959365844727,95
GraphQL,Simple,350.4347801208496,98
GraphQL,Complex,350.63767433166504,98
REST,Simple,369.2636489868164,95
REST,Complex,354.44045066833496,95
GraphQL,Simple,344.4178104400635,98
GraphQL,Complex,351.00722312927246,98
REST,Simple,379.4128894805908,95
REST,Complex,363.68274688720703,95
GraphQL,Simple,361.1466884613037,98
GraphQL,Complex,355.03578186035156,98
REST,Simple,380.4328441619873,95
REST,Complex,394.84477043151855,95
GraphQL,Simple,353.4834384918213,98
GraphQL,Complex,365.82183837890625,98
REST,Simple,362.10060119628906,95
REST,Complex,382.72595405578613,95
GraphQL,Simple,370.03040313720703,98
GraphQL,Complex,345.98660469055176,98
REST,Simple,346.68421745300293,95
REST,Complex,355.8220863342285,95
GraphQL,Simple,349.17211532592773,98
GraphQL,Complex,354.62331771850586,98
REST,Simple,353.9543151855469,95
REST,Complex,358.39319229125977,95
GraphQL,Simple,354.1746139526367,98
GraphQL,Complex,355.89027404785156,98
REST,Simple,344.79451179504395,95
REST,Complex,371.4158535003662,95
GraphQL,Simple,358.95752906799316,98
GraphQL,Complex,374.4173049926758,98
REST,Simple,367.844820022583,95
REST,Complex,351.5651226043701,95
GraphQL,Simple,355.05104064941406,98
GraphQL,Complex,388.99993896484375,98
REST,Simple,344.3624973297119,95
REST,Complex,364.4719123840332,95
GraphQL,Simple,345.0486660003662,98
GraphQL,Complex,344.1424369812012,98
REST,Simple,376.18446350097656,95
REST,Complex,360.7926368713379,95
GraphQL,Simple,351.2296676635742,98
GraphQL,Complex,370.58043479919434,98
REST,Simple,348.10352325439453,95
REST,Complex,361.36817932128906,95
GraphQL,Simple,344.9563980102539,98
GraphQL,Complex,370.9745407104492,98
REST,Simple,365.4012680053711,95
REST,Complex,352.50306129455566,95
GraphQL,Simple,353.8787364959717,98
GraphQL,Complex,363.68250846862793,98
REST,Simple,353.4510135650635,95
REST,Complex,363.344669342041,95
GraphQL,Simple,384.19651985168457,98
GraphQL,Complex,353.75070571899414,98
REST,Simple,358.9508533477783,95
REST,Complex,349.0917682647705,95
GraphQL,Simple,354.4125556945801,98
GraphQL,Complex,352.5698184967041,98
REST,Simple,353.7578582763672,95
REST,Complex,357.58256912231445,95
GraphQL,Simple,348.1900691986084,98
GraphQL,Complex,347.0273017883301,98
REST,Simple,356.0044765472412,95
REST,Complex,373.11673164367676,95
GraphQL,Simple,348.7739562988281,98
GraphQL,Complex,351.290225982666,98
REST,Simple,370.70178985595703,95
REST,Complex,355.55195808410645,95
GraphQL,Simple,358.0164909362793,98
GraphQL,Complex,340.14153480529785,98
REST,Simple,345.6532955169678,95
REST,Complex,377.92253494262695,95
GraphQL,Simple,358.9017391204834,98
GraphQL,Complex,353.3439636230469,98
REST,Simple,355.8790683746338,95
REST,Complex,349.1194248199463,95
GraphQL,Simple,349.0109443664551,98
GraphQL,Complex,362.43367195129395,98
REST,Simple,360.1377010345459,95
REST,Complex,356.1263084411621,95
GraphQL,Simple,385.07628440856934,98
GraphQL,Complex,370.67151069641113,98
REST,Simple,354.02584075927734,95
REST,Complex,358.3688735961914,95
GraphQL,Simple,357.78021812438965,98
GraphQL,Complex,356.3876152038574,98
REST,Simple,347.05543518066406,95
REST,Complex,344.65575218200684,95
GraphQL,Simple,357.1498394012451,98
GraphQL,Complex,349.5171070098877,98
REST,Simple,352.64110565185547,95
REST,Complex,346.9693660736084,95
GraphQL,Simple,362.5030517578125,98
